supplement_name,symptom_name,context,description
Flaxseed and flaxseed oil,Bloating,side_effect,Bloating.
Flaxseed and flaxseed oil,Gas,side_effect,Gas.
Flaxseed and flaxseed oil,Diarrhea,side_effect,Diarrhea.
Flaxseed and flaxseed oil,Bleeding,interaction,"Anticoagulant and antiplatelet medicines.These medicines lower the blood's ability to clot. Flaxseed also might lessen blood clotting. Because of that, it's possible that taking flaxseed or flaxseed oil along with anticoagulant or antiplatelet medicines might raise the risk of bleeding."
Folate (folic acid),A Bitter Taste In The Mouth,side_effect,A bitter taste in the mouth.
Folate (folic acid),Nausea,side_effect,Nausea.
Folate (folic acid),Loose Stools,side_effect,Loose stools.
Folate (folic acid),Confusion,side_effect,Confusion.
Folate (folic acid),Irritability,side_effect,Irritability.
Folate (folic acid),Trouble Sleeping,side_effect,Trouble sleeping.
Folate (folic acid),Stomach Cramps,side_effect,Stomach cramps.
Folate (folic acid),Skin Rash,side_effect,Skin rash.
Folate (folic acid),Itching,side_effect,Itching.
Folate (folic acid),"Skin Color Changes, Such As Purple Or Brown Depending On Your Skin Color",side_effect,"Skin color changes, such as purple or brown depending on your skin color."
Folate (folic acid),Difficulty Breathing,side_effect,Difficulty breathing.
Ginkgo,Headache,side_effect,Headache.
Ginkgo,Low Salt Levels,side_effect,Low salt levels.
Ginkgo,Bleeding,side_effect,Bleeding.
Ginkgo,Dizziness,side_effect,Dizziness.
Ginkgo,"The Feeling Of The Heart Pounding Or Racing, Called Palpitations",side_effect,"The feeling of the heart pounding or racing, called palpitations."
Ginkgo,Upset Stomach,side_effect,Upset stomach.
Ginkgo,"Trouble Passing Stool, Called Constipation",side_effect,"Trouble passing stool, called constipation."
Ginkgo,Skin Allergies,side_effect,Skin allergies.
Ginkgo,Seizures,side_effect,"For people who have epilepsy or any type of seizure, large amounts of ginkgo may raise the risk of seizures."
Ginkgo,Bleeding,side_effect,"If you are older, have a bleeding condition, or are pregnant, don't take ginkgo. The supplement might raise the risk of bleeding. If you're having surgery, stop taking ginkgo two weeks before the surgery."
Ginkgo,Getting Liver And Thyroid Cancers,side_effect,Some research has shown that giving rodents ginkgo raises their risk of getting liver and thyroid cancers.
Ginkgo,Bleeding,interaction,"Anticoagulants and antiplatelet drugs, herbs and supplements.These types of medicines, herbs and supplements lessen blood clotting. Taking ginkgo with them might raise the risk of bleeding."
Ginkgo,Seizures,interaction,"Anticonvulsants and seizure threshold-lowering medicines, herbs and supplements.Large amounts of ginkgo can cause seizures. Taking ginkgo could keep an anticonvulsant medicine from working as well."
Ginkgo,Fluoxetine,interaction,"Antidepressants.Taking ginkgo with certain antidepressants, such as fluoxetine (Prozac), might keep them from working as well."
Glucosamine,Nausea,side_effect,Nausea
Glucosamine,Heartburn,side_effect,Heartburn
Glucosamine,Diarrhea,side_effect,Diarrhea
Glucosamine,Constipation,side_effect,Constipation
Glucosamine,Drowsiness,side_effect,Drowsiness
Glucosamine,Skin Reactions,side_effect,Skin reactions
Glucosamine,Headache,side_effect,Headache
Glucosamine,Bleeding,interaction,Warfarin (Jantoven).Taking glucosamine alone or in combination with the supplement chondroitin might increase the effects of the anticoagulant warfarin. This can increase your risk of bleeding.
Honey,Serious,side_effect,"Some people are sensitive or allergic to specific components in honey, particularly bee pollen. Although rare, bee pollen allergies can cause serious, and sometimes fatal, adverse reactions. Signs and symptoms of a reaction include:"
Honey,Wheezing And Other Asthmatic Symptoms,side_effect,Wheezing and other asthmatic symptoms
Honey,Dizziness,side_effect,Dizziness
Honey,Nausea,side_effect,Nausea
Honey,Vomiting,side_effect,Vomiting
Honey,Weakness,side_effect,Weakness
Honey,Excessive Perspiration,side_effect,Excessive perspiration
Honey,Fainting,side_effect,Fainting
Honey,Irregular Heart Rhythms,side_effect,Irregular heart rhythms (arrhythmias)
Honey,Stinging After Topical Application,side_effect,Stinging after topical application
L-arginine,"Nausea, Abdominal Pain And Diarrhea",side_effect,"Nausea, abdominal pain and diarrhea"
L-arginine,Bloating,side_effect,Bloating
L-arginine,Gout,side_effect,Gout
L-arginine,Headache,side_effect,Headache
L-arginine,Allergic Response,side_effect,Allergic response
L-arginine,Airway Inflammation Or Worsening Of Asthma Symptoms,side_effect,Airway inflammation or worsening of asthma symptoms
L-arginine,Death,side_effect,L-arginine isn't recommended for people who have had a recent heart attack due to concerns that the supplement might increase the risk of death.
L-arginine,Bleeding,interaction,"Anticoagulants and anti-platelet drugs, herbs and supplements.These types of drugs, herbs and supplements reduce blood clotting. Taking L-arginine with them might increase the risk of bleeding."
L-arginine,Blood Pressure Becoming Too Low,interaction,"Blood pressure drugs, herbs and supplements.L-arginine might lower blood pressure in people who have high blood pressure. Combining use of L-arginine with a blood pressure drug, herb or supplement might increase the risk of blood pressure becoming too low."
L-arginine,Your Blood Pressure To Become Too Low,interaction,Isoproterenol (Isuprel).Use of this heart medication with L-arginine might cause your blood pressure to become too low.
L-arginine,Your Blood Pressure To Become Too Low,interaction,Nitrates.Use of this chest pain medication with L-arginine might cause your blood pressure to become too low.
L-arginine,Your Blood Pressure To Become Too Low,interaction,"Sildenafil (Revatio, Viagra).Use of this erectile dysfunction medication with L-arginine might cause your blood pressure to become too low."
Marijuana,Weed Or Marijuana,side_effect,"Medical cannabis, also called weed or marijuana, is generally considered safe. Most of the side effects of cannabis are due to the THC content. But different types of cannabis have different amounts of THC. This can make it very hard to know the right amount to take. The side effects seem to be worse the higher the dose of THC a person uses."
Marijuana,Headaches,side_effect,Headaches.
Marijuana,Dry Mouth,side_effect,Dry mouth.
Marijuana,Red And Dry Eyes,side_effect,Red and dry eyes.
Marijuana,Dizziness And Higher Risk Of Falling,side_effect,Dizziness and higher risk of falling.
Marijuana,"Drowsiness, Including Problems Focusing",side_effect,"Drowsiness, including problems focusing."
Marijuana,Fatigue,side_effect,Fatigue.
Marijuana,Coughing,side_effect,Coughing.
Marijuana,Wheezing,side_effect,Wheezing.
Marijuana,Nausea And Vomiting,side_effect,Nausea and vomiting.
Marijuana,Feeling Anxious,side_effect,Feeling anxious.
Marijuana,"Seeing, Hearing Or Smelling Things That Aren'T There, Known As Hallucinations, And Psychosis",side_effect,"Seeing, hearing or smelling things that aren't there, known as hallucinations, and psychosis."
Marijuana,Problems With Memory,side_effect,Problems with memory.
Marijuana,Heart That Beats Too Fast,side_effect,Heart that beats too fast.
Marijuana,Heart That Beats Out Of Time,side_effect,Heart that beats out of time.
Marijuana,Nausea,side_effect,"Using doses of CBD higher than 300 milligrams a day can cause nausea, vomiting, diarrhea and liver conditions."
Marijuana,Depression Or Make Depression Symptoms Worse,side_effect,"If you have a mental health condition, use cannabis with caution. If you have bipolar disorder, cannabis may make you irritable or restless with racing thoughts, also called mania. Using cannabis often might raise the risk of depression or make depression symptoms worse. Research in people who have schizophrenia suggests that cannabis use may raise the risk of losing touch with reality, also called psychosis."
Marijuana,Mania,side_effect,"If you have a mental health condition, use cannabis with caution. If you have bipolar disorder, cannabis may make you irritable or restless with racing thoughts, also called mania. Using cannabis often might raise the risk of depression or make depression symptoms worse. Research in people who have schizophrenia suggests that cannabis use may raise the risk of losing touch with reality, also called psychosis."
Marijuana,Psychosis,side_effect,"If you have a mental health condition, use cannabis with caution. If you have bipolar disorder, cannabis may make you irritable or restless with racing thoughts, also called mania. Using cannabis often might raise the risk of depression or make depression symptoms worse. Research in people who have schizophrenia suggests that cannabis use may raise the risk of losing touch with reality, also called psychosis."
Marijuana,Serious,side_effect,"Cannabis slows down messages to the brain and spinal cord, also called the central nervous system. This system is sometimes called the CNS. Using cannabis can change how you think and feel. Some people may have heart changes, such as high blood pressure. Using cannabis often for years may worsen lung conditions and may cause serious, frequent vomiting, also called cannabinoid hyperemesis syndrome."
Marijuana,High Blood Pressure,side_effect,"Cannabis slows down messages to the brain and spinal cord, also called the central nervous system. This system is sometimes called the CNS. Using cannabis can change how you think and feel. Some people may have heart changes, such as high blood pressure. Using cannabis often for years may worsen lung conditions and may cause serious, frequent vomiting, also called cannabinoid hyperemesis syndrome."
Marijuana,Cannabinoid Hyperemesis Syndrome,side_effect,"Cannabis slows down messages to the brain and spinal cord, also called the central nervous system. This system is sometimes called the CNS. Using cannabis can change how you think and feel. Some people may have heart changes, such as high blood pressure. Using cannabis often for years may worsen lung conditions and may cause serious, frequent vomiting, also called cannabinoid hyperemesis syndrome."
Marijuana,You To Need More Anesthetic,side_effect,"Avoid using cannabis for two weeks before getting medicine that puts you in a sleeplike state before surgery. This medicine is called an anesthetic. Using cannabis may cause you to need more anesthetic. Using cannabis also may raise your risk of anesthesia complications, such as a very fast heart rate."
Marijuana,Bleeding,interaction,"Anticoagulant or antiplatelet medicines, herbs and supplements.These types of medicines, herbs and supplements may make you bleed more if you have a cut or injury. Using these with cannabis might raise the risk of bleeding, especially for those taking warfarin (Jantoven)."
Marijuana,Liver Conditions,interaction,"Medicines to prevent seizures.Avoid using cannabis  when taking medicines to treat seizures. The medicines may not work as well or cause other side effects, such as liver conditions."
Melatonin,Headache,side_effect,Headache
Melatonin,Dizziness,side_effect,Dizziness
Melatonin,Nausea,side_effect,Nausea
Melatonin,Drowsiness,side_effect,Drowsiness
Melatonin,Daytime Drowsiness,side_effect,"Because melatonin can cause daytime drowsiness, don't drive or use machinery within five hours of taking the supplement."
Melatonin,Bleeding,interaction,"Anticoagulants and anti-platelet drugs, herbs and supplements.These types of drugs, herbs and supplements reduce blood clotting. Combining use of melatonin with them might increase the risk of bleeding."
Melatonin,Diazepam (Valium,interaction,"Cytochrome P450 1A2 (CYP1A2) and cytochrome P450 2C19 (CPY2C19) substrates.Use melatonin cautiously if you take drugs such as diazepam (Valium, Valtoco, others) and others that are affected by these enzymes."
Melatonin,Seizures,interaction,Seizure threshold lowering drugs.Taking melatonin with these drugs might increase the risk of seizures.
Milk thistle,"Gastrointestinal Issues, Such As Diarrhea, Constipation, Nausea, Vomiting And Abdominal Bloating",side_effect,"Gastrointestinal issues, such as diarrhea, constipation, nausea, vomiting and abdominal bloating"
Milk thistle,Itchiness,side_effect,Itchiness
Milk thistle,Headache,side_effect,Headache
Milk thistle,Ragweed,side_effect,"Milk thistle can cause an allergic reaction, including a severe, potentially life-threatening allergic reaction (anaphylaxis). An allergic reaction is more common in people who are allergic to other plants in the Asteraceae family, such as ragweed, daisies, marigolds and chrysanthemums."
Milk thistle,Diazepam,interaction,"Cytochrome P450 2C9 (CYP2C9) substrates.Taking milk thistle might affect this enzyme and drugs it processes, such as diazepam (Valium), warfarin (Jantoven) and others. This means milk thistle might affect the levels of these drugs in your body."
Niacin,Skin Flushing And Dizziness,side_effect,Skin flushing and dizziness.
Niacin,Itching,side_effect,Itching.
Niacin,Upset Stomach And Vomiting,side_effect,Upset stomach and vomiting.
Niacin,Belly Pain,side_effect,Belly pain.
Niacin,Loose Stools,side_effect,Loose stools.
Niacin,Gout,side_effect,Gout.
Niacin,Liver Damage,side_effect,Liver damage.
Niacin,Diabetes,side_effect,Diabetes.
Niacin,Hypotension,side_effect,"If you have a liver condition, a peptic ulcer, or very low blood pressure, called hypotension, don't take large amounts of niacin. The supplement has been linked with liver damage. Liver damage can cause hypotension and might make a peptic ulcer active."
Niacin,Gout,side_effect,"Taking niacin also might make allergies, gallbladder conditions, and symptoms of some thyroid conditions worse. If you have diabetes, niacin can affect how you manage your blood sugar. Use niacin with care if you have gout. Niacin can cause too much uric acid in the blood, called hyperuricemia. This raises the risk of gout."
Niacin,Hyperuricemia,side_effect,"Taking niacin also might make allergies, gallbladder conditions, and symptoms of some thyroid conditions worse. If you have diabetes, niacin can affect how you manage your blood sugar. Use niacin with care if you have gout. Niacin can cause too much uric acid in the blood, called hyperuricemia. This raises the risk of gout."
Niacin,Deficiency,side_effect,"If you're pregnant, don't take prescription niacin for high cholesterol. But if you need niacin to prevent or treat lack of niacin, called deficiency, niacin is likely safe to take during pregnancy and breastfeeding. Use it only as your healthcare professional tells you."
Niacin,Liver Damage,interaction,"Alcohol.Taking niacin with alcohol might raise the risk of liver damage. And it might make niacin side effects, such as flushing and itching, worse."
Niacin,Flushing And Itching,interaction,"Alcohol.Taking niacin with alcohol might raise the risk of liver damage. And it might make niacin side effects, such as flushing and itching, worse."
Niacin,Bleeding,interaction,"Anticoagulant and antiplatelet medicines, herbs and supplements.These types of medicines, herbs and supplements limit blood clotting. Taking niacin with them might raise the risk of bleeding."
Niacin,Low Blood Pressure,interaction,"Blood pressure medicines, herbs and supplements.Niacin might add to the effect of medicines, herbs and supplements that manage blood pressure. This could raise the risk of low blood pressure, also called hypotension."
Niacin,Hypotension,interaction,"Blood pressure medicines, herbs and supplements.Niacin might add to the effect of medicines, herbs and supplements that manage blood pressure. This could raise the risk of low blood pressure, also called hypotension."
Niacin,Liver Damage,interaction,"Medicines, herbs and supplements that cause liver damage, called hepatotoxic.Niacin can cause liver damage. So don't take it with medicines, herbs or supplements that also can cause liver damage."
Niacin,Liver Damage,interaction,"Medicines, herbs and supplements that cause liver damage, called hepatotoxic.Niacin can cause liver damage. So don't take it with medicines, herbs or supplements that also can cause liver damage."
Niacin,Hepatotoxic,interaction,"Medicines, herbs and supplements that cause liver damage, called hepatotoxic.Niacin can cause liver damage. So don't take it with medicines, herbs or supplements that also can cause liver damage."
Niacin,Side Effects,interaction,Statins.Research shows that taking niacin with these cholesterol medicines does little more than statins alone. Taking niacin with statins might raise the risk of side effects.
Niacin,Flushing And Itching,interaction,"Zinc.Taking zinc with niacin might worsen niacin side effects, such as flushing and itching."
Red yeast rice,Mild Side Effects,side_effect,"Red yeast rice can cause mild side effects, including:"
Red yeast rice,Stomach Pain,side_effect,Stomach pain.
Red yeast rice,Heartburn,side_effect,Heartburn.
Red yeast rice,Gas,side_effect,Gas.
Red yeast rice,Headache,side_effect,Headache.
Red yeast rice,Feeling Dizzy,side_effect,Feeling dizzy.
Red yeast rice,Upset Stomach,side_effect,Upset stomach.
Red yeast rice,Liver Damage,interaction,Alcohol.Don't drink alcohol if you are taking red yeast rice. The combination might increase the risk of liver damage.
Red yeast rice,Muscle Issues,interaction,"Cyclosporine (Neoral, Sandimmune).This medicine suppresses the immune system. Taking it with red yeast rice might raise the risk of muscle issues."
Red yeast rice,Harmful Side Effects From Red Yeast Rice,interaction,Cytochrome P450 3A4 inhibitors.Taking red yeast rice with medicines that slow down or stop the CYP3A4 enzyme might raise the risk of harmful side effects from red yeast rice. These medicines include erythromycin.
Red yeast rice,Muscle Issues,interaction,Gemfibrozil (Lopid).Taking this cholesterol medicine with red yeast rice might raise the risk of muscle issues.
Red yeast rice,Liver Damage In Some People,interaction,"Hepatotoxic medicines, herbs and supplements.Red yeast rice may have monacolin K in it, which can cause liver damage in some people. Taking red yeast rice with these types of medicines, herbs, and supplements could raise the risk of liver damage."
Red yeast rice,Liver Damage,interaction,"Hepatotoxic medicines, herbs and supplements.Red yeast rice may have monacolin K in it, which can cause liver damage in some people. Taking red yeast rice with these types of medicines, herbs, and supplements could raise the risk of liver damage."
Red yeast rice,Muscle Issues,interaction,Niacin.Taking red yeast rice with high-dose niacin might raise the risk of muscle issues.
Red yeast rice,Harmful Side Effects,interaction,Statins.Taking red yeast rice with statins might raise the risk of harmful side effects.
SAMe,"Digestive Problems, Such As Nausea, Diarrhea Or Constipation",side_effect,"Digestive problems, such as nausea, diarrhea or constipation"
SAMe,Mild Insomnia,side_effect,Mild insomnia
SAMe,Dizziness,side_effect,Dizziness
SAMe,Irritability,side_effect,Irritability
SAMe,Anxiety,side_effect,Anxiety
SAMe,Sweating,side_effect,Sweating
SAMe,Serotonin Syndrome,interaction,Antipsychotics.Be cautious when taking these drugs with SAMe. The combination could increase the risk of serotonin syndrome.
SAMe,Serotonin Syndrome,interaction,Amphetamines.Be cautious when taking these drugs with SAMe. The combination could increase the risk of serotonin syndrome.
SAMe,Serotonin Syndrome,interaction,Dextromethorphan.Taking SAMe with this cough suppressant could increase the risk of serotonin syndrome.
SAMe,Serotonin Syndrome,interaction,"Narcotics.Taking SAMe with meperidine (Demerol) or tramadol (Ultram, ConZip) could increase the risk of serotonin syndrome."
St. John's wort,Anxiety,side_effect,Anxiety.
St. John's wort,Dizziness,side_effect,Dizziness.
St. John's wort,"Diarrhea, Constipation, And Upset Stomach",side_effect,"Diarrhea, constipation, and upset stomach."
St. John's wort,Dry Mouth,side_effect,Dry mouth.
St. John's wort,Tiredness And Trouble Sleeping,side_effect,Tiredness and trouble sleeping.
St. John's wort,Headache,side_effect,Headache.
St. John's wort,"Higher Sensitivity To Sunlight, Also Called Photosensitivity",side_effect,"Higher sensitivity to sunlight, also called photosensitivity."
St. John's wort,Mild To Severe Side Effects,interaction,"Antidepressants.If you take St. John's wort with antidepressants, it might raise the risk of a buildup of high serotonin levels in the body. Too much serotonin can cause mild to severe side effects. Get supervision from a healthcare professional if you take St. John's wort and an antidepressant."
St. John's wort,Atorvastatin,interaction,"Certain statins.If you take St. John's wort with statins such as atorvastatin, lovastatin, and others, it might lessen how well the statin works."
St. John's wort,Breakthrough Bleeding,interaction,"Contraceptive medicines.Use of St. John's wort with medicines used to prevent pregnancy, called contraceptive or birth control medicines, might cause breakthrough bleeding, bleeding that's not regular or pregnancy that's not planned. You might need a second or different form of birth control."
St. John's wort,Contraceptive Or Birth Control Medicines,interaction,"Contraceptive medicines.Use of St. John's wort with medicines used to prevent pregnancy, called contraceptive or birth control medicines, might cause breakthrough bleeding, bleeding that's not regular or pregnancy that's not planned. You might need a second or different form of birth control."
St. John's wort,Cyp1A2,interaction,"Cytochrome P450 1A2, cytochrome P450 2B6, cytochrome P450 2C19, cytochrome P450 2C9 and cytochrome P450 3A4 substrates.Don't take St. John's wort if you're taking a medicine affected by these enzymes. These enzymes also are called CYP1A2, CYP2B6, CYP2C19, CYP2C9 and CYP3A4."
St. John's wort,Photosensitizing Medicine,interaction,"Photosensitizing medicines.If you take St. John's wort with medicine that increases sensitivity to sunlight, called photosensitizing medicine, it might raise the risk of a reaction."
St. John's wort,Mild To Severe Side Effects,interaction,Triptans.Don't take St. John's wort with these medicines that treat migraines. The supplement might raise the risk of buildup of high serotonin levels in the body. Too much serotonin can cause mild to severe side effects.
Tea tree oil,Skin Irritation,side_effect,Skin irritation.
Tea tree oil,"Allergic Skin Rash, Also Called Dermatitis",side_effect,"Allergic skin rash, also called dermatitis."
Tea tree oil,Itching,side_effect,Itching.
Tea tree oil,Stinging,side_effect,Stinging.
Tea tree oil,Burning,side_effect,Burning.
Tea tree oil,Dryness,side_effect,Dryness.
Tea tree oil,Confusion,side_effect,Confusion.
Tea tree oil,"Problems With Muscle Control And Movement, Called Ataxia",side_effect,"Problems with muscle control and movement, called ataxia."
Tea tree oil,Problems Breathing,side_effect,Problems breathing.
Tea tree oil,Higher White Blood Cell Count,side_effect,Higher white blood cell count.
Tea tree oil,"A Deep State Of Sleep Where A Person Doesn'T Respond, Called Coma",side_effect,"A deep state of sleep where a person doesn't respond, called coma."
Vitamin A,Nausea,side_effect,Nausea.
Vitamin A,Vomiting,side_effect,Vomiting.
Vitamin A,Fatigue,side_effect,Fatigue.
Vitamin A,Dizziness,side_effect,Dizziness.
Vitamin A,Blurry Vision,side_effect,Blurry vision.
Vitamin A,Balance Issues,side_effect,Balance issues.
Vitamin A,Liver Damage,side_effect,Liver damage.
Vitamin A,Headache,side_effect,Headache.
Vitamin A,Nausea,side_effect,Nausea.
Vitamin A,Hair Loss,side_effect,Hair loss.
Vitamin A,Dry Skin,side_effect,Dry skin.
Vitamin A,Pain In The Joints And Bones,side_effect,Pain in the joints and bones.
Vitamin A,"Rarely, Death",side_effect,"Rarely, death."
Vitamin A,Liver Damage,interaction,"Hepatotoxic medicines.Taking high doses of vitamin A supplements can cause liver damage. Combining high doses of vitamin A supplements with other medicines that can damage the liver, called hepatoxic medicines, could raise the risk of liver conditions."
Vitamin A,Liver Conditions,interaction,"Hepatotoxic medicines.Taking high doses of vitamin A supplements can cause liver damage. Combining high doses of vitamin A supplements with other medicines that can damage the liver, called hepatoxic medicines, could raise the risk of liver conditions."
Vitamin A,Hepatoxic Medicines,interaction,"Hepatotoxic medicines.Taking high doses of vitamin A supplements can cause liver damage. Combining high doses of vitamin A supplements with other medicines that can damage the liver, called hepatoxic medicines, could raise the risk of liver conditions."
Vitamin A,Bleeding,interaction,Warfarin (Jantoven).Use of vitamin A supplements while taking this medicine used to prevent blood clots might raise your risk of bleeding.
Vitamin B-6,A Lack Of Muscle Control Or Coordination Of Voluntary Movements,side_effect,A lack of muscle control or coordination of voluntary movements (ataxia)
Vitamin B-6,"Painful, Disfiguring Skin Lesions",side_effect,"Painful, disfiguring skin lesions"
Vitamin B-6,Heartburn And Nausea,side_effect,Heartburn and nausea
Vitamin B-6,Sensitivity To Sunlight,side_effect,Sensitivity to sunlight (photosensitivity)
Vitamin B-6,Numbness,side_effect,Numbness
Vitamin B-6,Reduced Ability To Sense Pain Or Extreme Temperatures,side_effect,Reduced ability to sense pain or extreme temperatures
Vitamin B-12,Headache,side_effect,Headache.
Vitamin B-12,Nausea,side_effect,Nausea.
Vitamin B-12,Diarrhea,side_effect,Diarrhea.
Vitamin B-12,Weakness,side_effect,Weakness.
Vitamin B-12,Tingling Sensation In Hands And Feet,side_effect,Tingling sensation in hands and feet.
