symptom_id,symptom_name
SYM063,Cyp3A4 Substrates
SYM064,Dandruff
SYM065,Daytime Drowsiness
SYM066,Death
SYM067,Deficiency
SYM068,Dehydration
SYM069,Delayed sleep phase (delayed sleep-wake phase sleep disorder)
SYM070,Dementia
SYM071,Dental plaque
SYM072,Depression
SYM073,Depression Or Make Depression Symptoms Worse
SYM074,Diabetes
SYM075,"Diabetic neuropathy,"
SYM076,Diarrhea
SYM077,"Diarrhea, Constipation, And Upset Stomach"
SYM078,Diazepam
SYM079,Diazepam (Valium
SYM080,Difficulty Breathing
SYM081,"Digestive Problems, Such As Nausea, Diarrhea Or Constipation"
SYM082,Diuretics
SYM083,Dizziness
SYM084,Dizziness And Higher Risk Of Falling
SYM085,Drowsiness
SYM086,"Drowsiness, Including Problems Focusing"
SYM087,Dry Mouth
SYM088,Dry Skin
SYM089,Dryness
SYM090,Eczema
SYM091,Erectile dysfunction
SYM092,Excessive Perspiration
SYM093,Eye diseases
SYM094,Fainting
SYM095,Fatigue
SYM096,Feeling Anxious
SYM097,Feeling Dizzy
SYM098,Fluoxetine
SYM099,Flushing And Itching
SYM100,Folate deficiency
SYM101,G6Pdh Deficiency
SYM102,Gas
SYM103,"Gastrointestinal Issues, Such As Diarrhea, Constipation, Nausea, Vomiting And Abdominal Bloating"
SYM104,Gastrointestinal disease
SYM105,Getting Liver And Thyroid Cancers
SYM106,Glaucoma
SYM107,Gout
SYM108,Hair Loss
SYM109,Harmful Side Effects
SYM110,Harmful Side Effects From Red Yeast Rice
SYM111,Head And Neck Cancer
SYM112,Headache
SYM113,Headaches
SYM114,Heart Rhythm Issues
SYM115,Heart That Beats Out Of Time
SYM116,Heart That Beats Too Fast
SYM117,Heart and blood vessel disease
SYM118,Heart and blood vessel disease and stroke
SYM119,Heart conditions
SYM120,Heart disease
SYM121,Heart failure
SYM122,Heartburn
SYM123,Heartburn And Nausea
SYM124,"Heartburn, Nausea Or Diarrhea"
SYM125,Hemochromatosis
SYM126,Hepatotoxic
SYM127,Hepatoxic Medicines
SYM128,Herpes simplex virus
SYM129,High Blood Pressure
SYM130,High blood pressure
SYM131,High blood pressure (hypertension)
SYM132,High blood pressure during pregnancy
SYM133,High cholesterol
SYM134,High triglycerides and cholesterol
SYM135,"Higher Sensitivity To Sunlight, Also Called Photosensitivity"
SYM136,Higher White Blood Cell Count
SYM137,Hormone-Sensitive Cancers
SYM138,Hypercalcemia
SYM139,Hyperuricemia
SYM140,Hypoglycemia
SYM141,Hypokalemia
SYM142,Hypotension
SYM143,Increased Thirst
SYM144,Indigestion (dyspepsia)
SYM145,Injury prevention
SYM146,Insomnia
SYM147,Intranasal Zinc
SYM148,Irregular Heart Rhythms
SYM149,Irritability
SYM150,Itchiness
SYM151,Itching
SYM152,Jet lag
SYM153,Kidney Stones
SYM154,Kidney Stones And Kidney Damage
SYM155,Lice
SYM156,Liver Conditions
SYM157,Liver Damage
SYM158,Liver Damage In Some People
SYM159,Liver Disease
SYM160,Liver disease
SYM161,Loose Stools
SYM162,Loss Of Appetite
SYM163,Loss Of Fluids
SYM164,Low Blood Pressure
SYM165,Low Blood Sugar
SYM166,Low Salt Levels
SYM167,Low Vitamin B-12 Levels
SYM168,Mania
SYM169,Manic Symptoms
SYM170,Measles
SYM171,Menopausal symptoms
SYM172,Menopause symptoms
SYM173,"Metabolic dysfunction-associated steatotic liver disease, also called MASLD"
SYM174,Migraines
SYM175,Mild Insomnia
SYM176,Mild Side Effects
SYM177,Mild To Severe Side Effects
SYM178,Mite infections
SYM179,More Bleeding
SYM180,Morning sickness
SYM181,Multiple sclerosis
SYM182,Muscle Issues
SYM183,Muscle Weakness
SYM184,Nail fungus
SYM185,Nausea
SYM186,Nausea And Vomiting
SYM187,Nausea and vomiting related to cancer treatment
SYM188,"Nausea, Abdominal Pain And Diarrhea"
SYM189,Neurological disease
SYM190,"Niacin deficiency, also called pellagra"
SYM191,Not Being Able To Think Clearly Or Quickly
SYM192,Numbness
SYM193,Occult Blood
SYM194,Oily Skin
SYM195,Omeprazole (Prilosec
SYM196,Oral lichen planus
SYM197,Osteoarthritis
SYM198,Osteomalacia
SYM199,Osteoporosis
SYM200,Pain
SYM201,Pain In The Joints And Bones
SYM202,"Painful, Disfiguring Skin Lesions"
SYM203,Parkinson's disease
SYM204,Peripheral arterial disease (PAD)
SYM205,Phosphate Binders
SYM206,Photosensitizing Medicine
SYM207,Physical performance
SYM208,Preeclampsia
SYM209,Pregnancy Complications
SYM210,Premenstrual syndrome (PMS)
SYM211,"Premenstrual syndrome,"
SYM212,Problems Breathing
SYM213,Problems Sleeping
SYM214,Problems With Memory
SYM215,"Problems With Muscle Control And Movement, Called Ataxia"
SYM216,Prostate
SYM217,Prostate Cancer
SYM218,Prostate cancer
SYM219,Psoriasis
SYM220,Psychosis
SYM221,Ragweed
SYM222,Rare creatine-metabolizing syndromes
SYM223,"Rarely, Death"
SYM224,Rash
SYM225,Red And Dry Eyes
SYM226,Reduced Ability To Sense Pain Or Extreme Temperatures
SYM227,Rheumatoid arthritis
SYM228,Rickets
SYM229,Sarcopenia and bone health
SYM230,"Seeing, Hearing Or Smelling Things That Aren'T There, Known As Hallucinations, And Psychosis"
SYM231,Seizures
SYM232,Seizures In Some People
SYM233,Sensitivity To Sunlight
SYM234,Serious
SYM235,Serious Side Effects
SYM236,Serotonin Syndrome
SYM237,Shift work disorder
SYM238,Short-Term Kidney Failure
SYM239,Side Effects
SYM240,Sideroblastic anemia
SYM241,Skin Allergies
SYM242,"Skin Color Changes, Such As Purple Or Brown Depending On Your Skin Color"
SYM243,Skin Flushing And Dizziness
SYM244,Skin Irritation
SYM245,Skin Rash
SYM246,Skin Reactions
SYM247,Skin aging
SYM248,Sleep disorders in children
SYM249,Somatic symptom disorder
SYM250,Some types of diarrhea
SYM251,Spasticity
SYM252,Statin-induced myopathy
SYM253,Statins And Niacin Could Keep Niacin From Working As It Should
SYM254,Stinging
SYM255,Stinging After Topical Application
SYM256,Stomach Cramps
SYM257,Stomach Cramps Or Bloating
SYM258,Stomach Pain
SYM259,"Strength, muscle size and performance"
SYM260,Sweating
SYM261,Symptoms Of Excess Estrogen
SYM262,"The Feeling Of The Heart Pounding Or Racing, Called Palpitations"
SYM263,Tingling Sensation In Hands And Feet
SYM264,Tiredness
SYM265,"Tiredness And Sleepiness Or Not Being Able To Sleep, Called Insomnia"
SYM266,Tiredness And Trouble Sleeping
SYM267,Too Little Vitamin K
SYM268,Too Much Bleeding During Surgery
SYM269,"Trouble Passing Stool, Called Constipation"
SYM270,Trouble Sleeping
SYM271,Upper Stomach Pain
SYM272,Upset Stomach
SYM273,Upset Stomach And Vomiting
SYM274,"Upset Stomach, Vomiting And Loose Stools"
SYM275,Vaginal atrophy
SYM276,Vitamin A deficiency
SYM277,Vomiting
SYM278,Weakness
SYM279,Weed Or Marijuana
SYM280,"Weight Gain, Generally As Lean Body Mass"
SYM281,Weight Loss And Not Wanting To Eat
SYM282,Wheezing
SYM283,Wheezing And Other Asthmatic Symptoms
SYM284,Wound care
SYM285,Wound healing
SYM286,You To Need More Anesthetic
SYM287,Your Blood Pressure To Become Too Low
SYM288,Zinc deficiency
