supplement_name,symptom_name,context,description
Marijuana,Spasticity,treats,".Cannabis may help treat muscle movements a person can't control in people with multiple sclerosis. These movements are called spasms. Most studies looked at a pill form of a chemical in cannabis, not cannabis that is smoked."
Marijuana,Cancer treatment,treats,.Some people use cannabis to treat their cancers. Some studies on animals show promise. There are no large studies that show that cannabis helps treat cancer. More research is needed.
Marijuana,Weed Or Marijuana,side_effect,"Medical cannabis, also called weed or marijuana, is generally considered safe. Most of the side effects of cannabis are due to the THC content. But different types of cannabis have different amounts of THC. This can make it very hard to know the right amount to take. The side effects seem to be worse the higher the dose of THC a person uses."
Marijuana,Headaches,side_effect,Headaches.
Marijuana,Dry Mouth,side_effect,Dry mouth.
Marijuana,Red And Dry Eyes,side_effect,Red and dry eyes.
Marijuana,Dizziness And Higher Risk Of Falling,side_effect,Dizziness and higher risk of falling.
Marijuana,"Drowsiness, Including Problems Focusing",side_effect,"Drowsiness, including problems focusing."
Marijuana,Fatigue,side_effect,Fatigue.
Marijuana,Coughing,side_effect,Coughing.
Marijuana,Wheezing,side_effect,Wheezing.
Marijuana,Nausea And Vomiting,side_effect,Nausea and vomiting.
Marijuana,Feeling Anxious,side_effect,Feeling anxious.
Marijuana,"Seeing, Hearing Or Smelling Things That Aren'T There, Known As Hallucinations, And Psychosis",side_effect,"Seeing, hearing or smelling things that aren't there, known as hallucinations, and psychosis."
Marijuana,Problems With Memory,side_effect,Problems with memory.
Marijuana,Heart That Beats Too Fast,side_effect,Heart that beats too fast.
Marijuana,Heart That Beats Out Of Time,side_effect,Heart that beats out of time.
Marijuana,Nausea,side_effect,"Using doses of CBD higher than 300 milligrams a day can cause nausea, vomiting, diarrhea and liver conditions."
Marijuana,Depression Or Make Depression Symptoms Worse,side_effect,"If you have a mental health condition, use cannabis with caution. If you have bipolar disorder, cannabis may make you irritable or restless with racing thoughts, also called mania. Using cannabis often might raise the risk of depression or make depression symptoms worse. Research in people who have schizophrenia suggests that cannabis use may raise the risk of losing touch with reality, also called psychosis."
Marijuana,Mania,side_effect,"If you have a mental health condition, use cannabis with caution. If you have bipolar disorder, cannabis may make you irritable or restless with racing thoughts, also called mania. Using cannabis often might raise the risk of depression or make depression symptoms worse. Research in people who have schizophrenia suggests that cannabis use may raise the risk of losing touch with reality, also called psychosis."
Marijuana,Psychosis,side_effect,"If you have a mental health condition, use cannabis with caution. If you have bipolar disorder, cannabis may make you irritable or restless with racing thoughts, also called mania. Using cannabis often might raise the risk of depression or make depression symptoms worse. Research in people who have schizophrenia suggests that cannabis use may raise the risk of losing touch with reality, also called psychosis."
Marijuana,Serious,side_effect,"Cannabis slows down messages to the brain and spinal cord, also called the central nervous system. This system is sometimes called the CNS. Using cannabis can change how you think and feel. Some people may have heart changes, such as high blood pressure. Using cannabis often for years may worsen lung conditions and may cause serious, frequent vomiting, also called cannabinoid hyperemesis syndrome."
Marijuana,High Blood Pressure,side_effect,"Cannabis slows down messages to the brain and spinal cord, also called the central nervous system. This system is sometimes called the CNS. Using cannabis can change how you think and feel. Some people may have heart changes, such as high blood pressure. Using cannabis often for years may worsen lung conditions and may cause serious, frequent vomiting, also called cannabinoid hyperemesis syndrome."
Marijuana,Cannabinoid Hyperemesis Syndrome,side_effect,"Cannabis slows down messages to the brain and spinal cord, also called the central nervous system. This system is sometimes called the CNS. Using cannabis can change how you think and feel. Some people may have heart changes, such as high blood pressure. Using cannabis often for years may worsen lung conditions and may cause serious, frequent vomiting, also called cannabinoid hyperemesis syndrome."
Marijuana,You To Need More Anesthetic,side_effect,"Avoid using cannabis for two weeks before getting medicine that puts you in a sleeplike state before surgery. This medicine is called an anesthetic. Using cannabis may cause you to need more anesthetic. Using cannabis also may raise your risk of anesthesia complications, such as a very fast heart rate."
Marijuana,Bleeding,interaction,"Anticoagulant or antiplatelet medicines, herbs and supplements.These types of medicines, herbs and supplements may make you bleed more if you have a cut or injury. Using these with cannabis might raise the risk of bleeding, especially for those taking warfarin (Jantoven)."
Marijuana,Liver Conditions,interaction,"Medicines to prevent seizures.Avoid using cannabis  when taking medicines to treat seizures. The medicines may not work as well or cause other side effects, such as liver conditions."
Melatonin,Circadian rhythm sleep disorders in the blind,treats,.Melatonin can help improve these disorders in adults and children.
Melatonin,Delayed sleep phase (delayed sleep-wake phase sleep disorder),treats,".In this disorder, your sleep pattern is delayed two hours or more from a conventional sleep pattern, causing you to go to sleep later and wake up later. Research shows that melatonin reduces the length of time needed to fall asleep and advances the start of sleep in adults and children with this condition. Talk to your child's doctor before giving melatonin to a child."
Melatonin,Insomnia,treats,".Research suggests that melatonin might slightly reduce the time it takes to fall asleep, but its effects on sleep quality and total sleep time aren't clear. Melatonin might be more beneficial for older adults who could be melatonin deficient."
Melatonin,Jet lag,treats,".Evidence shows that melatonin can improve jet lag symptoms, such as alertness and daytime sleepiness."
Melatonin,Shift work disorder,treats,.It's not clear whether melatonin can improve daytime sleep quality and duration in people whose jobs require them to work outside the traditional morning to evening schedule.
