category_id,category
C00201,Passively Acquired Immunity
C00202,Serum
C00203,Alimentary Tract and Metabolism
C00204,Blood Glucose Lowering Agents
C00205,Cytochrome P-450 CYP1A2 Inducers
C00206,Cytochrome P-450 CYP1A2 Inducers (strength unknown)
C00207,Drugs Used in Diabetes
C00208,Hypoglycemia-Associated Agents
C00209,Insulin
C00210,"Insulin, metabolism"
C00211,"Insulin, Short-Acting"
C00212,"Insulins and Analogues for Injection, Fast-Acting"
C00213,Pancreatic Hormones
C00214,Genito Urinary System and Sex Hormones
C00215,"Gonadotropins, Pituitary"
C00216,Sex Hormones and Modulators of the Genital System
C00217,Interferon gamma
C00218,Lymphokines
C00219,Macrophage-Activating Factors
C00220,Agents that produce hypertension
C00221,Antidiuretic Agents
C00222,Arginine Vasopressin
C00223,Coagulants
C00224,Factor VIII Activator
C00225,Increased Coagulation Factor VIII Activity
C00226,Increased Coagulation Factor VIII Concentration
C00227,Natriuretic Agents
C00228,Pituitary
C00229,"Pituitary Hormones, Posterior"
C00230,Posterior Pituitary Lobe Hormones
C00231,Vasopressin Analog
C00232,Vasopressin and Analogues
C00233,Vasopressins
C00234,Factor VII
C00235,"Factor VIIa, antagonists & inhibitors"
C00236,Increased Coagulation Factor IX Activity
C00237,Increased Coagulation Factor X Activity
C00238,Megakaryocyte Growth Factor
C00239,Detoxifying Agents for Antineoplastic Treatment
C00240,Fibroblast Growth Factors
C00241,Increased Epithelial Proliferation
C00242,Mucocutaneous Epithelial Cell Growth Factor
C00243,Antihypoglycemic Agent
C00244,Decreased GI Motility
C00245,Decreased GI Smooth Muscle Tone
C00246,Decreased Glycolysis
C00247,Gastrointestinal Agents
C00248,Gastrointestinal Hormones
C00249,Gastrointestinal Motility Inhibitor
C00250,"Glucagon, antagonists & inhibitors"
C00251,Glycogenolytic Agents
C00252,Glycogenolytic Hormones
C00253,Increased Gluconeogenesis
C00254,Increased Glycogenolysis
C00255,Proglucagon
C00256,Anti-HIV Agents
C00257,Cytochrome P-450 CYP2E1 Inhibitors
C00258,Cytochrome P-450 CYP2E1 Inhibitors (strength unknown)
C00259,Cytochrome P-450 CYP3A Inhibitors
C00260,Cytochrome P-450 CYP3A4 Inhibitors
C00261,Cytochrome P-450 CYP3A4 Inhibitors (strength unknown)
C00262,Hypotensive Agents
C00263,Increased Lymphocyte Activation
C00264,Increased Lymphocyte Cell Production
C00265,Lymphocyte Growth Factor
C00266,Acetylcholine Release Inhibitors
C00267,Agents that produce neuromuscular block (indirect)
C00268,Amphibian Venoms
C00269,Anti-Dyskinesia Agents
C00270,Bacterial Proteins
C00271,Botulinum Toxins
C00272,Central Nervous System Agents
C00273,Central Nervous System Depressants
C00274,Cholinergic Agents
C00275,Ganglion Blockers
C00276,Membrane Transport Modulators
C00277,Metalloendopeptidases
C00278,Metalloproteases
C00279,Muscle Relaxants
C00280,"Muscle Relaxants, Peripherally Acting Agents"
C00281,Musculo-Skeletal System
C00282,Neurotoxins
C00283,Neurotransmitter Agents
C00284,Other Miscellaneous Therapeutic Agents
C00285,Venoms
C00286,Agents to Treat Airway Disease
C00287,Anti-Allergic Agents
C00288,Anti-Asthmatic Agents
C00289,Anti-IgE
C00290,Antigens
C00291,Decreased IgE Activity
C00292,IgE-directed Antibody Interactions
C00293,"Respiratory Agents, Miscellaneous"
C00294,Respiratory System Agents
C00295,Insulin Analog
C00296,Antimetabolites
C00297,Hypolipidemic Agents
C00298,"Insulin, Long-Acting"
C00299,Lipid Regulating Agents
C00300,Collagen-specific Enzyme
C00301,Collagenases
C00302,"Microbial Collagenase, antagonists & inhibitors"
C00303,Misc. Skin and Mucous Membrane Agents
C00304,Preparations for Treatment of Wounds and Ulcers
C00305,Antigout Preparations
C00306,Methemoglobinemia Associated Agents
C00307,Oxidoreductases
C00308,Urate Oxidase
C00309,Uric Acid-specific Enzyme
C00310,Anti-Gonadotropin-Releasing Hormones
C00311,Decreased GnRH Secretion
C00312,Gonadotropin Releasing Hormone Receptor Antagonists
C00313,Gonadotropin-releasing Hormone Antagonists
C00314,Hormone Antagonists
C00315,Miscellaneous GI Drugs
C00316,Tumor Necrosis Factor Receptor Blocking Activity
C00317,Cytochrome P-450 CYP2C19 Inhibitors
C00318,Cytochrome P-450 CYP2C19 inhibitors (strength unknown)
C00319,Cytochrome P-450 CYP2C19 Inhibitors (weak)
C00320,Growth Hormone
C00321,"Growth Hormone, antagonists & inhibitors"
C00322,"Human Growth Hormone, antagonists & inhibitors"
C00323,Recombinant Human Growth Hormone
C00324,Somatotropin Agonists
C00325,Enzyme Replacement Therapy
C00326,Gaucher Disease
C00327,Glucosidases
C00328,Glycoside Hydrolases
C00329,Hydrolytic Lysosomal Glucocerebroside-specific Enzyme
C00330,Antiplatelet agents
C00331,Glycoprotein IIb/IIIa Receptor-directed Monoclonal Antibodies
C00332,Immunoglobulin Fab Fragments
C00333,Peptide Fragments
C00334,Platelet Aggregation Inhibitors Excl. Heparin
C00335,Blood Coagulation Factor Inhibitors
C00336,Enzyme Precursors
C00337,Recombinant Activated Protein C
C00338,Antibody-drug Conjugates
C00339,Calicheamicins
C00340,CD33-directed Antibody Interactions
C00341,CD33-directed Cytotoxin
C00342,Glycosides
C00343,Immunoconjugates
C00344,Immunotoxins
C00345,Noxae
C00346,Toxic Actions
C00347,Acetates
C00348,"Acids, Acyclic"
C00349,Amines
C00350,Diagnostic Radiopharmaceuticals
C00351,Indium (111In) Compounds
C00352,Indium Radioisotopes
C00353,Polyamines
C00354,Tumour Detection
C00355,Acute-Phase Proteins
C00356,Alpha-Globulins
C00357,Antifibrinolytic Agents
C00358,Human alpha-1 Proteinase Inhibitor
C00359,Proteinase Inhibitors
C00360,"Proteinase Inhibitory Proteins, Secretory"
C00361,Trypsin Inhibitors
C00362,Delayed-Action Preparations
C00363,Immunomodulatory Agents
C00364,Interferon-beta
C00365,Recombinant Human Interferon beta
C00366,Aminohydrolases
C00367,Bovine Intestinal Adenosine Deaminase
C00368,Nucleoside Deaminases
C00369,Severe Combined Immunodeficiency
C00370,Albumins
C00371,Blood and Related Products
C00372,Blood Derivatives
C00373,Blood Substitutes and Perfusion Solutions
C00374,Blood Substitutes and Plasma Protein Fractions
C00375,Cardiac Function
C00376,Diluents
C00377,Human Serum Albumin
C00378,Increased Intravascular Volume
C00379,Increased Oncotic Pressure
C00380,Osmotic Activity
C00381,Serum Albumin
C00382,Decreased Platelet Aggregation
C00383,Follicle Stimulating Hormone
C00384,"Arginine Vasopressin, analogs & derivatives"
C00385,Decreased Diuresis
C00386,Vasoconstriction
C00387,Vasoconstrictor Agents
C00388,HER2 (Human Epidermal Growth Factor Receptor 2) inhibitors
C00389,HER2 Receptor Antagonists
C00390,HER2/Neu/cerbB2 Antagonists
C00391,"Antibodies, Monoclonal, Murine-Derived"
C00392,CD20 (Clusters of Differentiation 20) inhibitors
C00393,CD20-directed Antibody Interactions
C00394,CD20-directed Cytolytic Antibody
C00395,Interleukin 2 Receptor-directed Antibody Interactions
C00396,Interleukin-2 Receptor Antagonist
C00397,Interleukin-2 Receptor Blocking Antibody
C00398,CD3 Blocker Immunosuppressant
C00399,CD3 Receptor Antagonists
C00400,CD3-directed Antibody Interactions
C00401,Decreased Immunologic Activity
C00402,Selective Immunosuppressants
C00403,Antidotes
C00404,Digoxin Binding Activity
C00405,"Antigens, CD20"
C00406,CD20-directed Radiotherapeutic Antibody
C00407,"Lymphoma, B-Cell"
C00408,Radiopharmaceutical Activity
C00409,Therapeutic Radiopharmaceuticals
C00410,Various Therapeutic Radiopharmaceuticals
C00411,Yttrium Radioisotopes
C00412,Antibacterials for Systemic Use
C00413,Antiinfectives for Systemic Use
C00414,Cyclic Lipopeptides
C00415,Lipids
C00416,Lipopeptide Antibacterial
C00417,Lipopeptides
C00418,Iodine (131I) Compounds
C00419,Radioimmunotherapy
C00420,Acromegaly
C00421,Cholinesterase Inhibitors
C00422,Cytochrome P-450 CYP3A Inducers
C00423,Cytochrome P-450 CYP3A4 Inducers
C00424,Cytochrome P-450 CYP3A4 Inducers (strength unknown)
C00425,Growth Hormone Receptor Antagonist
C00426,Growth Hormone Receptor Antagonists
C00427,"Botulinum Toxins, Type A"
C00428,Neuromuscular Agents
C00429,Neuromuscular Blocking Agents
C00430,Peripheral Nervous System Agents
C00431,Carboxylic Ester Hydrolases
C00432,"Digestives, Incl. Enzymes"
C00433,Enzyme Preparations
C00434,Lipase
C00435,Pancreatic Extracts
C00436,Tissue Extracts
C00437,"Streptokinase, antagonists & inhibitors"
C00438,CD52-directed Antibody Interactions
C00439,CD52-directed Cytolytic Antibody
C00440,Indicators and Reagents
C00441,Laboratory Chemicals
C00442,Prostatic Neoplasms
C00443,Hydrolytic Lysosomal Glycosaminoglycan-specific Enzyme
C00444,"Iduronidase, antagonists & inhibitors"
C00445,Agents causing hyperkalemia
C00446,Agents that reduce seizure threshold
C00447,BCRP/ABCG2 Inhibitors
C00448,BSEP/ABCB11 Inhibitors
C00449,BSEP/ABCB11 Substrates
C00450,BSEP/ABCB11 Substrates with a Narrow Therapeutic Index
C00451,Calcineurin Inhibitor Immunosuppressant
C00452,Calcineurin Inhibitors
C00453,Cyclosporins
C00454,Cytochrome P-450 CYP2D6 Inhibitors (moderate)
C00455,Cytochrome P-450 CYP3A Substrates
C00456,Cytochrome P-450 CYP3A4 Inhibitors (moderate)
C00457,Cytochrome P-450 CYP3A4 Substrates
C00458,Cytochrome P-450 CYP3A4 Substrates with a Narrow Therapeutic Index
C00459,Cytochrome P-450 CYP3A5 Substrates
C00460,Cytochrome P-450 CYP3A5 Substrates with a Narrow Therapeutic Index
C00461,Cytochrome P-450 Substrates
C00462,Nephrotoxic agents
C00463,Neurotoxic agents
C00464,NTCP Inhibitors
C00465,OAT1/SLC22A6 inhibitors
C00466,OAT1/SLC22A6 Substrates
C00467,OATP1B1/SLCO1B1 Inhibitors
C00468,OATP1B1/SLCO1B1 Substrates
C00469,OATP1B3 inhibitors
C00470,P-glycoprotein substrates with a Narrow Therapeutic Index
C00471,CD2-directed Antibody Interactions
C00472,CD2-directed LFA-3/Fc Fusion Protein
C00473,CD58 Antigens
C00474,Membrane Glycoproteins
C00475,"Antigens, CD11"
C00476,CD11a-directed Antibody Interactions
C00477,CD11a-directed Humanized IgG1 Antibody
C00478,Antibody-Surface Protein Interactions
C00479,Blood
C00480,Body Fluids
C00481,Fluids and Secretions
C00482,Immune Sera
C00483,Increased T Lymphocyte Destruction
C00484,Lymphocyte Function Alteration
C00485,Acids
C00486,"Acids, Noncarboxylic"
C00487,Angiogenesis Inducing Agents
C00488,Angiogenesis Modulating Agents
C00489,Cicatrizants
C00490,DNA-Binding Proteins
C00491,Growth Substances
C00492,Human Platelet-derived Growth Factor
C00493,Neoplasm Proteins
C00494,Oncogene Proteins
C00495,Phosphoric Acids
C00496,Phosphorus Acids
C00497,Phosphorus Compounds
C00498,Platelet-Derived Growth Factor
C00499,Proto-Oncogene Proteins
C00500,Proto-Oncogene Proteins c-sis
C00501,Stomatological Preparations
C00502,Galactosidases
C00503,Hydrolytic Lysosomal Neutral Glycosphingolipid-specific Enzyme
C00504,Protein Isoforms
C00505,Bradycardia-Causing Agents
C00506,Potential QTc-Prolonging Agents
C00507,Somatostatin and Analogues
C00508,Somatostatin Receptor Agonists
C00509,Hormone Antagonists and Related Agents
C00510,Increased Uterine Smooth Muscle Contraction or Tone
C00511,Oxytocin and Analogues
C00512,"Oxytocin, analogs & derivatives"
C00513,Uterotonic agents
C00514,Integrin Receptor Antagonist
C00515,Multiple Sclerosis
C00516,Anti-Retroviral Agents
C00517,"Antigens, Viral"
C00518,Antivirals for Systemic Use
C00519,Cytochrome P-450 CYP2C19 Substrates
C00520,Cytochrome P-450 CYP2E1 Substrates
C00521,Direct Acting Antivirals
C00522,"env Gene Products, Human Immunodeficiency Virus"
C00523,Fusion Protein Inhibitors
C00524,"Gene Products, env"
C00525,HIV Antigens
C00526,HIV Envelope Protein gp41
C00527,HIV Fusion Inhibitors
C00528,Human Immunodeficiency Virus 1 Fusion Inhibitor
C00529,Human Immunodeficiency Virus Proteins
C00530,Membrane Fusion Proteins
C00531,Polyproteins
C00532,Retroviridae Proteins
C00533,Viral Envelope Proteins
C00534,Viral Fusion Protein Inhibitors
C00535,Viral Fusion Proteins
C00536,Viral Proteins
C00537,Viral Structural Proteins
C00538,Antiviral monoclonal antibodies
C00539,Immune Sera and Immunoglobulins
C00540,Respiratory Syncytial Virus Anti-F Protein Monoclonal Antibody
C00541,Specific Immunoglobulins
C00542,Angiogenesis Inhibitors
C00543,Antineovascularisation Agents
C00544,Experimental Unapproved Treatments for COVID-19
C00545,Growth Inhibitors
C00546,Ocular Vascular Disorder Agents
C00547,Vascular Endothelial Growth Factor Inhibitor
C00548,Vascular Endothelial Growth Factor Inhibitors
C00549,Vascular Endothelial Growth Factor-directed Antibody Interactions
C00550,VEGF/VEGFR (Vascular Endothelial Growth Factor / -Receptor) inhibitors
C00551,VEGF/VEGFR (Vascular Endothelial Growth Factor) inhibitors
C00552,Organometallic Compounds
C00553,Technetium (99Mtc) Compounds
C00554,Coenzymes
C00555,Dietary Supplements
C00556,Food
C00557,Micronutrients
C00558,Physiological Phenomena
C00559,Picolines
C00560,Pyridines
C00561,Supplements
C00562,Vitamin B Complex
C00563,Vitamins
C00564,Corrinoids
C00565,"Diet, Food, and Nutrition"
C00566,"Heterocyclic Compounds, Fused-Ring"
C00567,"Vitamin B 12, biosynthesis"
C00568,Vitamin B12 and Folic Acid
C00569,Folic Acid and Derivatives
C00570,Pteridines
C00571,Pterins
C00572,Amino Acids
C00573,"Amino Acids, Cyclic"
C00574,"Amino Acids, Essential"
C00575,Proteinogenic Amino Acids
C00576,Amino Acids and Derivatives
C00577,"Amino Acids, Sulfur"
C00578,Cytochrome P-450 CYP2E1 Inhibitors (weak)
C00579,"Nucleic Acids, Nucleotides, and Nucleosides"
C00580,Nucleosides
C00581,Purine Nucleosides
C00582,Purines
C00583,Ribonucleosides
C00584,Sulfur Compounds
C00585,Keto Acids
C00586,Pyruvates
C00587,"Amino Acids, Aromatic"
C00588,Imidazoles
C00589,Amino Alcohols
C00590,Analgesics
C00591,Ethanolamines
C00592,Lipotropic Agents
C00593,Nervous System
C00594,Nootropic Agents
C00595,OCT1 inhibitors
C00596,OCT1 substrates
C00597,OCT2 Inhibitors
C00598,OCT2 Substrates
C00599,Onium Compounds
C00600,Other Nutritional Agents
C00601,Quaternary Ammonium Compounds
C00602,Salicylic Acid and Derivatives
C00603,Trimethyl Ammonium Compounds
C00604,"Amino Acids, Basic"
C00605,"Amino Acids, Diamino"
C00606,I.V. Solution Additives
C00607,Lysine
C00608,Arginine
C00609,Fatty Acids
C00610,"Fatty Acids, Volatile"
C00611,Pituitary Function
C00612,Antioxidants
C00613,Gastrointestinal Acidifying Agents
C00614,Gynecological Antiinfectives and Antiseptics
C00615,Hydroxy Acids
C00616,Organic Acids
C00617,Protective Agents
C00618,Sugar Acids
C00619,Urinary Acidifying Agents
C00620,Vitamin C and analogues
C00621,Biogenic Amines
C00622,Biogenic Polyamines
C00623,"Amino Acids, Acidic"
C00624,"Amino Acids, Dicarboxylic"
C00625,Excitatory Amino Acids
C00626,Bile and Liver Therapy
C00627,Liver Therapy
C00628,"Liver Therapy, Lipotropics"
C00629,"Amino Acids, Neutral"
C00630,Glutamine
C00631,Adenine Nucleotides
C00632,Nucleotides
C00633,Purine Nucleotides
C00634,Ribonucleotides
C00635,Dietary Fats
C00636,"Dietary Fats, Unsaturated"
C00637,Fats
C00638,"Fatty Acids, Essential"
C00639,"Fatty Acids, Omega-3"
C00640,"Fatty Acids, Unsaturated"
C00641,Linolenic Acids
C00642,Antipsoriatics
C00643,Antipsoriatics for Topical Use
C00644,Cholestanes
C00645,Cholestenes
C00646,Fused-Ring Compounds
C00647,Membrane Lipids
C00648,Secosteroids
C00649,Steroids
C00650,Sterols
C00651,Vitamin D and Analogues
C00652,Vitamins (Fat Soluble)
C00653,Alkenes
C00654,Carotenoids
C00655,Cyclohexanes
C00656,Cyclohexenes
C00657,Cycloparaffins
C00658,"Hydrocarbons, Acyclic"
C00659,"Pigments, Biological"
C00660,Polyenes
C00661,Terpenes
C00662,Xanthophylls
C00663,Anions
C00664,Cysteine
C00665,Disulfides
C00666,Electrolytes
C00667,Hydrogen Sulfide
C00668,Ions
C00669,Sulfides
C00670,Dicarboxylic Acids
C00671,OAT3/SLC22A8 Substrates
C00672,Succinates
C00673,Flavins
C00674,Radiation-Sensitizing Agents
C00675,Amino Sugars
C00676,Hexosamines
C00677,Acid Preparations
C00678,Glutamates
C00679,"Glutathione, antagonists & inhibitors"
C00680,Glycerophosphates
C00681,Glycerophospholipids
C00682,Phosphatidic Acids
C00683,Phosphatidylserines
C00684,Phospholipids
C00685,Glycine Agents
C00686,Irrigating Solutions
C00687,Anti-Parathyroid Agents
C00688,Amidines
C00689,Guanidines
C00690,"Amino Acids, Branched-Chain"
C00691,Antidepressive Agents
C00692,"Antidepressive Agents, Second-Generation"
C00693,Miscellaneous Antidepressants
C00694,Psychoanaleptics
C00695,Psychotropic Drugs
C00696,Serotonergic Drugs Shown to Increase Risk of Serotonin Syndrome
C00697,Caloric Agents
C00698,Nutritional Support
C00699,Sulfhydryl Compounds
C00700,Pyrimidines
C00701,Thiazoles
C00702,Eicosanoids
C00703,"Threonine, antagonists & inhibitors"
C00704,Autacoids
C00705,BCRP/ABCG2 Substrates
C00706,"Anti-Inflammatory Agents, Non-Steroidal"
C00707,"Anti-Inflammatory Agents, Non-Steroidal (Non-Selective)"
C00708,Fish Oils
C00709,Non COX-2 selective NSAIDS
C00710,Oils
C00711,Alanine
C00712,Anti-Acne Preparations
C00713,Anti-Acne Preparations for Topical Use
C00714,Anticarcinogenic Agents
C00715,Diterpenes
C00716,Esters
C00717,Nasal Preparations
C00718,Retinoids
C00719,Retinoids for Topical Use in Acne
C00720,Tests for Fat Absorption
C00721,Vitamin A
C00722,Basic Ointments and Protectants
C00723,Benzopyrans
C00724,Pyrans
C00725,Vitamin E
C00726,"Vitamin E, analogs & derivatives"
C00727,Analogs/Derivatives
C00728,Antimycobacterials
C00729,Drugs for Treatment of Tuberculosis
C00730,Thiophenes
C00731,Various Alimentary Tract and Metabolism Products
C00732,Dipeptides
C00733,Flavoring Agents
C00734,Food Additives
C00735,Food Ingredients
C00736,OAT3/SLC22A8 Inhibitors
C00737,Sweetening Agents
C00738,"Cholecalciferol, antagonists & inhibitors"
C00739,Cytochrome P-450 CYP2C8 Inhibitors
C00740,Cytochrome P-450 CYP2C8 Inhibitors (strength unknown)
C00741,Drugs Affecting Bone Structure and Mineralization
C00742,Drugs for Treatment of Bone Diseases
C00743,Cytochrome P-450 CYP2A6 Inhibitors
C00744,Cytochrome P-450 CYP2A6 Inhibitors (strength unknown)
C00745,Cytochrome P-450 CYP2B6 Inhibitors
C00746,Cytochrome P-450 CYP2B6 Inhibitors (strength unknown)
C00747,Cytochrome P-450 CYP2C9 Inhibitors
C00748,Cytochrome P-450 CYP2C9 Inhibitors (strength unknown)
C00749,Cytochrome P-450 CYP2D6 Inhibitors (strength unknown)
C00750,Cytochrome P-450 CYP3A5 Inhibitors
C00751,Cytochrome P-450 CYP3A5 Inhibitors (strength unknown)
C00752,Cytochrome P-450 CYP3A7 Inhibitors
C00753,Cytochrome P-450 CYP3A7 Inhibitors (strength unknown)
C00754,Naphthalenes
C00755,Naphthoquinones
C00756,Phytol
C00757,Quinones
C00758,Vitamin K
C00759,Adenosine Triphosphate
C00760,Imino Acids
C00761,UGT1A1 Inhibitors
C00762,Anticholesteremic Agents
C00763,Hydroxymethylglutaryl-CoA Reductase Inhibitors
C00764,Hypolipidemic Agents Indicated for Hyperlipidemia
C00765,Lipid Modifying Agents
C00766,"Lipid Modifying Agents, Plain"
C00767,OATP1B3 substrates
C00768,OATP2B1/SLCO2B1 substrates
C00769,Anti-Anxiety Agents
C00770,Antidepressive Agents Indicated for Depression
C00771,Cytochrome P-450 CYP1A2 Inhibitors (strong)
C00772,Cytochrome P-450 CYP1A2 Substrates
C00773,Cytochrome P-450 CYP2C19 Inhibitors (strong)
C00774,Cytochrome P-450 CYP2C9 Inhibitors (moderate)
C00775,Cytochrome P-450 CYP2D6 Substrates
C00776,Cytochrome P-450 CYP3A7 Inhibitors (moderate)
C00777,Hydroxylamines
C00778,Neurotransmitter Uptake Inhibitors
C00779,Oximes
C00780,Selective Serotonin Reuptake Inhibitors
C00781,Serotonin Agents
C00782,Serotonin Modulators
C00783,Tranquilizing Agents
C00784,Agents Acting on the Renin-Angiotensin System
C00785,Angiotensin 2 Receptor Blocker
C00786,Angiotensin II Antagonists and Calcium Channel Blockers
C00787,Angiotensin II Antagonists and Diuretics
C00788,Angiotensin II receptor antagonists
C00789,Angiotensin II receptor blockers (ARBs) and calcium channel blockers
C00790,Angiotensin II receptor blockers (ARBs) and diuretics
