drugbank_id,synonym
DB00020,rHu GM-CSF
DB00020,Sargramostatin
DB00020,Sargramostim
DB00022,Peg interferon alfa-2b
DB00022,PEG-IFN-α-2b
DB00022,peg-interferon alfa-2b
DB00022,Peginterferon alfa-2b
DB00022,Pegylated Interferon - α2b
DB00022,Pegylated Interferon α-2b
DB00022,Pegylated Interferon-α2b
DB00023,Asparaginase
DB00023,Asparaginase (E. coli)
DB00023,Asparaginase Escherichia coli
DB00023,Asparaginase II
DB00023,Asparaginase-E.Coli
DB00023,Colaspase
DB00023,E. coli Asparaginase
DB00023,Escherichia coli L-asparaginase
DB00023,L-Asnase
DB00023,L-asparaginase
DB00023,L-asparagine amidohydrolase
DB00024,Recombinant Human Thyroid Stimulating Hormone
DB00024,Recombinant thyrotropin alfa
DB00024,rhTSH
DB00024,rTSH
DB00024,Thyrotropin alfa
DB00024,Thyrotropin alpha
DB00025,Antihemophilic factor (recombinant)
DB00025,Antihemophilic factor recombinant
DB00025,"Antihemophilic factor, human recombinant"
DB00025,"Antihemophilic factor, recombinant"
DB00025,"Coagulation factor VIII, recombinant"
DB00025,Factor VIII (rDNA)
DB00025,Factor VIII (Recombinant)
DB00025,Factor VIII recombin
DB00025,"Factor VIII, recombinant"
DB00025,Human Factor VIII (Recombinant)
DB00025,Human factor VIII recombinant
DB00025,Octocog alfa
DB00025,rAHF
DB00025,Recombinant antihemophilic factor VIII
DB00025,Recombinant Factor VIII
DB00025,rFVIII
DB00026,Anakinra
DB00026,IL-1RA
DB00026,Interleukin-1 receptor antagonist anakinra
DB00027,Bacillus brevis gramicidin D
DB00027,Gramicidin
DB00027,Gramicidin A
DB00027,Gramicidin B
DB00027,Gramicidin C
DB00027,Gramicidin D
DB00027,Gramicidina
DB00027,Gramicidine
DB00028,Aerosolized pooled immune globulin
DB00028,Human gammaglobulin
DB00028,Human IGG
DB00028,Human immunoglobulin
DB00028,Human immunoglobulin G
DB00028,Human normal immunoglobulin
DB00028,Immune globulin (human)
DB00028,Immune globulin human
DB00028,Immunoglobulin (human)
DB00028,Immunoglobulin G (human)
DB00028,"Immunoglobulin G, human"
DB00028,Intravenous immune globulin (human)
DB00028,Intravenous immunoglobulin (IVIg)
DB00029,Anisoylated plasminogen streptokinase activator complex
DB00029,Anistreplase
DB00029,APSAC
DB00030,ELGN-2112
DB00030,High molecular weight insulin human
DB00030,Human insulin
DB00030,human insulin (rDNA)
DB00030,Insulin (human)
DB00030,Insulin human
DB00030,Insulin human [rDNA origin]
DB00030,Insulin Human Regular
DB00030,Insulin human regular (rDNA)
DB00030,"Insulin human, rDNA origin"
DB00030,Insulin recombinant human
DB00030,Insulin recombinant purified human
DB00030,Insulin regular
DB00030,"Insulin, human"
DB00030,Insulina regular
DB00030,Neutral insulin
DB00030,"Regular Insulin, human"
DB00030,Soluble insulin
DB00031,rhTNK-tPA
DB00031,Tenecteplasa
DB00031,Tenecteplase
DB00031,TNK
DB00031,TNK-tPA
DB00032,Human menopausal gonadotrophin
DB00032,Menotrophin
DB00032,Menotropin
DB00032,Menotropina
DB00032,Menotropins
DB00032,Menotropins (FSH;LH)
DB00033,IFN-gamma 1b
DB00033,IFN-gamma-1b
DB00033,Interferon gamma 1-b
DB00033,Interferon gamma-1b
DB00033,"Interferon gamma-1b, recombinant"
DB00033,Interferon gamma-2a
DB00034,Interferon Alfa 2A
DB00034,Interferon alfa-2a
DB00034,Interferon alfa-2a (genetical recombination)
DB00034,Interferon alfa-2a (recombinant)
DB00034,"Interferon alfa-2a, recombinant"
DB00034,"Interferon alfa-2a,recombinant"
DB00034,Interferon alpha-2a
DB00034,Interferon-alfa-2a
DB00034,Recombinant human interferon alfa-2a
DB00034,Recombinant human interferon-alfa-2a
DB00034,rIFN-alpha-2a
DB00034,SH-polypeptide-46
DB00035,1 deamino 8 D argininevasopressin
DB00035,1-(3-mercaptopropionic acid)-8-D-arginine-vasopressin
DB00035,1-deamino-8-D-arginine vasopressin
DB00035,1-desamino-8-D-arginine vasopressin
DB00035,dDAVP
DB00035,Desmopresina
DB00035,Desmopressin
DB00035,Desmopressine
DB00035,Desmopressinum
DB00036,activated recombinant human factor VII
DB00036,Coagulation factor VIIa
DB00036,Coagulation factor VIIa (recombinant)
DB00036,Coagulation factor VIIa (recombinant)-jncw
DB00036,Coagulation factor VIIa Recombinant Human
DB00036,Eptacog alfa
DB00036,Eptacog alfa (activated)
DB00036,Eptacog Beta
DB00036,Recombinant Activated Factor VII
DB00036,Recombinant human activated coagulation factor VII
DB00036,rFVIIa
DB00038,IL-11
DB00038,Interleukin 11
DB00038,Interleukin-11
DB00038,Oprelvekin
DB00038,Recombinant interleukin-11
DB00039,24-163 fibroblast growth factor 7 (human)
DB00039,Palifermin
DB00039,Palifermina
DB00040,Glucagon
DB00040,Glucagon (recombinant dna origin)
DB00040,Glucagon recombinant
DB00040,"Glucagon, human"
DB00040,"Glucagon, porcine"
DB00040,Glucagone
DB00040,Glucagonum
DB00041,125-L-Serine-2-133-interleukin 2
DB00041,125-L-serine-2-133-interleukin 2 (human reduced)
DB00041,Aldesleukin
DB00041,Aldesleukina
DB00041,ILT-101
DB00041,ILT101
DB00041,Interleukin-2 aldesleukin
DB00041,"Interleukin-2(2-133),125-ser"
DB00041,Recombinant human interleukin-2
DB00041,Recombinant interleukin-2 human
DB00041,rhIL-2
DB00042,Botulin B
DB00042,Botulinum antitoxin type B
DB00042,Botulinum B toxin
DB00042,Botulinum neurotoxin type B precursor
DB00042,Botulinum toxin type B
DB00042,BTX-B
DB00042,RimabotulinumtoxinB
DB00042,Toxina botulínica B
DB00043,Omalizumab
DB00043,RHUMAB-E25
DB00044,Lutropin alfa
DB00044,Lutropin alpha
DB00044,Lutropina alfa
DB00044,Recombinant LH
DB00044,rLH
DB00045,Lipoprotein OspA antigen recombinant
DB00045,Lipoprotein outer surface a borrelia burgdorferi antigen
DB00045,Lyme disease vaccine (recombinant OspA)
DB00045,OspA lipoprotein
DB00046,Insulin lispro
DB00046,Insulin lispro (genetical recombination)
DB00046,Insulin lispro (rDNA origin)
DB00046,Insulin lispro protamine
DB00046,Insulin lispro protamine recombinant
DB00046,Insulin lispro recombinant
DB00046,insulin lispro-aabc
DB00046,"Insulin,lispro,human/rDNA"
DB00046,"Insulin,lispro,protamine/rDNA"
DB00046,Insulina lispro
DB00046,lispro insulin
DB00047,Insulin glargine
DB00047,Insulin glargine (rDNA origin)
DB00047,Insulin glargine recombinant
DB00047,insulin glargine-yfgn
DB00047,Insulina glargina
DB00048,Clostridiopeptidase A
DB00048,Clostridium histolyticum enzymes
DB00048,Collagenase
DB00048,Collagenase clostridium histolyticum
DB00048,collagenase clostridium histolyticum-aaes
DB00049,Rasburicasa
DB00049,Rasburicase
DB00049,Recombinant urate oxidase
DB00049,Urate oxidase
DB00050,Cetrorelix
DB00050,Cetrorelixum
DB00051,Adalimumab
DB00051,Adalimumab (genetical recombination)
DB00051,Adalimumab beta
DB00051,adalimumab-adaz
DB00051,adalimumab-adbm
DB00051,adalimumab-afzb
DB00051,adalimumab-atto
DB00051,adalimumab-bwwd
DB00051,adalimumab-fkjp
DB00052,Growth hormone
DB00052,Growth hormone (human)
DB00052,hGH
DB00052,Human growth hormone
DB00052,Recombinant human growth hormone
DB00052,rhGH
DB00052,Somatotropin (human)
DB00052,Somatotropin human
DB00052,Somatotropin human growth hormone
DB00052,Somatropin
DB00052,Somatropin (rDNA origin)
DB00052,Somatropin (recombinant DNA origin)
DB00052,Somatropin [rDNA origin]
DB00052,Somatropin recombinant
DB00052,Somatropin(recombinant DNA origin)
DB00052,Somatropina
DB00053,Imiglucerasa
DB00053,Imiglucerase
DB00054,Abciximab
DB00054,Abciximab (genetical recombination)
DB00054,c7E3
DB00055,Activated protein C
DB00055,Blood coagulation factor XIV (human)
DB00055,Drotrecogin alfa (activated)
DB00055,"Drotrecogin alfa (activated), lyophilized"
DB00055,Drotrecogin alfa activated
DB00055,"Drotrecogin alfa, activated"
DB00055,Drotrecogin-alfa
DB00055,Recombinant human activated protein C (rH-APC)
DB00056,Gemtuzumab ozogamicin
DB00056,hP67.6-Calicheamicin
DB00057,Indium (111In) satumomab pendetide
DB00057,Indium In 111 satumomab pendetide
DB00057,Indium-111 satumomab pendetide
DB00058,.Alpha.-1 protease inhibitor
DB00058,.Alpha.1-proteinase inhibitor human
DB00058,122320-05-2
DB00058,Alfa 1-proteinase inhibitor (human)
DB00058,Alfa-1-antitripsina
DB00058,Alfa1 antitrypsin
DB00058,Alpha 1-antitrypsin
DB00058,Alpha 1-Proteinase Inhibitor
DB00058,Alpha 1-proteinase inhibitor (human)
DB00058,Alpha 1-proteinase inhibitor human
DB00058,"Alpha 1-proteinase inhibitor, human"
DB00058,Alpha-1 protease inhibitor
DB00058,Alpha-1 proteinase inhibitor (human)
DB00058,Alpha-1-antiproteinase
DB00058,Alpha-1-antitrypsin
DB00058,Alpha-1-proteinase Inhibitor (human)
DB00058,Alpha-1-proteinase inhibitor human
DB00058,"Alpha-1-proteinase Inhibitor, Human"
DB00058,"Alpha-1-proteinase inhibitor,human"
DB00058,Alpha1-antitrypsin
DB00058,Alpha1-proteinase Inhibitor
DB00058,Alpha1-proteinase inhibitor (human)
DB00058,Alpha1-proteinase inhibitor human
DB00058,Antileukoproteinase
DB00058,API
DB00058,Mucus proteinase inhibitor
DB00058,Protease inhibitor wap4
DB00058,Recombinant secretory leucocyte protease inhibitor
DB00058,Recombinant secretory leukocyte protease inhibitor
DB00058,Secretory leukocyte protease inhibitor (human)
DB00058,SLPI
DB00058,Wap four-disulfide core domain protein 4
DB00059,PEG-ASP
DB00059,Peg-asparaginase
DB00059,PEG-aspargase
DB00059,PEG-L-Asparaginase
DB00059,Peg/L-asparaginase
DB00059,Pegaspargasa
DB00059,Pegaspargase
DB00059,PEGLA
DB00059,pegylated asparaginase
DB00059,Pegylated-asparaginase
DB00059,Polyethylene Glycol L-Asparaginase
DB00059,Polyethylene Glycol-L-Asparaginase
DB00060,IFN β-1a
DB00060,IFN-β1a
DB00060,IFNβ 1a
DB00060,IFNβ-1a
DB00060,Interferon beta 1-a
DB00060,Interferon beta 1a
DB00060,Interferon beta-1a
DB00060,Interferon beta-1a (recombinant human)
DB00060,Interferon beta-1a (recombinant)
DB00060,"Interferon beta-1a,recombinant"
DB00060,"Interferon beta, recombinant human"
DB00060,Interferon-beta-1a
DB00060,SNG001
DB00061,(monomethoxypolyethylene glycol succinimidyl) 11-17-adenosine deaminase
DB00061,PEG-adenosine deaminase
DB00061,pegADA
DB00061,Pegademase
DB00061,Pegademase bovine
DB00062,Albumin (human)
DB00062,Albumin human
DB00062,"Albumin, blood"
DB00062,"Albumin, human"
DB00062,"Albumin, human-kjda"
DB00062,Human albumin
DB00062,Human serum albumin
DB00062,Serum albumin
DB00063,Eptifibatida
DB00063,Eptifibatide
DB00063,Integrelin
DB00063,Intrifiban
DB00065,"IMMUNOGLOBULIN G (HUMAN-MOUSE MONOCLONAL CA2 HEAVY CHAIN ANTI-HUMAN TUMOR NECROSIS FACTOR), DISULFIDE WITH HUMAN-MOUSE MONOCLONAL CA2 LIGHT CHAIN, DIMER"
DB00065,Infliximab
DB00065,Infliximab (genetical recombination)
DB00065,Infliximab-abda
DB00065,Infliximab-axxq
DB00065,Infliximab-dyyb
DB00065,Infliximab-qbtx
DB00066,Folitropina alfa
DB00066,Folitropina beta
DB00066,Folitropina delta
DB00066,Follicle stimulating hormone
DB00066,Follitrophin alfa
DB00066,Follitrophin alpha
DB00066,Follitrophin beta
DB00066,Follitropin
DB00066,Follitropin alfa
DB00066,Follitropin alfa/beta
DB00066,Follitropin alpha
DB00066,Follitropin beta
DB00066,Follitropin delta
DB00066,Follitropin gamma
DB00066,Follotropin recombinant
DB00066,FSH
DB00066,FSH alpha
DB00066,FSH-a
DB00066,FSH-b
DB00066,FSH-beta
DB00066,Recombinant human follicle stimulating hormone beta
DB00066,Recombinant human follicle-stimulating hormone (r-HFSH)
DB00066,rFSH-alpha
DB00067,Vasopressin
DB00067,"Vasopressin, unspecified"
DB00067,Vasopressina
DB00068,Interferon beta 1b (recombinant)
DB00068,Interferon beta-1b
DB00068,"Interferon beta-1b,recombinant"
DB00068,Interferon-beta-1b
DB00068,Recombinant interferon beta-1b
DB00069,IFN Alfacon-1
DB00069,IFN-Con1
DB00069,Interferon alfacon-1
DB00070,"Hyaluronidase (glycoprotein, sheep testis isoenzyme)"
DB00070,Hyaluronidase (ovine)
DB00070,Hyaluronidase (sheep testis isoenzyme)
DB00070,"Hyaluronidase, ovine"
DB00070,Ovine hyaluronidase
DB00071,Insulin (pork)
DB00071,Insulin porcine
DB00071,Insulin pork
DB00071,Insulin purified porcine
DB00071,Insulin purified pork
DB00071,"Insulin, porcine"
DB00071,"Insulin, regular, pork"
DB00071,Porcine insulin
DB00072,GB221
DB00072,RHUMAB HER2
DB00072,Trastuzumab
DB00072,Trastuzumab beta
DB00072,trastuzumab-anns
DB00072,trastuzumab-dkst
DB00072,trastuzumab-dttb
DB00072,Trastuzumab-herw
DB00072,trastuzumab-pkrb
DB00072,trastuzumab-qyyp
DB00072,Trastuzumab-strf
DB00072,Trastuzumab-zerc
DB00073,Rituximab
DB00073,rituximab-abbs
DB00073,rituximab-arrx
DB00073,rituximab-blit
DB00073,rituximab-pvvr
DB00073,rituximab-rite
DB00073,rituximab-rixa
DB00073,rituximab-rixi
DB00074,Basiliximab
DB00075,Anti-CD3
DB00075,Muromonab
DB00075,Muromonab-CD3
DB00076,Digitalis antitoxin
DB00076,Digoxin Immune Fab (Ovine)
DB00076,"Digoxin Immune Fab, Ovine"
DB00076,Digoxin-specific Antibody Fragments
DB00076,Ovine digoxin immune fab
DB00078,Ibritumomab
DB00078,Ibritumomab tiuxetan
DB00078,mAb Murine (IGG1) Anti P19437 (CD20_MOUSE)
DB00080,Daptomicina
DB00080,Daptomycin
DB00080,Daptomycine
DB00080,Daptomycinum
DB00081,Tositumomab
DB00082,Pegvisomant
DB00083,AbobotulinumtoxinA
DB00083,Botulinum A neurotoxin
DB00083,Botulinum antitoxin type A
DB00083,Botulinum toxin A
DB00083,Botulinum toxin type A
DB00083,Botulinum toxin type-A
DB00083,BTX - A
DB00083,BTX A
DB00083,BTX-A
DB00083,EvabotulinumtoxinA
DB00083,Incobotulinumtoxin A
DB00083,IncobotulinumtoxinA
DB00083,JTM201
DB00083,MBA-P01
DB00083,Onabotulinumtoxin A
DB00083,OnabotulinumtoxinA
DB00083,Onaclostox
DB00083,Prabotulinumtoxin A
DB00083,Relabotulinumtoxina
DB00083,Toxina botulínica A
DB00083,Toxine botulinique A
DB00085,Pancrealipase
DB00085,Pancreatic extract pancrelipase
DB00085,Pancreatic protease
DB00085,Pancreatin
DB00085,Pancreatinum
DB00085,Pancrelipase
DB00085,Pancrelipase (amylase;lipase;protease)
DB00085,Zenpep
DB00086,Estreptoquinasa
DB00086,Streptochinasi
DB00086,Streptococcal fibrinolysin
DB00086,Streptokinase
DB00086,Streptokinasum
DB00087,Alemtuzumab
DB00088,Alglucerase
DB00089,(111In)-Capromab pendetide
DB00089,Capromab pendetide
DB00089,Indium (111In) capromab pendetide
DB00089,Indium 111 Capromab Pendetide
DB00089,Indium In 111 capromab pendetide
DB00090,alpha-L-Idosiduronase
DB00090,Human Recombinant alpha-L-iduronidase
DB00090,Laronidasa
DB00090,Laronidase
DB00090,Laronidase (genetical recombination)
DB00091,Ciclosporin
DB00091,Ciclosporina
DB00091,Ciclosporine
DB00091,Ciclosporinum
DB00091,CsA
DB00091,CyA
DB00091,Cyclosporin
DB00091,Cyclosporin A
DB00091,Cyclosporine
DB00091,Cyclosporine A
DB00092,Alefacept
DB00093,2-(L-phenylalanine)-8-L-lysinevasopressin
DB00093,Felipresina
DB00093,Felypressin
DB00093,Felypressine
DB00093,Felypressinum
DB00093,PLV-2
DB00094,Follitropin human
DB00094,Urofollitrophin
DB00094,Urofollitropin
DB00095,anti-CD11a
DB00095,antiCD11 alpha
DB00095,Efalizumab
DB00097,Choriogonadotropin alfa
DB00097,Choriogonadotropin alpha
DB00097,Chorionic gonadotropin (recombinant)
DB00098,"Anti-human thymocyte immunoglobulin, rabbit"
DB00098,"Anti-T-lymphocyte immune globulin, rabbit"
DB00098,Anti-thymocyte globulin (rabbit)
DB00098,Anti-thymocyte globulin rabbit
DB00098,Antithymocyte immunoglobulin
DB00098,Antithymocyte immunoglobulin (rabbit)
DB00098,Lapine T-lymphocyte immune globulin
DB00098,r-ATG
DB00098,Rabbit anti-human thymocyte globulin
DB00098,Rabbit anti-human thymocyte globulin (rATG)
DB00098,Rabbit anti-human thymocyte immunoglobulin
DB00098,Rabbit Anti-Thymocyte Globulin
DB00098,Rabbit anti-thymocyte immunoglobulin
DB00098,Rabbit antithymocyte globulin
DB00098,Rabbit ATG
DB00098,Rabbit-ATG
DB00098,rATG
DB00098,Thymoglobulin
DB00098,Thymoglobuline
DB00099,Filgrastim
DB00099,Filgrastim-aafi
DB00099,Filgrastim-ayow
DB00099,Filgrastim-sndz
DB00099,G CSF
DB00099,G-CSF 
DB00099,G-CSF
DB00099,GCSF
DB00099,Granulocyte Colony Stimulating Factor 
DB00099,Granulocyte Colony Stimulating Factor
DB00099,r-metHuG-CSF
DB00099,Recombinant Methionyl Human Granulocyte Colony Stimulating Factor
DB00099,rG-CSF
DB00099,Tbo-filgrastim
DB00100,Coagulation factor IX (recombinant)
DB00100,Coagulation factor IX recombinant human
DB00100,"Coagulation factor IX, recombinant"
DB00100,Factor IX (Recombinant)
DB00100,nonacog alfa
DB00100,nonacog gamma
DB00100,Recombinant factor IX
DB00102,Becaplermin
DB00102,PDGF-2
DB00102,PDGF-BB
DB00102,PDGFB
DB00102,"Platelet-derived growth factor BB, recombinant"
DB00102,Platelet-derived growth factor beta polypeptide
DB00102,Recombinant platelet-derived growth factor BB
DB00102,rhPDGF-BB
DB00102,rPDGF-BB
DB00102,SH-POLYPEPTIDE-59
DB00103,Agalsidasa beta
DB00103,Agalsidase beta
DB00103,Agalsidase beta (genetical recombination)
DB00104,CAM-2029
DB00104,Octreotida
DB00104,Octreotide
DB00104,Octreotidum
DB00104,Octrotide
DB00105,IFN alpha-2B
DB00105,Interferon alfa 2-b
DB00105,Interferon alfa 2b
DB00105,Interferon alfa-2b
DB00105,Interferon alfa-2b (recombinant)
DB00105,"Interferon alfa-2b, recombinant"
DB00105,Interferon alpha-2B
DB00105,Interferon α-2b
DB00105,Interferon α2b
DB00105,Intron (Interferon α2b)
DB00105,Intron A
DB00105,Intron A (Interferon α2b)
DB00105,r-INF-alpha
DB00105,Recombinant Interferon Alfa-2b
DB00105,rIFN-alpha-2b
DB00106,Abarelix
DB00107,Oxitocina
DB00107,Oxytocin
DB00108,Anti-alpha4 integrin
DB00108,Anti-VLA4
DB00108,"IMMUNOGLOBULIN G4 (HUMAN-MOUSE MONOCLONAL AN100226 4-CHAIN ANTI-HUMAN INTEGRIN 4), DISULFIDE WITH HUMAN-MOUSE MONOCLONAL AN100226 LIGHT CHAIN, DIMER"
DB00108,"IMMUNOGLOBULIN G4 (HUMAN-MOUSE MONOCLONAL AN100226 4-CHAIN ANTI-HUMAN INTEGRIN 4), DISULPHIDE WITH HUMAN-MOUSE MONOCLONAL AN100226 LIGHT CHAIN, DIMER"
DB00108,Natalizumab
DB00108,natalizumab-sztn
DB00109,Enfuvirtida
DB00109,Enfuvirtide
DB00110,Palivizumab
DB00111,Dacliximab
DB00111,Daclizumab
DB00111,Daclizumab beta
DB00112,BAT1706
DB00112,Bevacizumab
DB00112,Bevacizumab awwb
DB00112,Bevacizumab beta
DB00112,Bevacizumab-adcd
DB00112,bevacizumab-awwb
DB00112,Bevacizumab-aybi
DB00112,Bevacizumab-bvzr
DB00112,Bevacizumab-equi
DB00112,Bevacizumab-maly
DB00112,Bevacizumab-onbe
DB00112,Bevacizumab-tnjn
DB00112,rhuMAb VEGF
DB00112,rhuMAb-VEGF
DB00112,SCT510
DB00113,Arcitumomab technetium-99m
DB00113,Technetium (99mTc) arcitumomab
DB00113,Technetium Tc 99m arcitumomab
DB00113,Technetium Tc-99m arcitumomab
DB00113,Technetium-99m arcitumomab
DB00114,3-hydroxy-2-methyl-5-((phosphonooxy)methyl)-4-pyridinecarboxaldehyde
DB00114,3-hydroxy-5-(hydroxymethyl)-2-methylisonicotinaldehyde 5-phosphate
DB00114,Codecarboxylase
DB00114,PLP
DB00114,Pyridoxal 5-monophosphoric acid ester
DB00114,Pyridoxal 5-phosphate
DB00114,Pyridoxal 5'-phosphate
DB00114,Pyridoxal P
DB00114,Pyridoxal phosphate
DB00114,Pyridoxal phosphate anhydrous
DB00114,Pyridoxal-5P
DB00114,Pyridoxal-P
DB00115,Cianocobalamina
DB00115,Cyanocob(III)alamin
DB00115,Cyanocobalamin
DB00115,Cyanocobalamine
DB00115,Cyanocobalaminum
DB00115,Vitamin B12 NOS
DB00116,"5,6,7,8-tetrahydrofolate"
DB00116,"5,6,7,8-tetrahydrofolic acid"
DB00116,Tetrahydrofolate
DB00116,Tetrahydrofolic acid
DB00117,(S)-4-(2-Amino-2-carboxyethyl)imidazole
DB00117,(S)-a-Amino-1H-imidazole-4-propanoic acid
DB00117,(S)-alpha-amino-1H-Imidazole-4-propanoic acid
DB00117,(S)-alpha-Amino-1H-imidazole-4-propionic acid
DB00117,(S)-α-amino-1H-Imidazole-4-propanoic acid
DB00117,HIS
DB00117,Histidina
DB00117,Histidine
DB00117,L-(−)-histidine
DB00117,L-Histidin
DB00117,L-Histidine
DB00118,Ademetionine
DB00118,AdoMet
DB00118,L-S-Adenosylmethionine
DB00118,S-Adenosylmethionine
DB00118,SAM
DB00118,SAM-e
DB00118,SAMe
DB00119,2-ketopropionic acid
DB00119,2-oxopropanoic acid
DB00119,2-Oxopropansäure
DB00119,2-Oxopropionsäure
DB00119,a-Ketopropionic acid
DB00119,Acetylformic acid
DB00119,acide pyruvique
DB00119,alpha-ketopropionic acid
DB00119,Brenztraubensäure
DB00119,BTS
DB00119,Pyroracemic acid
DB00119,Pyruvate
DB00119,Pyruvic acid
DB00119,α-ketopropionic acid
DB00119,α-Oxopropionsäure
DB00120,(S)-2-Amino-3-phenylpropionic acid
DB00120,(S)-alpha-Amino-beta-phenylpropionic acid
DB00120,3-phenyl-L-alanine
DB00120,beta-Phenyl-L-alanine
DB00120,F
DB00120,Fenilalanina
DB00120,L-Phenylalanine
DB00120,Phe
DB00120,Phenylalanine
DB00120,Phenylalaninum
DB00120,β-phenyl-L-alanine
DB00121,"(+)-cis-Hexahydro-2-oxo-1H-thieno[3,4]imidazole-4-valeric acid"
