drug_id,category
DB00007,"Amino Acids, Peptides, and Proteins"
DB00007,Antineoplastic Agents
DB00007,"Antineoplastic Agents, Hormonal"
DB00007,Antineoplastic and Immunomodulating Agents
DB00007,Drugs causing inadvertant photosensitivity
DB00007,Drugs that are Mainly Renally Excreted
DB00007,Endocrine Therapy
DB00007,Fertility Agents
DB00007,"Fertility Agents, Female"
DB00007,Gonadotropin Releasing Hormone Receptor Agonist
DB00007,Gonadotropin Releasing Hormone Receptor Agonists
DB00007,Gonadotropin-releasing hormone agonist
DB00007,Gonadotropins
DB00007,Hormones and Related Agents
DB00007,Hyperglycemia-Associated Agents
DB00007,Hypothalamic Hormones
DB00007,Moderate Risk QTc-Prolonging Agents
DB00007,Nerve Tissue Proteins
DB00007,Neuropeptides
DB00007,Oligopeptides
DB00007,Peptides
DB00007,Photosensitizing Agents
DB00007,Pituitary Hormone-Releasing Hormones
DB00007,Proteins
DB00007,QTc Prolonging Agents
DB00007,Reproductive Control Agents
DB00008,"Adjuvants, Immunologic"
DB00008,Alcohols
DB00008,Alfa Interferons
DB00008,"Amino Acids, Peptides, and Proteins"
DB00008,Anti-Infective Agents
DB00008,Antineoplastic Agents
DB00008,Antineoplastic and Immunomodulating Agents
DB00008,Antiviral Agents
DB00008,Biological Factors
DB00008,Cardiotoxic antineoplastic agents
DB00008,"Compounds used in a research, industrial, or household setting"
DB00008,Cytochrome P-450 CYP1A2 Inhibitors
DB00008,Cytochrome P-450 CYP1A2 Inhibitors (strength unknown)
DB00008,Cytochrome P-450 Enzyme Inhibitors
DB00008,Cytokines
DB00008,Drug Carriers
DB00008,Ethylene Glycols
DB00008,Glycols
DB00008,Hepatotoxic Agents
DB00008,Immunosuppressive Agents
DB00008,Intercellular Signaling Peptides and Proteins
DB00008,Interferon alpha
DB00008,Interferon Type I
DB00008,Interferons
DB00008,Macromolecular Substances
DB00008,Myelosuppressive Agents
DB00008,Narrow Therapeutic Index Drugs
DB00008,Pegylated agents
DB00008,Peptides
DB00008,Polymers
DB00008,Proteins
DB00008,Treatments for Hepatitis C
DB00009,Agents causing angioedema
DB00009,"Amino Acids, Peptides, and Proteins"
DB00009,Anticoagulants
DB00009,Blood and Blood Forming Organs
DB00009,Blood Proteins
DB00009,Cardiovascular Agents
DB00009,Endopeptidases
DB00009,Enzymes
DB00009,Enzymes and Coenzymes
DB00009,Fibrin Modulating Agents
DB00009,Fibrinolytic Agents
DB00009,Hematologic Agents
DB00009,Hydrolases
DB00009,Ophthalmologicals
DB00009,Peptide Hydrolases
DB00009,Plasminogen Activators
DB00009,Proteins
DB00009,Sensory Organs
DB00009,Serine Endopeptidases
DB00009,Serine Proteases
DB00009,Tissue Plasminogen Activator
DB00009,"Tissue Plasminogen Activator, antagonists & inhibitors"
DB00010,"Amino Acids, Peptides, and Proteins"
DB00010,Anterior Pituitary Lobe Hormones and Analogues
DB00010,Diagnostic Agents
DB00010,Growth Hormone-Releasing Hormone
DB00010,Hormones
DB00010,"Hormones, Hormone Substitutes, and Hormone Antagonists"
DB00010,Hypothalamic Hormones
DB00010,Nerve Tissue Proteins
DB00010,Neuropeptides
DB00010,Peptide Hormones
DB00010,Peptides
DB00010,Pituitary and Hypothalamic Hormones and Analogues
DB00010,Pituitary Hormone-Releasing Hormones
DB00010,Somatropin and Somatropin Agonists
DB00010,"Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins"
DB00010,Tests for Pituitary Function
DB00011,"Adjuvants, Immunologic"
DB00011,"Amino Acids, Peptides, and Proteins"
DB00011,Antineoplastic and Immunomodulating Agents
DB00011,Antiviral Agents
DB00011,Biological Factors
DB00011,Cytochrome P-450 CYP1A2 Inhibitors
DB00011,Cytochrome P-450 CYP1A2 Inhibitors (strength unknown)
DB00011,Cytochrome P-450 Enzyme Inhibitors
DB00011,Cytokines
DB00011,Immunosuppressive Agents
DB00011,Intercellular Signaling Peptides and Proteins
DB00011,Interferon Type I
DB00011,Interferons
DB00011,Myelosuppressive Agents
DB00011,Peptides
DB00011,Proteins
DB00012,"Amino Acids, Peptides, and Proteins"
DB00012,Antianemic Preparations
DB00012,Blood and Blood Forming Organs
DB00012,Carbohydrates
DB00012,Colony-Stimulating Factors
DB00012,Erythropoiesis-Stimulating Agents
DB00012,Glycoconjugates
DB00012,Glycoproteins
DB00012,Hematinics
DB00012,Hematologic Agents
DB00012,Hematopoietic Cell Growth Factors
DB00012,Increased Erythroid Cell Production
DB00012,Proteins
DB00013,Agents causing angioedema
DB00013,"Amino Acids, Peptides, and Proteins"
DB00013,Anticoagulants
DB00013,Biological Factors
DB00013,Blood and Blood Forming Organs
DB00013,Blood Proteins
DB00013,Endopeptidases
DB00013,Enzymes
DB00013,Enzymes and Coenzymes
DB00013,Fibrinolytic Agents
DB00013,Hydrolases
DB00013,Increased Thrombolysis
DB00013,Peptide Hydrolases
DB00013,Plasminogen Activators
DB00013,Proteins
DB00013,Serine Endopeptidases
DB00013,Serine Proteases
DB00013,"Urokinase-Type Plasminogen Activator, antagonists & inhibitors"
DB00014,Adrenal Cortex Hormones
DB00014,"Amino Acids, Peptides, and Proteins"
DB00014,Antineoplastic Agents
DB00014,"Antineoplastic Agents, Hormonal"
DB00014,Antineoplastic and Immunomodulating Agents
DB00014,Drugs that are Mainly Renally Excreted
DB00014,Endocrine Therapy
DB00014,Gonadotropin Releasing Hormone Receptor Agonist
DB00014,Gonadotropin Releasing Hormone Receptor Agonists
DB00014,Gonadotropin-releasing hormone agonist
DB00014,Gonadotropins and Antigonadotropins
DB00014,Hormones
DB00014,Hormones and Related Agents
DB00014,"Hormones, Hormone Substitutes, and Hormone Antagonists"
DB00014,Hyperglycemia-Associated Agents
DB00014,Hypothalamic Hormones
DB00014,Miscellaneous Therapeutic Agents
DB00014,Moderate Risk QTc-Prolonging Agents
DB00014,Nerve Tissue Proteins
DB00014,Neuropeptides
DB00014,Oligopeptides
DB00014,Peptide Hormones
DB00014,Peptides
DB00014,Pituitary Hormone-Releasing Hormones
DB00014,QTc Prolonging Agents
DB00015,Agents causing angioedema
DB00015,"Amino Acids, Peptides, and Proteins"
DB00015,Anticoagulants
DB00015,Biological Factors
DB00015,Blood and Blood Forming Organs
DB00015,Blood Proteins
DB00015,Cardiovascular Agents
DB00015,Endopeptidases
DB00015,Enzymes
DB00015,Enzymes and Coenzymes
DB00015,Fibrin Modulating Agents
DB00015,Fibrinolytic Agents
DB00015,Hematologic Agents
DB00015,Hydrolases
DB00015,Peptide Hydrolases
DB00015,Plasminogen Activators
DB00015,Proteins
DB00015,Serine Endopeptidases
DB00015,Serine Proteases
DB00015,Tissue Plasminogen Activator
DB00016,"Amino Acids, Peptides, and Proteins"
DB00016,Antianemic Preparations
DB00016,Biological Factors
DB00016,Blood and Blood Forming Organs
DB00016,Carbohydrates
DB00016,Colony-Stimulating Factors
DB00016,Cytokines
DB00016,Erythropoiesis-Stimulating Agents
DB00016,"Erythropoietin, genetics"
DB00016,Glycoconjugates
DB00016,Glycoproteins
DB00016,Hematinics
DB00016,Hematologic Agents
DB00016,Hematopoietic Cell Growth Factors
DB00016,Increased Erythroid Cell Production
DB00016,Intercellular Signaling Peptides and Proteins
DB00016,Peptides
DB00016,Proteins
DB00017,"Amino Acids, Peptides, and Proteins"
DB00017,Bone Density Conservation Agents
DB00017,"Bone Density, drug effects"
DB00017,Calcitonin Preparations
DB00017,Calcium Homeostasis
DB00017,Calcium-Regulating Hormones and Agents
DB00017,Drugs that are Mainly Renally Excreted
DB00017,Hormones
DB00017,"Hormones, Hormone Substitutes, and Hormone Antagonists"
DB00017,Nerve Tissue Proteins
DB00017,Neuropeptides
DB00017,Parathyroid and Antiparathyroid Agents
DB00017,Parathyroid Hormones and Analogues
DB00017,Peptide Hormones
DB00017,Peptides
DB00017,Proteins
DB00017,"Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins"
DB00017,Thyroid Products
DB00018,Alfa Interferons
DB00018,"Amino Acids, Peptides, and Proteins"
DB00018,Biological Factors
DB00018,Cytochrome P-450 CYP1A2 Inhibitors
DB00018,Cytochrome P-450 CYP1A2 Inhibitors (strength unknown)
DB00018,Cytochrome P-450 Enzyme Inhibitors
DB00018,Cytokines
DB00018,Immunosuppressive Agents
DB00018,Intercellular Signaling Peptides and Proteins
DB00018,Interferon alpha
DB00018,Interferon Type I
DB00018,Interferon-alpha
DB00018,Interferons
DB00018,Myelosuppressive Agents
DB00018,Peptides
DB00018,Proteins
DB00019,"Adjuvants, Immunologic"
DB00019,Alcohols
DB00019,"Amino Acids, Peptides, and Proteins"
DB00019,Antineoplastic and Immunomodulating Agents
DB00019,Biological Factors
DB00019,Biological Products
DB00019,Carbohydrates
DB00019,Colony-Stimulating Factors
DB00019,Complex Mixtures
DB00019,"Compounds used in a research, industrial, or household setting"
DB00019,Cytokines
DB00019,Ethylene Glycols
DB00019,Glycoconjugates
DB00019,Glycols
DB00019,Glycoproteins
DB00019,Granulocyte Colony-Stimulating Factors
DB00019,Hematinics
DB00019,Hematopoietic Cell Growth Factors
DB00019,Increased Myeloid Cell Production
DB00019,Intercellular Signaling Peptides and Proteins
DB00019,Leukocyte Growth Factor
DB00019,Macromolecular Substances
DB00019,Pegylated agents
DB00019,Peptides
DB00019,Polymers
DB00019,Proteins
DB00020,"Adjuvants, Immunologic"
DB00020,"Amino Acids, Peptides, and Proteins"
DB00020,Antineoplastic and Immunomodulating Agents
DB00020,Biological Factors
DB00020,Carbohydrates
DB00020,Colony-Stimulating Factors
DB00020,Cytokines
DB00020,Glycoconjugates
DB00020,Glycoproteins
DB00020,Granulocyte-Macrophage Colony-Stimulating Factor
DB00020,Hematopoietic Cell Growth Factors
DB00020,Immunologic Factors
DB00020,Increased Myeloid Cell Production
DB00020,Intercellular Signaling Peptides and Proteins
DB00020,Leukocyte Growth Factor
DB00020,Peptides
DB00020,Proteins
DB00022,"Adjuvants, Immunologic"
DB00022,Alcohols
DB00022,Alfa Interferons
DB00022,"Amino Acids, Peptides, and Proteins"
DB00022,Anti-Infective Agents
DB00022,Antineoplastic and Immunomodulating Agents
DB00022,Antiviral Agents
DB00022,Biological Factors
DB00022,Cancer immunotherapy
DB00022,"Compounds used in a research, industrial, or household setting"
DB00022,Cytochrome P-450 CYP1A2 Inhibitors
DB00022,Cytochrome P-450 CYP1A2 Inhibitors (strength unknown)
DB00022,Cytochrome P-450 CYP2C9 Inducers
DB00022,Cytochrome P-450 CYP2C9 Inducers (weak)
DB00022,Cytochrome P-450 CYP2D6 Inhibitors
DB00022,Cytochrome P-450 CYP2D6 Inhibitors (weak)
DB00022,Cytochrome P-450 Enzyme Inducers
DB00022,Cytochrome P-450 Enzyme Inhibitors
DB00022,Cytokines
DB00022,Drug Carriers
DB00022,Ethylene Glycols
DB00022,Glycols
DB00022,Hepatitis C
DB00022,Immunosuppressive Agents
DB00022,Immunotherapy
DB00022,Intercellular Signaling Peptides and Proteins
DB00022,Interferon alpha
DB00022,Interferon Type I
DB00022,Interferon-alpha
DB00022,Interferons
DB00022,Macromolecular Substances
DB00022,Myelosuppressive Agents
DB00022,Pegylated agents
DB00022,Peptides
DB00022,Polymers
DB00022,Proteins
DB00022,Treatments for Hepatitis C
DB00023,Amidohydrolases
DB00023,Antineoplastic Agents
DB00023,Antineoplastic and Immunomodulating Agents
DB00023,Asparaginase
DB00023,Asparagine-specific Enzyme
DB00023,Enzymes
DB00023,Enzymes and Coenzymes
DB00023,Hydrolases
DB00023,Narrow Therapeutic Index Drugs
DB00023,Thyroxine-binding globulin inhibitors
DB00024,Agents used to treat hypothyroidism
DB00024,Anterior Pituitary Lobe Hormones and Analogues
DB00024,Hormones
DB00024,"Hormones, Hormone Substitutes, and Hormone Antagonists"
DB00024,Peptide Hormones
DB00024,Pituitary and Hypothalamic Hormones and Analogues
DB00024,Pituitary Hormones
DB00024,"Pituitary Hormones, Anterior"
DB00024,"Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins"
DB00024,Thyroid Products
DB00025,"Amino Acids, Peptides, and Proteins"
DB00025,Biological Factors
DB00025,Blood and Blood Forming Organs
DB00025,Blood Coagulation Factors
DB00025,Blood Proteins
DB00025,Carbohydrates
DB00025,Disaccharides
DB00025,Hemophilia A
DB00025,Hemostatics
DB00025,Human Antihemophilic Factors
DB00025,Increased Coagulation Activity
DB00025,Oligosaccharides
DB00025,Polysaccharides
DB00025,Protein Precursors
DB00025,Proteins
DB00026,Agents reducing cytokine levels
DB00026,"Amino Acids, Peptides, and Proteins"
DB00026,Antineoplastic and Immunomodulating Agents
DB00026,Antirheumatic Agents
DB00026,Biological Factors
DB00026,Biologics for Rheumatoid Arthritis Treatment
DB00026,Cytokines
DB00026,Disease-modifying Antirheumatic Agents
DB00026,Immunosuppressive Agents
DB00026,Immunotherapy
DB00026,Intercellular Signaling Peptides and Proteins
DB00026,Interleukin Inhibitors
DB00026,Interleukin-1 Receptor Antagonist
DB00026,Peptides
DB00026,Proteins
DB00027,"Amino Acids, Peptides, and Proteins"
DB00027,Anti-Bacterial Agents
DB00027,Anti-Infective Agents
DB00027,"Anti-Infective Agents, Local"
DB00027,Membrane Proteins
DB00027,P-glycoprotein inhibitors
DB00027,P-glycoprotein substrates
DB00027,Peptides
DB00027,"Peptides, Cyclic"
DB00027,Pore Forming Cytotoxic Proteins
DB00027,Proteins
DB00027,Throat Preparations
DB00028,"Amino Acids, Peptides, and Proteins"
DB00028,Antibodies
DB00028,Antigen Neutralization
DB00028,Blood Proteins
DB00028,Globulins
DB00028,Human Immunoglobulin G
DB00028,Immunoglobulin G
DB00028,Immunoglobulin Isotypes
DB00028,Immunoglobulins
DB00028,"Immunoglobulins, Intravenous"
DB00028,Immunologic Factors
DB00028,Immunoproteins
DB00028,Passively Acquired Immunity
DB00028,Proteins
DB00028,Serum
DB00028,Serum Globulins
DB00029,Agents causing angioedema
DB00029,"Amino Acids, Peptides, and Proteins"
DB00029,Anticoagulants
DB00029,Blood and Blood Forming Organs
DB00029,Blood Proteins
DB00029,Cardiovascular Agents
DB00029,Endopeptidases
DB00029,Enzymes
DB00029,Enzymes and Coenzymes
DB00029,Fibrin Modulating Agents
DB00029,Fibrinolytic Agents
DB00029,Hematologic Agents
DB00029,Hydrolases
DB00029,Peptide Hydrolases
DB00029,Plasminogen Activators
DB00029,Proteins
DB00029,Serine Endopeptidases
DB00029,Serine Proteases
DB00030,Alimentary Tract and Metabolism
DB00030,"Amino Acids, Peptides, and Proteins"
DB00030,Blood Glucose Lowering Agents
DB00030,Cytochrome P-450 CYP1A2 Inducers
DB00030,Cytochrome P-450 CYP1A2 Inducers (strength unknown)
DB00030,Cytochrome P-450 Enzyme Inducers
DB00030,Drugs Used in Diabetes
DB00030,Hormones
DB00030,"Hormones, Hormone Substitutes, and Hormone Antagonists"
DB00030,Hypoglycemia-Associated Agents
DB00030,Insulin
DB00030,"Insulin, metabolism"
DB00030,"Insulin, Short-Acting"
DB00030,"Insulins and Analogues for Injection, Fast-Acting"
DB00030,Pancreatic Hormones
DB00030,Peptide Hormones
DB00030,Peptides
DB00031,Agents causing angioedema
DB00031,"Amino Acids, Peptides, and Proteins"
DB00031,Anticoagulants
DB00031,Biological Factors
DB00031,Blood and Blood Forming Organs
DB00031,Blood Proteins
DB00031,Cardiovascular Agents
DB00031,Endopeptidases
DB00031,Enzymes
DB00031,Enzymes and Coenzymes
DB00031,Fibrin Modulating Agents
DB00031,Fibrinolytic Agents
DB00031,Hematologic Agents
DB00031,Hydrolases
DB00031,Peptide Hydrolases
DB00031,Plasminogen Activators
DB00031,Proteins
DB00031,Serine Endopeptidases
DB00031,Serine Proteases
DB00031,Tissue Plasminogen Activator
DB00032,"Amino Acids, Peptides, and Proteins"
DB00032,Biological Products
DB00032,Complex Mixtures
DB00032,Fertility Agents
DB00032,"Fertility Agents, Female"
DB00032,Genito Urinary System and Sex Hormones
DB00032,Gonadotropins
DB00032,Gonadotropins and Antigonadotropins
DB00032,"Gonadotropins, Pituitary"
DB00032,Hormones
DB00032,"Hormones, Hormone Substitutes, and Hormone Antagonists"
DB00032,Peptide Hormones
DB00032,Peptides
DB00032,Pituitary Hormones
DB00032,"Pituitary Hormones, Anterior"
DB00032,Reproductive Control Agents
DB00032,Sex Hormones and Modulators of the Genital System
DB00033,"Amino Acids, Peptides, and Proteins"
DB00033,Biological Factors
DB00033,Cytochrome P-450 CYP1A2 Inhibitors
DB00033,Cytochrome P-450 CYP1A2 Inhibitors (strength unknown)
DB00033,Cytochrome P-450 Enzyme Inhibitors
DB00033,Cytokines
DB00033,Immunosuppressive Agents
DB00033,Intercellular Signaling Peptides and Proteins
DB00033,Interferon gamma
DB00033,Interferons
DB00033,Lymphokines
DB00033,Macrophage-Activating Factors
DB00033,Myelosuppressive Agents
DB00033,Peptides
DB00033,Proteins
DB00034,"Adjuvants, Immunologic"
DB00034,Alfa Interferons
DB00034,"Amino Acids, Peptides, and Proteins"
DB00034,Anti-Infective Agents
DB00034,Antineoplastic Agents
DB00034,Antineoplastic and Immunomodulating Agents
DB00034,Antiviral Agents
DB00034,Biological Factors
DB00034,Cancer immunotherapy
DB00034,Cytochrome P-450 CYP1A2 Inhibitors
DB00034,Cytochrome P-450 CYP1A2 Inhibitors (strength unknown)
DB00034,Cytochrome P-450 Enzyme Inhibitors
DB00034,Cytokines
DB00034,Immunosuppressive Agents
DB00034,Immunotherapy
DB00034,Intercellular Signaling Peptides and Proteins
DB00034,Interferon alpha
DB00034,Interferon Type I
DB00034,Interferon-alpha
DB00034,Interferons
DB00034,Myelosuppressive Agents
DB00034,Peptides
DB00034,Proteins
DB00035,Agents that produce hypertension
DB00035,"Amino Acids, Peptides, and Proteins"
DB00035,Antidiuretic Agents
DB00035,Arginine Vasopressin
DB00035,Cardiovascular Agents
DB00035,Coagulants
DB00035,Drugs that are Mainly Renally Excreted
DB00035,Factor VIII Activator
DB00035,Hematologic Agents
DB00035,Hemostatics
DB00035,Hormones
DB00035,"Hormones, Hormone Substitutes, and Hormone Antagonists"
DB00035,Increased Coagulation Factor VIII Activity
DB00035,Increased Coagulation Factor VIII Concentration
DB00035,Natriuretic Agents
DB00035,Nerve Tissue Proteins
DB00035,Neuropeptides
DB00035,Oligopeptides
DB00035,Peptide Hormones
DB00035,Peptides
DB00035,Pituitary
DB00035,Pituitary and Hypothalamic Hormones and Analogues
DB00035,Pituitary Hormones
DB00035,"Pituitary Hormones, Posterior"
DB00035,Posterior Pituitary Lobe Hormones
DB00035,Proteins
DB00035,"Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins"
DB00035,Vasopressin Analog
DB00035,Vasopressin and Analogues
DB00035,Vasopressins
DB00036,"Amino Acids, Peptides, and Proteins"
DB00036,Biological Factors
DB00036,Blood and Blood Forming Organs
DB00036,Blood Coagulation Factors
DB00036,Blood Proteins
DB00036,Endopeptidases
DB00036,Enzymes
DB00036,Enzymes and Coenzymes
DB00036,Factor VII
DB00036,"Factor VIIa, antagonists & inhibitors"
DB00036,Hemostatics
DB00036,Hydrolases
DB00036,Increased Coagulation Factor IX Activity
DB00036,Increased Coagulation Factor X Activity
DB00036,Peptide Hydrolases
DB00036,Proteins
DB00036,Serine Endopeptidases
DB00036,Serine Proteases
DB00038,"Adjuvants, Immunologic"
DB00038,"Amino Acids, Peptides, and Proteins"
DB00038,Antineoplastic and Immunomodulating Agents
DB00038,Biological Factors
DB00038,Cytokines
DB00038,Intercellular Signaling Peptides and Proteins
DB00038,Interleukins
DB00038,Megakaryocyte Growth Factor
DB00038,Peptides
DB00038,Proteins
DB00039,"Amino Acids, Peptides, and Proteins"
DB00039,Biological Factors
DB00039,Detoxifying Agents for Antineoplastic Treatment
DB00039,Fibroblast Growth Factors
DB00039,Increased Epithelial Proliferation
DB00039,Intercellular Signaling Peptides and Proteins
DB00039,Mucocutaneous Epithelial Cell Growth Factor
DB00039,Peptides
DB00039,Proteins
DB00040,"Amino Acids, Peptides, and Proteins"
DB00040,Antihypoglycemic Agent
DB00040,Decreased GI Motility
DB00040,Decreased GI Smooth Muscle Tone
DB00040,Decreased Glycolysis
DB00040,Gastrointestinal Agents
DB00040,Gastrointestinal Hormones
DB00040,Gastrointestinal Motility Inhibitor
DB00040,"Glucagon, antagonists & inhibitors"
DB00040,Glycogenolytic Agents
DB00040,Glycogenolytic Hormones
DB00040,Hormones
DB00040,"Hormones, Hormone Substitutes, and Hormone Antagonists"
DB00040,Increased Gluconeogenesis
DB00040,Increased Glycogenolysis
DB00040,Pancreatic Hormones
DB00040,Peptide Hormones
DB00040,Peptides
DB00040,Proglucagon
DB00040,Protein Precursors
DB00040,Proteins
DB00040,"Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins"
DB00041,"Adjuvants, Immunologic"
DB00041,"Amino Acids, Peptides, and Proteins"
DB00041,Anti-HIV Agents
DB00041,Anti-Infective Agents
DB00041,Antineoplastic Agents
DB00041,Antineoplastic and Immunomodulating Agents
DB00041,Biological Factors
DB00041,Cancer immunotherapy
DB00041,Cytochrome P-450 CYP2E1 Inhibitors
DB00041,Cytochrome P-450 CYP2E1 Inhibitors (strength unknown)
DB00041,Cytochrome P-450 CYP3A Inhibitors
DB00041,Cytochrome P-450 CYP3A4 Inhibitors
DB00041,Cytochrome P-450 CYP3A4 Inhibitors (strength unknown)
DB00041,Cytochrome P-450 Enzyme Inhibitors
DB00041,Cytokines
DB00041,Drugs that are Mainly Renally Excreted
DB00041,Hypotensive Agents
DB00041,Immunosuppressive Agents
DB00041,Immunotherapy
DB00041,Increased Lymphocyte Activation
DB00041,Increased Lymphocyte Cell Production
DB00041,Intercellular Signaling Peptides and Proteins
DB00041,Interleukins
DB00041,Lymphocyte Growth Factor
DB00041,Lymphokines
DB00041,Myelosuppressive Agents
DB00041,Narrow Therapeutic Index Drugs
DB00041,Peptides
DB00041,Proteins
DB00042,Acetylcholine Release Inhibitors
DB00042,Agents that produce neuromuscular block (indirect)
DB00042,"Amino Acids, Peptides, and Proteins"
DB00042,Amphibian Venoms
DB00042,Anti-Dyskinesia Agents
DB00042,Bacterial Proteins
DB00042,Bacterial Toxins
DB00042,Biological Factors
DB00042,Botulinum Toxins
DB00042,Central Nervous System Agents
DB00042,Central Nervous System Depressants
DB00042,Cholinergic Agents
DB00042,Complex Mixtures
DB00042,Endopeptidases
DB00042,Enzymes
DB00042,Enzymes and Coenzymes
DB00042,Ganglion Blockers
DB00042,Hydrolases
DB00042,Membrane Transport Modulators
DB00042,Metalloendopeptidases
DB00042,Metalloproteases
DB00042,Muscle Relaxants
DB00042,"Muscle Relaxants, Peripherally Acting Agents"
DB00042,Musculo-Skeletal System
DB00042,Neurotoxins
DB00042,Neurotransmitter Agents
DB00042,Other Miscellaneous Therapeutic Agents
DB00042,Peptide Hydrolases
DB00042,Proteins
DB00042,"Toxins, Biological"
DB00042,Venoms
DB00043,Agents to Treat Airway Disease
DB00043,"Amino Acids, Peptides, and Proteins"
DB00043,Anti-Allergic Agents
DB00043,Anti-Asthmatic Agents
DB00043,Anti-IgE
DB00043,Antibodies
DB00043,"Antibodies, Monoclonal"
DB00043,"Antibodies, Monoclonal, Humanized"
DB00043,Antigens
DB00043,Biological Factors
DB00043,Blood Proteins
DB00043,Decreased IgE Activity
DB00043,Globulins
DB00043,IgE-directed Antibody Interactions
DB00043,Immunoglobulins
DB00043,Immunoproteins
DB00043,Proteins
DB00043,"Respiratory Agents, Miscellaneous"
DB00043,Respiratory System Agents
DB00043,Serum Globulins
DB00044,Genito Urinary System and Sex Hormones
DB00044,Gonadotropins
DB00044,Gonadotropins and Antigonadotropins
DB00044,Sex Hormones and Modulators of the Genital System
DB00046,Alimentary Tract and Metabolism
DB00046,"Amino Acids, Peptides, and Proteins"
DB00046,Blood Glucose Lowering Agents
DB00046,Cytochrome P-450 CYP1A2 Inducers
DB00046,Cytochrome P-450 CYP1A2 Inducers (strength unknown)
DB00046,Cytochrome P-450 Enzyme Inducers
DB00046,Drugs Used in Diabetes
DB00046,Hormones
DB00046,"Hormones, Hormone Substitutes, and Hormone Antagonists"
DB00046,Hypoglycemia-Associated Agents
DB00046,Insulin
DB00046,Insulin Analog
DB00046,"Insulin, Short-Acting"
DB00046,"Insulins and Analogues for Injection, Fast-Acting"
DB00046,Pancreatic Hormones
DB00046,Peptide Hormones
DB00046,Peptides
DB00047,Alimentary Tract and Metabolism
DB00047,"Amino Acids, Peptides, and Proteins"
