synonym_id,synonym
SYN00055,rt-PA
SYN00056,rtPA
SYN00057,t-PA
SYN00058,t-plasminogen activator
SYN00059,Tissue plasminogen activator
SYN00060,Tissue plasminogen activator alteplase
SYN00061,"Tissue plasminogen activator, recombinant"
SYN00062,tPA
SYN00063,Sermorelin
SYN00064,Interferon alfa-n1
SYN00065,Interferon alpha-n1 (INS)
SYN00066,WELL-FERON
SYN00067,WELLFERON
SYN00068,Darbepoetin
SYN00069,Darbepoetin alfa
SYN00070,"Darbepoetin alfa,recombinant"
SYN00071,Darbepoetina alfa
SYN00072,"Kinase (enzyme-activating), uro-urokinase"
SYN00073,TCUK
SYN00074,Tissue culture urokinase
SYN00075,Two-chain urokinase
SYN00076,Urochinasi
SYN00077,Urokinase
SYN00078,Urokinasum
SYN00079,Uroquinasa
SYN00080,Goserelin
SYN00081,Goserelina
SYN00082,Human t-PA (residues 1-3 and 176-527)
SYN00083,Reteplasa
SYN00084,Reteplase
SYN00085,"Reteplase, recombinant"
SYN00086,"Reteplase,recombinant"
SYN00087,"1-165-Erythropoietin (human clone λHEPOFL13 protein moiety), glycoform α"
SYN00088,E.P.O.
SYN00089,epo
SYN00090,EPOETIN
SYN00091,Epoetin alfa
SYN00092,Epoetin alfa rDNA
SYN00093,Epoetin alfa-epbx
SYN00094,"Epoetin alfa, recombinant"
SYN00095,Epoetin epsilon
SYN00096,Epoetin gamma
SYN00097,Epoetin gamma rDNA
SYN00098,Epoetin kappa
SYN00099,Epoetin omega
SYN00100,Epoetin theta
SYN00101,Epoetin zeta
SYN00102,Epoetina alfa
SYN00103,Epoetina dseta
SYN00104,Epoetina zeta
SYN00105,Epoétine zêta
SYN00106,Epoetinum zeta
SYN00107,Erythropoetin
SYN00108,Erythropoiesis stimulating factor
SYN00109,Erythropoietin
SYN00110,"Erythropoietin (human, recombinant)"
SYN00111,Erythropoietin (recombinant human)
SYN00112,ESF
SYN00113,RECOMBINANT HUMAN ERYTHROPOIETIN ALFA
SYN00114,rhEPO
SYN00115,SH-polypeptide-72
SYN00116,Calcitonin (Salmon Synthetic)
SYN00117,Calcitonin salmon
SYN00118,Calcitonin salmon recombinant
SYN00119,Calcitonin-salmon
SYN00120,"Calcitonin, salmon"
SYN00121,Calcitonina salmón sintética
SYN00122,Recombinant salmon calcitonin
SYN00123,Salmon calcitonin
SYN00124,Interferon alfa-n3
SYN00125,Granulocyte colony-stimulating factor pegfilgrastim
SYN00126,Jixinfe
SYN00127,peg-filgrastim
SYN00128,PEG-G-CSF
SYN00129,PEG-GCSF
SYN00130,Pegfilgrastim
SYN00131,pegfilgrastim-apgf
SYN00132,pegfilgrastim-bmez
SYN00133,pegfilgrastim-cbqv
SYN00134,Pegfilgrastim-fpgk
SYN00135,pegfilgrastim-jmdb
SYN00136,Pegfilgrastim-pbbk
SYN00137,Pegylated G-CSF
SYN00138,Pegylated GCSF
SYN00139,Pegylated Granulocyte Colony Stimulating Factor
SYN00140,Tripegfilgrastim
SYN00141,吉新芬
SYN00142,Recombinant human granulocyte-macrophage colony stimulating factor
SYN00143,rGM-CSF
SYN00144,rHu GM-CSF
SYN00145,Sargramostatin
SYN00146,Sargramostim
SYN00147,Peg interferon alfa-2b
SYN00148,PEG-IFN-α-2b
SYN00149,peg-interferon alfa-2b
SYN00150,Peginterferon alfa-2b
SYN00151,Pegylated Interferon - α2b
SYN00152,Pegylated Interferon α-2b
SYN00153,Pegylated Interferon-α2b
SYN00154,Asparaginase
SYN00155,Asparaginase (E. coli)
SYN00156,Asparaginase Escherichia coli
SYN00157,Asparaginase II
SYN00158,Asparaginase-E.Coli
SYN00159,Colaspase
SYN00160,E. coli Asparaginase
SYN00161,Escherichia coli L-asparaginase
SYN00162,L-Asnase
SYN00163,L-asparaginase
SYN00164,L-asparagine amidohydrolase
SYN00165,Recombinant Human Thyroid Stimulating Hormone
SYN00166,Recombinant thyrotropin alfa
SYN00167,rhTSH
SYN00168,rTSH
SYN00169,Thyrotropin alfa
SYN00170,Thyrotropin alpha
SYN00171,Antihemophilic factor (recombinant)
SYN00172,Antihemophilic factor recombinant
SYN00173,"Antihemophilic factor, human recombinant"
SYN00174,"Antihemophilic factor, recombinant"
SYN00175,"Coagulation factor VIII, recombinant"
SYN00176,Factor VIII (rDNA)
SYN00177,Factor VIII (Recombinant)
SYN00178,Factor VIII recombin
SYN00179,"Factor VIII, recombinant"
SYN00180,Human Factor VIII (Recombinant)
SYN00181,Human factor VIII recombinant
SYN00182,Octocog alfa
SYN00183,rAHF
SYN00184,Recombinant antihemophilic factor VIII
SYN00185,Recombinant Factor VIII
SYN00186,rFVIII
SYN00187,Anakinra
SYN00188,IL-1RA
SYN00189,Interleukin-1 receptor antagonist anakinra
SYN00190,Bacillus brevis gramicidin D
SYN00191,Gramicidin
SYN00192,Gramicidin A
SYN00193,Gramicidin B
SYN00194,Gramicidin C
SYN00195,Gramicidin D
SYN00196,Gramicidina
SYN00197,Gramicidine
SYN00198,Aerosolized pooled immune globulin
SYN00199,Human gammaglobulin
SYN00200,Human IGG
SYN00201,Human immunoglobulin
SYN00202,Human immunoglobulin G
SYN00203,Human normal immunoglobulin
SYN00204,Immune globulin (human)
SYN00205,Immune globulin human
SYN00206,Immunoglobulin (human)
SYN00207,Immunoglobulin G (human)
SYN00208,"Immunoglobulin G, human"
SYN00209,Intravenous immune globulin (human)
SYN00210,Intravenous immunoglobulin (IVIg)
SYN00211,Anisoylated plasminogen streptokinase activator complex
SYN00212,Anistreplase
SYN00213,APSAC
SYN00214,ELGN-2112
SYN00215,High molecular weight insulin human
SYN00216,Human insulin
SYN00217,human insulin (rDNA)
SYN00218,Insulin (human)
SYN00219,Insulin human
SYN00220,Insulin human [rDNA origin]
SYN00221,Insulin Human Regular
SYN00222,Insulin human regular (rDNA)
SYN00223,"Insulin human, rDNA origin"
SYN00224,Insulin recombinant human
SYN00225,Insulin recombinant purified human
SYN00226,Insulin regular
SYN00227,"Insulin, human"
SYN00228,Insulina regular
SYN00229,Neutral insulin
SYN00230,"Regular Insulin, human"
SYN00231,Soluble insulin
SYN00232,rhTNK-tPA
SYN00233,Tenecteplasa
SYN00234,Tenecteplase
SYN00235,TNK
SYN00236,TNK-tPA
SYN00237,Human menopausal gonadotrophin
SYN00238,Menotrophin
SYN00239,Menotropin
SYN00240,Menotropina
SYN00241,Menotropins
SYN00242,Menotropins (FSH;LH)
SYN00243,IFN-gamma 1b
SYN00244,IFN-gamma-1b
SYN00245,Interferon gamma 1-b
SYN00246,Interferon gamma-1b
SYN00247,"Interferon gamma-1b, recombinant"
SYN00248,Interferon gamma-2a
SYN00249,Interferon Alfa 2A
SYN00250,Interferon alfa-2a
SYN00251,Interferon alfa-2a (genetical recombination)
SYN00252,Interferon alfa-2a (recombinant)
SYN00253,"Interferon alfa-2a, recombinant"
SYN00254,"Interferon alfa-2a,recombinant"
SYN00255,Interferon alpha-2a
SYN00256,Interferon-alfa-2a
SYN00257,Recombinant human interferon alfa-2a
SYN00258,Recombinant human interferon-alfa-2a
SYN00259,rIFN-alpha-2a
SYN00260,SH-polypeptide-46
SYN00261,1 deamino 8 D argininevasopressin
SYN00262,1-(3-mercaptopropionic acid)-8-D-arginine-vasopressin
SYN00263,1-deamino-8-D-arginine vasopressin
SYN00264,1-desamino-8-D-arginine vasopressin
SYN00265,dDAVP
SYN00266,Desmopresina
SYN00267,Desmopressin
SYN00268,Desmopressine
SYN00269,Desmopressinum
SYN00270,activated recombinant human factor VII
SYN00271,Coagulation factor VIIa
SYN00272,Coagulation factor VIIa (recombinant)
SYN00273,Coagulation factor VIIa (recombinant)-jncw
SYN00274,Coagulation factor VIIa Recombinant Human
SYN00275,Eptacog alfa
SYN00276,Eptacog alfa (activated)
SYN00277,Eptacog Beta
SYN00278,Recombinant Activated Factor VII
SYN00279,Recombinant human activated coagulation factor VII
SYN00280,rFVIIa
SYN00281,IL-11
SYN00282,Interleukin 11
SYN00283,Interleukin-11
SYN00284,Oprelvekin
SYN00285,Recombinant interleukin-11
SYN00286,24-163 fibroblast growth factor 7 (human)
SYN00287,Palifermin
SYN00288,Palifermina
SYN00289,Glucagon
SYN00290,Glucagon (recombinant dna origin)
SYN00291,Glucagon recombinant
SYN00292,"Glucagon, human"
SYN00293,"Glucagon, porcine"
SYN00294,Glucagone
SYN00295,Glucagonum
SYN00296,125-L-Serine-2-133-interleukin 2
SYN00297,125-L-serine-2-133-interleukin 2 (human reduced)
SYN00298,Aldesleukin
SYN00299,Aldesleukina
SYN00300,ILT-101
SYN00301,ILT101
SYN00302,Interleukin-2 aldesleukin
SYN00303,"Interleukin-2(2-133),125-ser"
SYN00304,Recombinant human interleukin-2
SYN00305,Recombinant interleukin-2 human
SYN00306,rhIL-2
SYN00307,Botulin B
SYN00308,Botulinum antitoxin type B
SYN00309,Botulinum B toxin
SYN00310,Botulinum neurotoxin type B precursor
SYN00311,Botulinum toxin type B
SYN00312,BTX-B
SYN00313,RimabotulinumtoxinB
SYN00314,Toxina botulínica B
SYN00315,Omalizumab
SYN00316,RHUMAB-E25
SYN00317,Lutropin alfa
SYN00318,Lutropin alpha
SYN00319,Lutropina alfa
SYN00320,Recombinant LH
SYN00321,rLH
SYN00322,Lipoprotein OspA antigen recombinant
SYN00323,Lipoprotein outer surface a borrelia burgdorferi antigen
SYN00324,Lyme disease vaccine (recombinant OspA)
SYN00325,OspA lipoprotein
SYN00326,Insulin lispro
SYN00327,Insulin lispro (genetical recombination)
SYN00328,Insulin lispro (rDNA origin)
SYN00329,Insulin lispro protamine
SYN00330,Insulin lispro protamine recombinant
SYN00331,Insulin lispro recombinant
SYN00332,insulin lispro-aabc
SYN00333,"Insulin,lispro,human/rDNA"
SYN00334,"Insulin,lispro,protamine/rDNA"
SYN00335,Insulina lispro
SYN00336,lispro insulin
SYN00337,Insulin glargine
SYN00338,Insulin glargine (rDNA origin)
SYN00339,Insulin glargine recombinant
SYN00340,insulin glargine-yfgn
SYN00341,Insulina glargina
SYN00342,Clostridiopeptidase A
SYN00343,Clostridium histolyticum enzymes
SYN00344,Collagenase
SYN00345,Collagenase clostridium histolyticum
SYN00346,collagenase clostridium histolyticum-aaes
SYN00347,Rasburicasa
SYN00348,Rasburicase
SYN00349,Recombinant urate oxidase
SYN00350,Urate oxidase
SYN00351,Cetrorelix
SYN00352,Cetrorelixum
SYN00353,Adalimumab
SYN00354,Adalimumab (genetical recombination)
SYN00355,Adalimumab beta
SYN00356,adalimumab-adaz
SYN00357,adalimumab-adbm
SYN00358,adalimumab-afzb
SYN00359,adalimumab-atto
SYN00360,adalimumab-bwwd
SYN00361,adalimumab-fkjp
SYN00362,Growth hormone
SYN00363,Growth hormone (human)
SYN00364,hGH
SYN00365,Human growth hormone
SYN00366,Recombinant human growth hormone
SYN00367,rhGH
SYN00368,Somatotropin (human)
SYN00369,Somatotropin human
SYN00370,Somatotropin human growth hormone
SYN00371,Somatropin
SYN00372,Somatropin (rDNA origin)
SYN00373,Somatropin (recombinant DNA origin)
SYN00374,Somatropin [rDNA origin]
SYN00375,Somatropin recombinant
SYN00376,Somatropin(recombinant DNA origin)
SYN00377,Somatropina
SYN00378,Imiglucerasa
SYN00379,Imiglucerase
SYN00380,Abciximab
SYN00381,Abciximab (genetical recombination)
SYN00382,c7E3
SYN00383,Activated protein C
SYN00384,Blood coagulation factor XIV (human)
SYN00385,Drotrecogin alfa (activated)
SYN00386,"Drotrecogin alfa (activated), lyophilized"
SYN00387,Drotrecogin alfa activated
SYN00388,"Drotrecogin alfa, activated"
SYN00389,Drotrecogin-alfa
SYN00390,Recombinant human activated protein C (rH-APC)
SYN00391,Gemtuzumab ozogamicin
SYN00392,hP67.6-Calicheamicin
SYN00393,Indium (111In) satumomab pendetide
SYN00394,Indium In 111 satumomab pendetide
SYN00395,Indium-111 satumomab pendetide
SYN00396,.Alpha.-1 protease inhibitor
SYN00397,.Alpha.1-proteinase inhibitor human
SYN00398,122320-05-2
SYN00399,Alfa 1-proteinase inhibitor (human)
SYN00400,Alfa-1-antitripsina
SYN00401,Alfa1 antitrypsin
SYN00402,Alpha 1-antitrypsin
SYN00403,Alpha 1-Proteinase Inhibitor
SYN00404,Alpha 1-proteinase inhibitor (human)
SYN00405,Alpha 1-proteinase inhibitor human
SYN00406,"Alpha 1-proteinase inhibitor, human"
SYN00407,Alpha-1 protease inhibitor
SYN00408,Alpha-1 proteinase inhibitor (human)
SYN00409,Alpha-1-antiproteinase
SYN00410,Alpha-1-antitrypsin
SYN00411,Alpha-1-proteinase Inhibitor (human)
SYN00412,Alpha-1-proteinase inhibitor human
SYN00413,"Alpha-1-proteinase Inhibitor, Human"
SYN00414,"Alpha-1-proteinase inhibitor,human"
SYN00415,Alpha1-antitrypsin
SYN00416,Alpha1-proteinase Inhibitor
SYN00417,Alpha1-proteinase inhibitor (human)
SYN00418,Alpha1-proteinase inhibitor human
SYN00419,Antileukoproteinase
SYN00420,API
SYN00421,Mucus proteinase inhibitor
SYN00422,Protease inhibitor wap4
SYN00423,Recombinant secretory leucocyte protease inhibitor
SYN00424,Recombinant secretory leukocyte protease inhibitor
SYN00425,Secretory leukocyte protease inhibitor (human)
SYN00426,SLPI
SYN00427,Wap four-disulfide core domain protein 4
SYN00428,PEG-ASP
SYN00429,Peg-asparaginase
SYN00430,PEG-aspargase
SYN00431,PEG-L-Asparaginase
SYN00432,Peg/L-asparaginase
SYN00433,Pegaspargasa
SYN00434,Pegaspargase
SYN00435,PEGLA
SYN00436,pegylated asparaginase
SYN00437,Pegylated-asparaginase
SYN00438,Polyethylene Glycol L-Asparaginase
SYN00439,Polyethylene Glycol-L-Asparaginase
SYN00440,IFN β-1a
SYN00441,IFN-β1a
SYN00442,IFNβ 1a
SYN00443,IFNβ-1a
SYN00444,Interferon beta 1-a
SYN00445,Interferon beta 1a
SYN00446,Interferon beta-1a
SYN00447,Interferon beta-1a (recombinant human)
SYN00448,Interferon beta-1a (recombinant)
SYN00449,"Interferon beta-1a,recombinant"
SYN00450,"Interferon beta, recombinant human"
SYN00451,Interferon-beta-1a
SYN00452,SNG001
SYN00453,(monomethoxypolyethylene glycol succinimidyl) 11-17-adenosine deaminase
SYN00454,PEG-adenosine deaminase
SYN00455,pegADA
SYN00456,Pegademase
SYN00457,Pegademase bovine
SYN00458,Albumin (human)
SYN00459,Albumin human
SYN00460,"Albumin, blood"
SYN00461,"Albumin, human"
SYN00462,"Albumin, human-kjda"
SYN00463,Human albumin
SYN00464,Human serum albumin
SYN00465,Serum albumin
SYN00466,Eptifibatida
SYN00467,Eptifibatide
SYN00468,Integrelin
SYN00469,Intrifiban
SYN00470,"IMMUNOGLOBULIN G (HUMAN-MOUSE MONOCLONAL CA2 HEAVY CHAIN ANTI-HUMAN TUMOR NECROSIS FACTOR), DISULFIDE WITH HUMAN-MOUSE MONOCLONAL CA2 LIGHT CHAIN, DIMER"
SYN00471,Infliximab
SYN00472,Infliximab (genetical recombination)
SYN00473,Infliximab-abda
SYN00474,Infliximab-axxq
SYN00475,Infliximab-dyyb
SYN00476,Infliximab-qbtx
SYN00477,Folitropina alfa
SYN00478,Folitropina beta
SYN00479,Folitropina delta
SYN00480,Follicle stimulating hormone
SYN00481,Follitrophin alfa
SYN00482,Follitrophin alpha
SYN00483,Follitrophin beta
SYN00484,Follitropin
SYN00485,Follitropin alfa
SYN00486,Follitropin alfa/beta
SYN00487,Follitropin alpha
SYN00488,Follitropin beta
SYN00489,Follitropin delta
SYN00490,Follitropin gamma
SYN00491,Follotropin recombinant
SYN00492,FSH
SYN00493,FSH alpha
SYN00494,FSH-a
SYN00495,FSH-b
SYN00496,FSH-beta
SYN00497,Recombinant human follicle stimulating hormone beta
SYN00498,Recombinant human follicle-stimulating hormone (r-HFSH)
SYN00499,rFSH-alpha
SYN00500,Vasopressin
SYN00501,"Vasopressin, unspecified"
SYN00502,Vasopressina
SYN00503,Interferon beta 1b (recombinant)
SYN00504,Interferon beta-1b
SYN00505,"Interferon beta-1b,recombinant"
SYN00506,Interferon-beta-1b
SYN00507,Recombinant interferon beta-1b
SYN00508,IFN Alfacon-1
SYN00509,IFN-Con1
SYN00510,Interferon alfacon-1
SYN00511,"Hyaluronidase (glycoprotein, sheep testis isoenzyme)"
SYN00512,Hyaluronidase (ovine)
SYN00513,Hyaluronidase (sheep testis isoenzyme)
SYN00514,"Hyaluronidase, ovine"
SYN00515,Ovine hyaluronidase
SYN00516,Insulin (pork)
SYN00517,Insulin porcine
SYN00518,Insulin pork
SYN00519,Insulin purified porcine
SYN00520,Insulin purified pork
SYN00521,"Insulin, porcine"
SYN00522,"Insulin, regular, pork"
SYN00523,Porcine insulin
SYN00524,GB221
SYN00525,RHUMAB HER2
SYN00526,Trastuzumab
SYN00527,Trastuzumab beta
SYN00528,trastuzumab-anns
SYN00529,trastuzumab-dkst
SYN00530,trastuzumab-dttb
SYN00531,Trastuzumab-herw
SYN00532,trastuzumab-pkrb
SYN00533,trastuzumab-qyyp
SYN00534,Trastuzumab-strf
SYN00535,Trastuzumab-zerc
SYN00536,Rituximab
SYN00537,rituximab-abbs
SYN00538,rituximab-arrx
SYN00539,rituximab-blit
SYN00540,rituximab-pvvr
SYN00541,rituximab-rite
SYN00542,rituximab-rixa
SYN00543,rituximab-rixi
SYN00544,Basiliximab
SYN00545,Anti-CD3
SYN00546,Muromonab
SYN00547,Muromonab-CD3
SYN00548,Digitalis antitoxin
SYN00549,Digoxin Immune Fab (Ovine)
SYN00550,"Digoxin Immune Fab, Ovine"
SYN00551,Digoxin-specific Antibody Fragments
SYN00552,Ovine digoxin immune fab
SYN00553,Ibritumomab
SYN00554,Ibritumomab tiuxetan
SYN00555,mAb Murine (IGG1) Anti P19437 (CD20_MOUSE)
SYN00556,Daptomicina
SYN00557,Daptomycin
SYN00558,Daptomycine
SYN00559,Daptomycinum
SYN00560,Tositumomab
SYN00561,Pegvisomant
SYN00562,AbobotulinumtoxinA
SYN00563,Botulinum A neurotoxin
SYN00564,Botulinum antitoxin type A
SYN00565,Botulinum toxin A
SYN00566,Botulinum toxin type A
SYN00567,Botulinum toxin type-A
SYN00568,BTX - A
SYN00569,BTX A
SYN00570,BTX-A
SYN00571,EvabotulinumtoxinA
SYN00572,Incobotulinumtoxin A
SYN00573,IncobotulinumtoxinA
SYN00574,JTM201
SYN00575,MBA-P01
SYN00576,Onabotulinumtoxin A
SYN00577,OnabotulinumtoxinA
SYN00578,Onaclostox
SYN00579,Prabotulinumtoxin A
SYN00580,Relabotulinumtoxina
SYN00581,Toxina botulínica A
SYN00582,Toxine botulinique A
SYN00583,Pancrealipase
SYN00584,Pancreatic extract pancrelipase
SYN00585,Pancreatic protease
SYN00586,Pancreatin
SYN00587,Pancreatinum
SYN00588,Pancrelipase
SYN00589,Pancrelipase (amylase;lipase;protease)
SYN00590,Zenpep
SYN00591,Estreptoquinasa
SYN00592,Streptochinasi
SYN00593,Streptococcal fibrinolysin
SYN00594,Streptokinase
SYN00595,Streptokinasum
SYN00596,Alemtuzumab
SYN00597,Alglucerase
SYN00598,(111In)-Capromab pendetide
SYN00599,Capromab pendetide
SYN00600,Indium (111In) capromab pendetide
SYN00601,Indium 111 Capromab Pendetide
SYN00602,Indium In 111 capromab pendetide
SYN00603,alpha-L-Idosiduronase
SYN00604,Human Recombinant alpha-L-iduronidase
SYN00605,Laronidasa
SYN00606,Laronidase
SYN00607,Laronidase (genetical recombination)
SYN00608,Ciclosporin
SYN00609,Ciclosporina
SYN00610,Ciclosporine
SYN00611,Ciclosporinum
SYN00612,CsA
SYN00613,CyA
SYN00614,Cyclosporin
SYN00615,Cyclosporin A
SYN00616,Cyclosporine
SYN00617,Cyclosporine A
SYN00618,Alefacept
SYN00619,2-(L-phenylalanine)-8-L-lysinevasopressin
SYN00620,Felipresina
SYN00621,Felypressin
SYN00622,Felypressine
SYN00623,Felypressinum
SYN00624,PLV-2
SYN00625,Follitropin human
SYN00626,Urofollitrophin
SYN00627,Urofollitropin
SYN00628,anti-CD11a
SYN00629,antiCD11 alpha
SYN00630,Efalizumab
SYN00631,Choriogonadotropin alfa
SYN00632,Choriogonadotropin alpha
SYN00633,Chorionic gonadotropin (recombinant)
SYN00634,"Anti-human thymocyte immunoglobulin, rabbit"
SYN00635,"Anti-T-lymphocyte immune globulin, rabbit"
SYN00636,Anti-thymocyte globulin (rabbit)
SYN00637,Anti-thymocyte globulin rabbit
SYN00638,Antithymocyte immunoglobulin
SYN00639,Antithymocyte immunoglobulin (rabbit)
SYN00640,Lapine T-lymphocyte immune globulin
SYN00641,r-ATG
SYN00642,Rabbit anti-human thymocyte globulin
SYN00643,Rabbit anti-human thymocyte globulin (rATG)
SYN00644,Rabbit anti-human thymocyte immunoglobulin
SYN00645,Rabbit Anti-Thymocyte Globulin
SYN00646,Rabbit anti-thymocyte immunoglobulin
SYN00647,Rabbit antithymocyte globulin
SYN00648,Rabbit ATG
SYN00649,Rabbit-ATG
SYN00650,rATG
SYN00651,Thymoglobulin
SYN00652,Thymoglobuline
SYN00653,Filgrastim
SYN00654,Filgrastim-aafi
SYN00655,Filgrastim-ayow
SYN00656,Filgrastim-sndz
SYN00657,G CSF
SYN00658,G-CSF 
SYN00659,G-CSF
SYN00660,GCSF
SYN00661,Granulocyte Colony Stimulating Factor 
SYN00662,Granulocyte Colony Stimulating Factor
SYN00663,r-metHuG-CSF
SYN00664,Recombinant Methionyl Human Granulocyte Colony Stimulating Factor
SYN00665,rG-CSF
SYN00666,Tbo-filgrastim
SYN00667,Coagulation factor IX (recombinant)
SYN00668,Coagulation factor IX recombinant human
SYN00669,"Coagulation factor IX, recombinant"
SYN00670,Factor IX (Recombinant)
SYN00671,nonacog alfa
SYN00672,nonacog gamma
SYN00673,Recombinant factor IX
SYN00674,Becaplermin
SYN00675,PDGF-2
SYN00676,PDGF-BB
SYN00677,PDGFB
SYN00678,"Platelet-derived growth factor BB, recombinant"
SYN00679,Platelet-derived growth factor beta polypeptide
SYN00680,Recombinant platelet-derived growth factor BB
SYN00681,rhPDGF-BB
SYN00682,rPDGF-BB
SYN00683,SH-POLYPEPTIDE-59
SYN00684,Agalsidasa beta
SYN00685,Agalsidase beta
SYN00686,Agalsidase beta (genetical recombination)
SYN00687,CAM-2029
SYN00688,Octreotida
SYN00689,Octreotide
SYN00690,Octreotidum
SYN00691,Octrotide
SYN00692,IFN alpha-2B
SYN00693,Interferon alfa 2-b
SYN00694,Interferon alfa 2b
SYN00695,Interferon alfa-2b
SYN00696,Interferon alfa-2b (recombinant)
SYN00697,"Interferon alfa-2b, recombinant"
SYN00698,Interferon alpha-2B
SYN00699,Interferon α-2b
SYN00700,Interferon α2b
SYN00701,Intron (Interferon α2b)
SYN00702,Intron A
SYN00703,Intron A (Interferon α2b)
SYN00704,r-INF-alpha
SYN00705,Recombinant Interferon Alfa-2b
SYN00706,rIFN-alpha-2b
SYN00707,Abarelix
SYN00708,Oxitocina
SYN00709,Oxytocin
SYN00710,Anti-alpha4 integrin
SYN00711,Anti-VLA4
SYN00712,"IMMUNOGLOBULIN G4 (HUMAN-MOUSE MONOCLONAL AN100226 4-CHAIN ANTI-HUMAN INTEGRIN 4), DISULFIDE WITH HUMAN-MOUSE MONOCLONAL AN100226 LIGHT CHAIN, DIMER"
SYN00713,"IMMUNOGLOBULIN G4 (HUMAN-MOUSE MONOCLONAL AN100226 4-CHAIN ANTI-HUMAN INTEGRIN 4), DISULPHIDE WITH HUMAN-MOUSE MONOCLONAL AN100226 LIGHT CHAIN, DIMER"
SYN00714,Natalizumab
SYN00715,natalizumab-sztn
SYN00716,Enfuvirtida
SYN00717,Enfuvirtide
SYN00718,Palivizumab
SYN00719,Dacliximab
SYN00720,Daclizumab
SYN00721,Daclizumab beta
SYN00722,BAT1706
SYN00723,Bevacizumab
SYN00724,Bevacizumab awwb
SYN00725,Bevacizumab beta
SYN00726,Bevacizumab-adcd
SYN00727,bevacizumab-awwb
SYN00728,Bevacizumab-aybi
SYN00729,Bevacizumab-bvzr
SYN00730,Bevacizumab-equi
SYN00731,Bevacizumab-maly
SYN00732,Bevacizumab-onbe
SYN00733,Bevacizumab-tnjn
SYN00734,rhuMAb VEGF
SYN00735,rhuMAb-VEGF
SYN00736,SCT510
SYN00737,Arcitumomab technetium-99m
SYN00738,Technetium (99mTc) arcitumomab
SYN00739,Technetium Tc 99m arcitumomab
SYN00740,Technetium Tc-99m arcitumomab
SYN00741,Technetium-99m arcitumomab
SYN00742,3-hydroxy-2-methyl-5-((phosphonooxy)methyl)-4-pyridinecarboxaldehyde
SYN00743,3-hydroxy-5-(hydroxymethyl)-2-methylisonicotinaldehyde 5-phosphate
SYN00744,Codecarboxylase
SYN00745,PLP
SYN00746,Pyridoxal 5-monophosphoric acid ester
SYN00747,Pyridoxal 5-phosphate
SYN00748,Pyridoxal 5'-phosphate
SYN00749,Pyridoxal P
SYN00750,Pyridoxal phosphate
SYN00751,Pyridoxal phosphate anhydrous
SYN00752,Pyridoxal-5P
SYN00753,Pyridoxal-P
SYN00754,Cianocobalamina
SYN00755,Cyanocob(III)alamin
SYN00756,Cyanocobalamin
SYN00757,Cyanocobalamine
SYN00758,Cyanocobalaminum
SYN00759,Vitamin B12 NOS
SYN00760,"5,6,7,8-tetrahydrofolate"
SYN00761,"5,6,7,8-tetrahydrofolic acid"
SYN00762,Tetrahydrofolate
SYN00763,Tetrahydrofolic acid
SYN00764,(S)-4-(2-Amino-2-carboxyethyl)imidazole
