drug_id,toxicity,indication_text
DB00006,"Based on a study by Gleason et al., the no-observed-adverse-effect level (NOAEL) for bivalirudin, administered to rats via intravenous infusion over a 24-hour period, was 2000 mg/kg/24 h.","For treatment of heparin-induced thrombocytopenia and for the prevention of thrombosis. Bivalirudin is indicated for use in patients undergoing percutaneous coronary intervention (PCI), in patients at moderate to high risk acute coronary syndromes due to unstable angina or non-ST segment elevation in whom a PCI is planned."
DB00007,"Leuprolide is considered extremely safe, with low dose-related toxicity and comparatively mild adverse effects.[A203126] Prostate cancer patients treated with leuprolide at doses as high as 20 mg/day for two years showed no additional adverse effects compared to those receiving 1 mg/day.[L13814]","Leuprolide is indicated for the treatment of advanced prostate cancer [L13781, L34415] and as palliative treatment of advanced prostate cancer.[L13790] 

It is also used for the treatment of pediatric patients with central precocious puberty (CPP).[L13784, L13787] 

In combination with oral [norethisterone] (also known as norethindrone), leuprolide is also indicated for the initial treatment of the symptoms of endometriosis.[L10310] Finally, in combination with iron supplementation, leuprolide is indicated for the preoperative hematological improvement of anemic patients with uterine leiomyomata (uterine fibroids).[L13814]"
DB00008,"Peginterferon alfa-2a may manifest neuropsychiatric complications include suicide, suicidal ideation, homicidal ideation, depression, relapse of drug addiction, and drug overdose [FDA Label]. Hypertension, supraventricular arrhythmias, chest pain, and myocardial infarction have been observed in patients using Peginterferon alfa-2a. Peginterferon alfa-2a may produce myelosuppression as well as the development or aggravation of autoimmune disorders including myositis, hepatitis, thrombotic thrombocytopenic purpura, idiopathic thrombocytopenic purpura, psoriasis, rheumatoid arthritis, interstitial nephritis, thyroiditis, and systemic lupus erythematosus. Peginterferon alfa-2a causes or aggravates hypothyroidism and hyperthyroidism. Hyperglycemia, hypoglycemia, and diabetes mellitus have been observed to develop in patients treated with Peginterferon alfa-2a. Peginterferon alfa-2a may decrease or produce loss of vision, retinopathy including macular edema, retinal artery or vein thrombosis, retinal hemorrhages and cotton wool spots, optic neuritis, papilledema and serous retinal detachment. Peginterferon mayy be related to increased ischemic and hemorrhagic cerebrovascular events. Patients with cirrhosis on Peginterferon alfa-2a are at risk of hepatic decompensation. Dyspnea, pulmonary infiltrates, pneumonia, bronchiolitis obliterans, interstitial pneumonitis, pulmonary hypertension and sarcoidosis may be induced or aggravated by Peginterferon alfa-2a. Serious and severe infections (bacterial, viral, or fungal) have been reported during treatment with Peginterferon alfa-2a. Ulcerative and hemorrhagic/ischemic colitis have been observed within 12 weeks of starting Peginterferon alfa-2a treatment. Pancreatitis and peripheral nephropathy have also been reported. Peginterferon alfa-2a is associated with growth inhibition in pediatric patients. Use of Peginterferon alfa-2a while pregant may result in delopmental abnormalities or death of the fetus.","Peginterferon alfa-2a is indicated for the treatment of HCV in combination with other antiviral drugs in patients over 5 years of age with compensated liver disease [FDA Label]. May be used as a monotherapy in patients with contraindications to or significant intolerance to other anti-viral therapies.

Peginterferon alfa-2a is also indicated as a monotherapy for adult patients with HBeAg positive and HBeAg negative chronic hepatitis B infection who have compensated liver disease and evidence of viral replication and liver inflammation [FDA Label]."
DB00009,,
DB00009,"Toxicity information regarding alteplase is not readily available. Patients experiencing an overdose are at an increased risk of severe adverse effects such as risk of bleeding and thromboembolic events.[L43125] Symptomatic and supportive measures are recommended. The carcinogenic potential of alteplase or its effect on fertility have not been evaluated. _In vivo_ studies evaluating tumorigenicity and _in vitro_ studies evaluating mutagenicity were negative.[L43125] It has been estimated that the acute oral and dermal toxicity of alteplase is above 5,000 mg/kg.[L43175]","Alteplase is indicated for the treatment of acute ischemic stroke (AIS) and for use in acute myocardial infarction (AMI) for the reduction of mortality and incidence of heart failure. Alteplase is also indicated for the lysis of acute massive pulmonary embolism, defined as acute pulmonary emboli obstructing blood flow to a lobe or multiple lung segments, and acute pulmonary emboli accompanied by unstable hemodynamics.[L43125]"
DB00010,,"For the treatment of dwarfism, prevention of HIV-induced weight loss"
DB00011,,For the treatment of venereal or genital warts caused by the Human Papiloma Virus.
DB00012,,For the treatment of anemia (from renal transplants or certain HIV treatment)
DB00013,,
DB00013,"Patients experiencing an overdose may present with bleeding.[L12141] Treat patients with symptomatic and supportive measures which may include application of local pressure, administration of whole blood or plasma, and administration of aminocaproic acid.[L12141]","In Canada, urokinase is indicated for lysis of acute massive pulmonary emboli, acute thrombi obstructing coronary arteries, occlusive thromboemboli in peripheral arteries and grafts, and restoration of patency to intravenous catheters.[L12141]"
DB00014,No experience of overdosage from clinical trials.,"Goserelin is indicated for:

- Use in combination with flutamide for the management of locally confined carcinoma of the prostate
- Palliative treatment of advanced carcinoma of the prostate
- The management of endometriosis
- Use as an endometrial-thinning agent prior to endometrial ablation for dysfunctional uterine bleeding
- Use in the palliative treatment of advanced breast cancer in pre- and perimenopausal women
- Management of estrogen receptor (ER)-positive early breast cancer in pre- and perimenopausal women. [L52780]"
DB00015,,
DB00015,,"For lysis of acute pulmonary emboli, intracoronary emboli, and management of myocardial infarction."
DB00016,"Overdose from epoetin alfa include signs and symptoms associated with an excessive and/or rapid increase in hemoglobin concentration, including cardiovascular events. Patients with suspected or known overdose should be monitored closely for cardiovascular events and hematologic abnormalities. Polycythemia should be managed acutely with phlebotomy, as clinically indicated. Following resolution of the overdose, reintroduction of epoetin alfa therapy should be accompanied by close monitoring for evidence of rapid increases in hemoglobin concentration (>1 gm/dL per 14 days). In patients with an excessive hematopoietic response, reduce the dose in accordance with the recommendations described in the drug label [FDA Label]. ","Indicated in adult and paediatric patients for the: 

- treatment of anemia due to Chronic Kidney Disease (CKD) in patients on dialysis and not on dialysis.
- treatment of anemia due to zidovudine in patients with HIV-infection. 
- treatment of anemia due to the effects of concomitant myelosuppressive chemotherapy, and upon initiation, there is a minimum of two additional months of planned chemotherapy.
- reduction of allogeneic RBC transfusions in patients undergoing elective, noncardiac, nonvascular surgery."
DB00017,"Salmon calcitonin was shown to inhibit lactation in animals and is not recommend in nursing mothers. While research in animals have shown a decrease in fetal weight, no studies have yet shown similar results in humans. It is recommended however to proceed carefully when administering salmon calcitonin to pregnant women and consider if the benefits outweigh the risks. Because of its protein nature, salmon calcitonin may provoke an allergy reaction (bronchospams and swelling of the tongue/throat) that can turn into a full-blown anaphylactic response. The manufacturer also reports an increase in the risk of malignancies from oral route (0.7%) to intranasal route (2.4%) compared to placebo. The same may apply to IV, IM and SC routes since the systemic exposure is higher in those cases.
Nausea is noticeable in some patients but tends to decrease with continued administration. Rhinitis, headaches and back pain have also been reported among others. ","Used in the treatment of symptomatic Paget's disease for patients unresponsive to alternate treatments or intolerant to such treatments. In addition, it is used in emergency situations when serum calcium levels must be decreased quickly until the underlying condition is identified. It can also be added to existing therapeutic regimens for hypercalcemia such as intravenous fluids and furosemide, oral phosphate or corticosteroids, or other agents. Calcitonin can be used in patients with azotemia and cases where intravenous fluids would be contraindicated due to limited cardiac reserves. Also for the treatment of post-menopausal osteoporosis in women more than 5 years post-menopause.  "
DB00018,,For the intralesional treatment of refractory or recurring external condylomata acuminata.
DB00019,"The maximum safe dose of pegfilgrastim has not been established; however, the highest dose used in clinical trials was 300 mcg/kg.[A248855] Overdosage of pegfilgrastim may result in leukocytosis and bone pain. Events of edema, dyspnea, and pleural effusion have been reported in a single patient who self-administered pegfilgrastim on 8 consecutive days in error. In the event of overdose, the patient should be monitored for signs and symptoms of toxicity and responded with appropriate general supportive care.[L9746,A248855]","Pegfilgrastim is indicated to decrease the incidence of infection, as manifested by febrile neutropenia, in patients with non­ myeloid malignancies receiving myelosuppressive anti-cancer drugs associated with a clinically significant incidence of febrile neutropenia.[L44221,L52655]

It is also indicated to increase survival in patients acutely exposed to myelosuppressive doses of radiation (Hematopoietic Subsyndrome of Acute Radiation Syndrome).[L44221]"
DB00020,,For the treatment of cancer and bone marrow transplant
DB00022,"Peginterferon alfa-2b may manifest neuropsychiatric complications include suicide, suicidal ideation, homicidal ideation, depression, relapse of drug addiction, and drug overdose [FDA Label]. Hypertension, supraventricular arrhythmias, chest pain, and myocardial infarction have been observed in patients using Peginterferon alfa-2b. Peginterferon alfa-2b may produce myelosuppression as well as the development or aggravation of autoimmune disorders including myositis, hepatitis, thrombotic thrombocytopenic purpura, idiopathic thrombocytopenic purpura, psoriasis, rheumatoid arthritis, interstitial nephritis, thyroiditis, and systemic lupus erythematosus. Peginterferon alfa-2b causes or aggravates hypothyroidism and hyperthyroidism. Hyperglycemia, hypoglycemia, and diabetes mellitus have been observed to develop in patients treated with Peginterferon alfa-2b. Peginterferon alfa-2b may decrease or produce loss of vision, retinopathy including macular edema, retinal artery or vein thrombosis, retinal hemorrhages and cotton wool spots, optic neuritis, papilledema and serous retinal detachment. Peginterferon mayy be related to increased ischemic and hemorrhagic cerebrovascular events. Patients with cirrhosis on Peginterferon alfa-2b are at risk of hepatic decompensation. Dyspnea, pulmonary infiltrates, pneumonia, bronchiolitis obliterans, interstitial pneumonitis, pulmonary hypertension and sarcoidosis may be induced or aggravated by Peginterferon alfa-2b. Serious and severe infections (bacterial, viral, or fungal) have been reported during treatment with Peginterferon alfa-2b. Ulcerative and hemorrhagic/ischemic colitis have been observed within 12 weeks of starting Peginterferon alfa-2b treatment. Pancreatitis and peripheral nephropathy have also been reported. Peginterferon alfa-2b is associated with growth inhibition in pediatric patients. Use of Peginterferon alfa-2b while pregant may result in delopmental abnormalities or death of the fetus.","Peginterferon alfa-2b is indicated for the treatment of HCV in combination with [DB00811] and a NS3/4A protease inhibitor for genotype 1 or without a NS3/4A protease inhibitor for genotypes 2-6 [FDA Label]. May be used as a monotherapy in patients with contraindications to or significant intolerance to other anti-viral therapies.

It is also indicated for the adjuvant treatment of melanoma with microscopic or gross nodal involvement within 84 days of definitive surgical resection, including complete lymphadenectomy.[L45334]"
DB00023,"No studies assessing the mutagenic or carcinogenic potential of _E. coli_ L-asparagine have been conducted. In the Ames assay, no mutagenic effect was demonstrated when tested against Salmonella typhimurium strains [FDA Label]. No studies have been performed on impairment of fertility [FDA Label]. Following a single, intravenous injection of 12,500 to 50,000 International Units L-asparagine/kg in rabbits, edema and necrosis of pancreatic islets were observed. The clinical relevance of this finding is unclear as it does not indicate pancreatitis [FDA Label].",Indicated as a component of a multi-agent chemotherapeutic regimen for the treatment of patients with acute lymphoblastic leukemia (ALL).[L39809]
DB00024,"No difference in efficacy and toxicity between adult and geriatric patients. No studies in lactating women, pregnant women and pediatrics. Cautionary administration is advised. ",For detection of residueal or recurrent thyroid cancer
DB00025,,"The human recombinant antihemophilic factor is indicated for use in adults and children with hemophilia A for the control and prevention of bleeding episodes, perioperative management, and routine prophylaxis to prevent or reduce the frequency of bleeding episodes.[L41025, L36130]"
DB00026,"In clinical trials done in patients with rheumatoid arthritis (RA) and neonatal-onset multisystem inflammatory disease (NOMID) treated with anakinra, no cases of overdose were reported.[L35415] Sepsis trials were performed using mean calculated doses up to 35 times the ones given to patients with RA over 72 hours. Anakinra did not produce any serious toxicities at this dose range.[L35415]

In preclinical studies done in rats, where up to 100 mg/kg/day were administered either intravenously or subcutaneously over 14 days, and given at doses of 2, 20 or 200 mg/kg/day subcutaneously for 6 months, anakinra was well tolerated. Toxicity ranged from mild to moderate, and dose-related inflammation, hemorrhage and fibrosis at the injection site were detected in both rats and monkeys.[L41634] The no observable adverse effect level (NOAEL) in rats receiving a daily subcutaneous dose of anakinra for 6 months was 2 mg/kg/day. In rats receiving a daily intravenous injection of anakinra for 14 or 28 days, the NOAEL was 30 mg/kg/day. The NOAEL in Rhesus monkeys was 150 mg/kg/day when anakinra was administered via intravenous infusion for 7 days, 10-30 mg/kg/day when administered via intravenous bolus injection for 14 days and 5 mg/kg/day when administered subcutaneously for 14 days.[L41634] Anakinra had no effects on fertility and reproductive capacity in both male and female rats given the maximum recommended human dose.[L35415]","Anakinra is an interleukin-1 receptor antagonist indicated for the reduction in signs and symptoms and slowing the progression of structural damage in moderately to severely active rheumatoid arthritis (RA), in patients 18 years of age or older who have failed one or more disease-modifying antirheumatic drugs (DMARDs). Anakinra can be used alone or in combination with DMARDs other than Tumor Necrosis Factor (TNF) blocking agents.[L35415]

Anakinra is also indicated for the treatment of Neonatal-Onset Multisystem Inflammatory Disease (NOMID) and the treatment of Deficiency of Interleukin-1 Receptor Antagonist (DIRA).[L35415] Anakinra is also used off-label for the treatment of several inflammatory diseases.[A247000]

The FDA has issued an emergency use authorization (EUA) for the emergency use of anakinra for the treatment of coronavirus disease 2019 (COVID-19) in hospitalized adults with positive results of direct SARS-CoV-2 viral testing with pneumonia requiring supplemental oxygen (low- or high-flow oxygen) who are at risk of progressing to severe respiratory failure and likely to have an elevated plasma soluble urokinase plasminogen activator receptor (suPAR). Since anakinra is approved for this condition under EUA, the drug should only be used when there are no alternative treatment available.[L43927]"
DB00027,,"For treatment of skin lesions, surface wounds and eye infections."
DB00028,,"Human immunoglobulin G is indicated for the following conditions:

### Primary Immunodeficiency
- for the treatment of primary immunodeficiency in adult and pediatric patients[L39920, L39930, L39935, L39940, L39945, L39950, L39955, L39960, L39965, L39975, L39980, L40029, L40034, L40044]
- in combination with [hyaluronidase (human recombinant)] for the treatment of primary immunodeficiency in patients ≥2 years of age.[L42760]
- for the treatment of primary immunodeficiency in adults [L54066]

### Immune Thrombocytopenic Purpura (ITP)
- for the treatment of acute or chronic immune thrombocytopenic purpura in adult and pediatric patients[L39940, L39950, L39960, L39965, L39970, L39975, L39980]

### Chronic Inflammatory Demyelinating Polyneuropathy (CIDP)
- for the treatment of CIDP in adult patients[L39955, L39965, L39975, L39980, L40034]
- in combination with hyaluronidase (human recombinant) as a maintenance therapy in adults with chronic inflammatory demyelinating polyneuropathy (CIDP)[L40039]

### Multifocal Motor Neuropathy (MMN)
- for maintenance therapy to improve muscle strength and disability in adult patients with MMN[L39955]

### Prophylaxis of Bacterial Infection
- for the prevention of bacterial infections in patients with hypogammaglobulinemia and/or B-cell chronic lymphocytic leukemia[L39960]

### Coronary Artery Aneurysm Associated With Kawasaki Syndrome
- for the prevention of coronary artery aneurysms in pediatric patients with Kawasaki syndrome[L39960]

### Dermatomyositis
- for the treatment of dermatomyositis in adult patients[L39970]
"
DB00029,,
DB00029,,"For lysis of acute pulmonary emboli, intracoronary emboli and management of myocardial infarction"
DB00030,,Human insulin is indicated to improve glycemic control in adults and pediatric patients with diabetes mellitus.
DB00031,,
DB00031,,For treatment of myocardial infarction and lysis of intracoronary emboli
DB00032,,For the treatment of female infertility
DB00033,,Interferon gamma-1b is used for the treatment of Chronic granulomatous disease and Osteopetrosis.
DB00034,"Interferon alfa-2 may cause serious adverse effects such as anemia; autoimmune diseases, including vasculitis, arthritis, hemolytic anemia, and erythematosus syndrome; cardiotoxicity; hepatotoxicity; hyperthyroidism or hypothyroidism; transient ischemic attacks; leukopenia; neurotoxicity; peripheral neuropathy; and thrombocytopenia. Some lesser side effects that may not need medical attention include blurred vision, change in taste or metallic taste, cold sores or stomatitis, diarrhea, dizziness, dry mouth, dry skin or itching, flu-like syndrome, increased sweating, leg cramps, loss of appetite, nausea or vomiting, skin rash, unusual tiredness, weight loss, and partial loss of hair.","For the treatment of chronic hepatitis C, hairy cell leukemia, AIDS-related Kaposi's sarcoma, and chronic myelogenous leukemia. Also for the treatment of oral warts arising from HIV infection."
DB00035,"Intravenous TDLo in humans is reported to be 0.3 µg/kg/10M [MSDS]. Desmopressin is associated with hyponatremia in case of overdose, which may require temporary or permanent discontinuation of the therapy depending on severity. The effects of hyponatremia include seizure, altered mental status (confusion, drowsiness or continuing headache), cardiac arrhythmias and worsening edema. Other signs of overdose may include oliguria and rapid weight gain due to fluid retention [FDA Label]. In case of overdose, reduce the dose or frequency of drug administration, or discontinue use if appropriate. Assessment of serum sodium and initiation of appropriate medical treatment is recommended. ","- Indicated for the treatment of nocturia due to nocturnal polyuria in adults who awaken at least 2 times per night to void (intranasal). 

- Indicated as antidiuretic replacement therapy in the management of central cranial diabetes insipidus and for management of the temporary polyuria and polydipsia following head trauma or surgery in the pituitary region (intranasal/parenteral).

- Indicated for patients with hemophilia A with factor VIII coagulant activity levels greater than 5% or mild to moderate classic von Willebrand's Disease (Type I) with factor VIII levels greater than 5% during surgical procedures and postoperatively to maintain hemostasis (parenteral)."
DB00036,,For treatment of hemorrhagic complications in hemophilia A and B.
DB00038,,Indicated for the prevention of severe thrombocytopenia and the reduction of the need for platelet transfusions following myelosuppressive chemotherapy in adult patients with nonmyeloid malignancies who are at high risk of severe thrombocytopenia.[Label]
DB00039,,For treatment of oral mucositis associated with chemotherapy and radiation therapy.
DB00040,"Patients experiencing an overdose may present with nausea, vomiting, inhibition of GI tract motility, increased blood pressure and heart rate, and decreased serum potassium.[L7634,L7637,L7640,L7643] Phentolamine may be given to control blood pressure.[L7634,L7637,L7640,L7643] Treatment of glucagon overdose is largely symptomatic for nausea, vomiting, and hypokalemia.[L7637]

The LD<sub>50</sub> for intravenous glucagon in mice is 300mg/kg and in rats is 38.6mg/kg.[L7637]","Glucagon is indicated as a diagnostic aid in radiologic exams to temporarily inhibit the movement of the gastrointestinal tract and to treat severe hypoglycemia.[L7634,L7637,L7640,L7643,L8519]"
DB00041,,For treatment of adults with metastatic renal cell carcinoma.
DB00042,One unit of Botulinum Toxin Type B corresponds to the calculated median lethal intraperitoneal dose (LD50) in mice.,For the treatment of patients with cervical dystonia to reduce the severity of abnormal head position and neck pain associated with cervical dystonia.
DB00043,"The intravenous LD<sub>50</sub> in monkeys is 200 mg/kg.[L50487]

Maximum tolerated dose of omalizumab has not been determined. Single intravenous doses up to 4000 mg have been administered to patients without evidence of dose-limiting toxicities. The highest cumulative dose administered to patients was 44,000 mg over a 20-week period and this dose did not result in any untoward acute effects. If an overdose is suspected, the patient should be monitored for any abnormal signs or symptoms. Medical treatment should be sought and instituted appropriately.[L50482]","Omalizumab is indicated for:
- the treatment of patients six years of age and older with moderate to severe persistent asthma who have a positive skin test or in vitro reactivity to a perennial aeroallergen and whose symptoms are inadequately controlled with inhaled corticosteroids.[L50477, L50482]
- add-on maintenance treatment of chronic rhinosinusitis with nasal polyps (CRSwNP) in adults with inadequate response to nasal corticosteroids.[L50477, L50482]
- the reduction of allergic reactions (Type I), including anaphylaxis, that may occur with accidental exposure to one or more foods in patients aged one year and older with IgE-mediated food allergy. Omalizumab is to be used in conjunction with food allergen avoidance.[L50477]
- the treatment of adults and adolescents 12 years of age and older with chronic spontaneous urticaria (CSU) who remain symptomatic despite H1 antihistamine treatment.[L50477]"
DB00044,"Lutropin alfa is not indicated for people under 16 and over 60, pregnant and lactating women, patients with uncontrolled thyroid and adrenal failure, patients with active, untreated tumours of the hypothalamus and pituitary gland, and in any patient with a condition that makes a normal pregnancy possible such as primary ovarian failure or fibroid tumors of the uterus. ",For treatment of infertility in women with hypothalamic or pituitary insufficiency (hypogonadotropic hypogonadism) and profound LH deficiency (LH <1.2 international units [IU]/L)
DB00045,,For prophylactic treatment of Lyme Disease
DB00046,"Inappropriately high dosages relative to food intake and/or energy expenditure may result in severe and sometimes prolonged and life-threatening hypoglycemia. Neurogenic (autonomic) signs and symptoms of hypoglycemia include trembling, palpitations, sweating, anxiety, hunger, nausea and tingling. Neuroglycopenic signs and symptoms of hypoglycemia include difficulty concentrating, lethargy/weakness, confusion, drowsiness, vision changes, difficulty speaking, headache, and dizziness. Mild hypoglycemia is characterized by the presence of autonomic symptoms. Moderate hypoglycemia is characterized by the presence of autonomic and neuroglycopenic symptoms. Individuals may become unconscious in severe cases of hypoglycemia. Rare cases of lipoatrophy or lipohypertrophy reactions have been observed. 

Excess insulin administration may cause hypoglycemia and hypokalemia. Mild episodes of hypoglycemia usually can be treated with oral glucose. Adjustments in drug dosage, meal patterns, or exercise may be needed. More severe episodes with coma, seizure, or neurologic impairment may be treated with a glucagon product for emergency use or concentrated intravenous glucose. Sustained carbohydrate intake and observation may be necessary because hypoglycemia may recur after apparent clinical recovery. Hypokalemia must be corrected appropriately.[L47616] 

Patients with renal or hepatic impairment may be at increased risk of hypoglycemia and may require more frequent insulin lispro dose adjustment and more frequent blood glucose monitoring.[L47616]  

Standard 2-year carcinogenicity studies in animals have not been performed. In Fischer 344 rats, a 12-month repeat-dose toxicity study was conducted with insulin lispro at subcutaneous doses of 20 and 200 units/kg/day (approximately 3 and 32 times the human subcutaneous dose of 1 unit/kg/day, based on units/body surface area). Insulin lispro did not produce important target organ toxicity including mammary tumors at any dose.[L47616] 

Insulin lispro was not mutagenic in the following genetic toxicity assays: bacterial mutation, unscheduled DNA synthesis, mouse lymphoma, chromosomal aberration and micronucleus assays.[L47616] 

Male fertility was not compromised when male rats given subcutaneous insulin lispro injections of 5 and 20 units/kg/day (0.8 and 3 times the human subcutaneous dose of 1 unit/kg/day, based on units/body surface area) for 6 months were mated with untreated female rats. In a combined fertility, perinatal, and postnatal study in male and female rats given 1, 5, and 20 units/kg/day subcutaneously (0.2, 0.8, and 3 times the human subcutaneous dose of 1 unit/kg/day, based on units/body surface area), mating and fertility were not adversely affected in either gender at any dose.[L47616]",Insulin lispro is indicated to improve glycemic control in adult and pediatric patients with diabetes mellitus.[L47616]
DB00047,"Inappropriately high dosages relative to food intake and/or energy expenditure may result in severe and sometimes prolonged and life-threatening hypoglycemia. Neurogenic (autonomic) signs and symptoms of hypoglycemia include trembling, palpitations, sweating, anxiety, hunger, nausea and tingling. Neuroglycopenic signs and symptoms of hypoglycemia include difficulty concentrating, lethargy/weakness, confusion, drowsiness, vision changes, difficulty speaking, headache, and dizziness. Mild hypoglycemia is characterized by the presence of autonomic symptoms. Moderate hypoglycemia is characterized by the presence of autonomic and neuroglycopenic symptoms. Individuals may become unconscious in severe cases of hypoglycemia. Other adverse events that may occur include allergic reaction, injection site reaction, lipodystrophy, pruritis, and rash.","Insulin glargine is indicated to improve glycemic control in adults and pediatric patients with type 1 diabetes mellitus and in adults with type 2 diabetes mellitus.[L12474,L43532,L43587]"
DB00048,"No clinical reaction has been attributed to an overdose of collagenase in clinical trials.[L14912] If required, the collagenase enzymes can be inactivated with a povidone-iodine wash.[L14912]","Collagenase clostridium histolyticum is indicated for the treatment of adults with Dupuytren's contracture with a palpable cord. Additionally, it is used to treat men with Peyronie's disease diagnosed with a penile curvature deformity of at least a 30-degree angle at the beginning of therapy in addition to palpable plaques.[L14882] Collagenase ointment is used for the tissue debridement of chronic dermal ulcers and severely burned tissues.[L14952]
The combination collagenase product, also known as Qwo, is used for the treatment of moderate to severe cellulite in the buttocks of adult women.[L14872]"
DB00049,,"For treatment of hyperuricemia, reduces elevated plasma uric acid levels (from chemotherapy)"
DB00050,,For the inhibition of premature LH surges in women undergoing controlled ovarian stimulation
