food_interaction_id,food_interaction
F018,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Individuals taking these herbs/supplements while taking ibritumomab tiuxetan should be monitored for thrombocytopenia more frequently. Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba."
F019,Take with fluids.
F020,"Take with food. If swallowing the oral capsule is not tolerated, sprinkle on acidic soft foods with a pH of 4 or less."
F021,Avoid grapefruit products.
F022,Avoid potassium-containing products. Taking products that increase serum potassium may increase the risk of hyperkalemia.
F023,Avoid St. John's Wort.
F024,Take at the same time every day. Take consistently with regard to food.
F025,Take on an empty stomach. The oral capsules should be taken on an empty stomach. Food reduces oral octreotide absorption by 90%.
F026,Take with or without food. Octreotide injections may be taken with or without food.
F027,Take with or without food. Recommendations vary from product to product - consult individual product monographs for additional information.
F028,"Avoid dietary avidin (a glycoprotein in uncooked egg-whites). Avidin binds with biotin in the gastrointestinal tract preventing biotin absorption. Avidin is denatured by cooking; therefore, cooked egg whites do not reduce biotin absorption."
F029,"Avoid multivalent ions. Do not infuse with elemental compounds that can be reduced, such as copper."
F030,"Take with food. Endari (L-glutamine) oral powder should be mixed with 8oz of water or 4-6 oz of food at room temperature or colder, then consumed."
F031,Take with food.
F032,Take with foods containing vitamin C. Taking lutein with vitamin C may increase the rate of absorption of lutein. Taking lutein with carotenoids or naringenin may reduce lutein absorption.
F033,"Take with or without food. A high-fat, high-calorie meal may increase the AUC and Cmax of calcifediol by up to 3.5 and 5 fold, respectively."
F034,Take with or without food. High-fat foods may increase absorption of Vitamin E.
F035,Take with or without food. Lipid lowering effects are similar in the fasting and fed state.
F036,Limit caffeine intake.
F037,Take with or without food. The absorption is unaffected by food.
F038,"Take with or without food. Co-administration with food slightly alters pharmacokinetics, but not to a clinically significant extent."
F039,Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.
F040,Take with food. Take with food or milk to reduce gastric irritation.
F041,Take with or without food.
F042,"Take separate from meals. For nicotine gum, lozenges, and oral sprays, avoid eating and drinking for 15 minutes before and during its use."
F043,"Avoid St. John's Wort. This herb induces CYP3A4 metabolism, which may reduce the serum concentration of bortezomib."
F044,"Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of bortezomib."
F045,"Limit foods and supplements high in flavonoids. Flavonoids may interfere with the therapeutic action of this drug. Foods high in flavonoids include green vegetables, fruits, and green tea."
F046,Limit foods and supplements high in vitamin C. Vitamin C may interfere with the therapeutic action of this drug. Foods high in vitamin C include citrus fruits and beverages.
F047,Take with food. Food reduces irritation.
F048,Avoid alcohol. Co-administration of alcohol may potentiate the CNS effects of tramadol.
F049,Take with or without food. Co-administration of food does not affect pharmacokinetics.
F050,No food interactions are expected.
F051,Take with or without food. Co-administration with food does not affect pharmacokinetics but may enhance tolerability.
F052,"Take on an empty stomach. Allow approximately 30 minutes to 2 hours before meals, as this increases erythromycin absorption."
F053,Take with a full glass of water.
F054,Take with or without food. If taken with a high-fat meal the medicine may take a little longer to start working.
F055,"Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of dofetilide."
F056,"Exercise caution with St. John's Wort. Dofetilide is partially metabolized by CYP3A4, and St. John's Wort is a CYP3A4 inducer, coadministration may reduce dofetilide serum levels."
F057,Administer folic acid supplement. Folic acid need is increased.
F058,Take on an empty stomach. Take at least 1 hour before or 2 hours after meals.
F059,Take with a high fat meal. High fat meals will increase ticlopidine absorption.
F060,Take with food. Food can help ticlopidine-induced stomach upset.
F061,Take on an empty stomach. Take at least 1 hour before food as the Cmax and AUC of trospium are reduced by 70-80% when taken with a high fat meal.
F062,Take with or without food. Food delays the Cmax by 30 minutes but does not impact efficacy.
F063,Avoid St. John's Wort. Co-administration of St. John's Wort with citalopram can increase the risk of serotonin syndrome.
F064,"Take with or without food. High-fat meals increase exposure, but not to a clinically relevant extent."
F065,Take with food. Food increases exposure and decreases pharmacokinetic variability.
F066,Avoid alcohol. Acute and chronic alcohol intake may unpredictably affect the glucose-lowering action of glimepiride.
F067,Take with food. The manufacturer recommends administration with the first meal of the day.
F068,Avoid excessive or chronic alcohol consumption.
F069,Avoid grapefruit products. Grapefruit products may increase the risk for lovastatin related adverse effects such as myopathy and rhabdomyolysis.
F070,Take with food. Food increases bioavailability.
F071,Avoid alcohol. Alcohol may increase CNS effects.
F072,"Take with or without food. Food alters drug absorption, but not to a clinically significant extent."
F073,Avoid alcohol. Concomitant use of alcohol and barbiturates may lead to increased.
F074,Avoid alcohol. Profound CNS depression can occur.
F075,"Take with or without food. When taken with oral tablets of cladribine, food decreases Cmax and prolongs Tmax, but not to a clinically significant extent."
F076,"Exercise caution with grapefruit products. Cabergoline is partially metabolized through the CYP3A4 pathway. Therefore coadministration with grapefruit, a CYP3A4 inhibitor, may increase its serum concentration."
F077,"Exercise caution with St. John's Wort. Cabergoline is partially metabolized through the CYP3A4 pathway. Therefore coadministration with St. John's Wort, a CYP3A4 inducer, may reduce its serum concentration."
F078,Take with or without food. Taking cabergoline with food may reduce gastric irritation.
F079,Avoid alcohol. Alcohol may increase or decrease serum levels of phenytoin.
F080,Take separate from antacids. Take at least 2 hours before or after antacids. Taking this medication with antacids can reduce absorption.
F081,Take with food. Food reduces irritation and increases bioavailability.
F082,"Avoid multivalent ions. The absorption of tetracyclines is reduced when taken with foods, especially those which contain calcium."
F083,"Take with or without food. The absorption of tetracyclines is reduced when taken with foods, but not to a significant extent. If gastric irritation occurs, it is recommended that doxycycline be given with food or milk."
F084,"Take with food. When taken with food, calcium acetate forms an insoluble complex with the phosphorus from food, reducing phosphorus serum concentrations."
F085,"Do not take with or immediately after a high-fat meal. High-fat meals may reduce the rate of absorption; however, the impact on the extent of absorption is unknown."
F086,Avoid natural licorice.
F087,"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include ginseng, ginkgo, ginger, and garlic."
F088,Take with or without food. May take with food to reduce nausea.
F089,Avoid a ketogenic diet. This type of diet increases the risk of kidney stones.
F090,Take with or without food. Food slightly alters absorption but not to any clinically significant extent.
F091,Take with or without food. Food does not affect absorption.
F092,"Avoid excessive or chronic alcohol consumption. Ingesting alcohol may reduce the clearance, and therefore increase the serum concentrations of theophylline."
F093,Take with or without food. Take consistently with regard to food.
F094,"Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of argatroban; however, the evidence is conflicting."
F095,Exercise caution with St. John's Wort.
F096,Take with food. Each dose should be taken with the first bite of a main meal.
F097,"Avoid alcohol. The safety of using venlafaxine with other CNS-active drugs, including alcohol, has not been evaluated."
F098,Avoid St. John's Wort. Co-administration of St. John's Wort may lead to additive serotonergic activity and an increased risk of serotonin syndrome.
F099,Take with food. Co-administration with food helps to alleviate or mitigate gastrointestinal upset.
F100,Take with or without food. Consult individual product monograph for specific instructions.
F101,"Avoid echinacea. Echinacea should be used with caution, if at all, in patients receiving therapeutic immunosuppressants. Monitor for reduced efficacy of the immunosuppressant during concomitant use."
F102,Take on an empty stomach. Co-administration with food decreases bioavailability.
F103,Administer vitamin supplements.
F104,Take at the same time every day.
F105,"Avoid alcohol. Concomitant use may lead to profound sedation, respiratory depression, coma, and death."
F106,Take with or without food. There is no significant different in the AUC or Cmax of oral extended release tablets when taken with or without food.
F107,Take on an empty stomach.
F108,Take with or without food. The co-administration of food does not significantly affect tranexamic acid disposition.
F109,"Exercise caution with grapefruit products. Vindesine is metabolized by CYP3A4, and grapefruit inhibits CYP3A4 metabolism, which may increase vindesine serum levels."
F110,"Exercise caution with St. John's Wort. Vindesine is metabolized by CYP3A4 and this herb induces CYP3A4 metabolism, which may reduce vindesine serum levels."
F111,Take with food. Food may increase bioavailability.
F112,Avoid milk and dairy products.
F113,Take with or without food. Food does not significantly impact the oral bioavalibility of zolmitriptan.
F114,Avoid alcohol. Alcohol may increase the risk of hepatotoxicity.
F115,"Exercise caution with grapefruit products. Grapefruit is an inhibitor of CYP3A4, the enzyme primarily responsible for metabolizing gefitinib. Coadministration with grapefruit products may decrease gefitinib metabolism and increase plasma concentrations."
F116,"Avoid grapefruit products. Grapefruit inhibits the metabolism of dihydroergotamine through the CYP3A4 pathway and, therefore, may increase serum levels of dihydroergotamine. Use caution if co-administering."
F117,Take with or without food. There is a 10-20% reduction in oral bioavailability when food is given 1 hour before and 2 hours after tolcapone.
F118,Take with or without food. Food does not significantly affect absorption.
F119,Avoid alcohol. Ingestion of alcohol can increase the risk of GI bleeding.
F120,"Take with or without food. Food has no effect on drug absorption. However, food may decrease the extent of gastrointestinal irritation caused by indomethacin."
F121,Take separate from antacids. Do not take aluminum hydroxide containing antacids for at least 4 hours after ethambutol administration.
F122,Avoid alcohol. Alcohol may potentiate CNS adverse effects and orthostatic hypotension.
F123,Take with or without food. The absorption of olanzapine is unaffected by food.
F124,Take before a meal. Allow 30-60 minutes before a meal.
F125,"Exercise caution with grapefruit products. Grapefruit is a CYP3A4 inhibitor, and terfenadine is metabolized by CYP3A4. Co-administration may increase terfenadine concentrations and the risk of QT prolongation."
F126,Exercise caution with St. John's Wort. This herb induces CYP3A4 and terfenadine is a substrate of CYP3A4.
F127,Avoid natural licorice. The risk of cardiovascular adverse effects may be increased.
F128,Take after a meal. Take alfuzosin after the same meal everyday. Do not take on an empty stomach.
F129,Avoid alcohol. The combination of alcohol with trimethadione may make you sleepy or dizzy.
F130,Limit the intake of phenylalanine and tyrosine.
F131,Take separate from meals. Nitisinone capsules should be separated by one hour before or two hours after meals.
F132,Take with or without food. Nitisinone tablets can be taken with or without food but food may prolong the Tmax by six hours.
F133,Avoid alcohol. Alcohol increases clobazam absorption by 50%.
F134,"Take with or without food. However, food intake may lower tioguanine serum levels."
F135,"Avoid grapefruit products. Grapefruit inhibits the metabolism of methylergometrine through the CYP3A4 pathway and, therefore, may increase serum levels of methylergometrine. Use caution if co-administering."
F136,"Take with food. The presence of food significantly enhances the rate and extent of absorption, leading to about a 40% increase in bioavailability."
F137,"Take with food. Taking sapropterin with food increases oral absorption. Sapropterin may be dissolved in water, juice, or dispersed in applesauce."
F138,Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4 metabolism and may increase the serum levels of vinorelbine.
F139,Exercise caution with St. John's Wort. This herb induces CYP3A4 metabolism and may reduce the serum levels of vinorelbine.
F140,Avoid alcohol. Alcohol is a predisposing risk factor for seizure in combination with clozapine.
F141,Exercise caution with St. John's Wort. This herb induces both CYP3A4 and CYP1A2 metabolism and may reduce clozapine serum levels.
F142,Limit caffeine intake. Caffeine may reduce clozapine metabolism.
F143,Take separate from antacids. Take at least 30 minutes before or after antacids.
F144,Avoid caffeine.
F145,Avoid alcohol. Co-administration may increase drowsiness and fall risk.
F146,Take with or without food. The effect of food on absorption has not been evaluated.
F147,Avoid excessive or chronic alcohol consumption. Additive CNS depression may occur if alcohol is consumed with thiethylperazine.
F148,Take with food. Taking treprostinil with food increases oral absorption.
F149,Drink plenty of fluids. The tablet and granule formulations must be taken with plenty of water or other fluids.
F150,Take with or without food. Taking with food may minimize stomach upset. May take before meals to mitigate dry mouth or may take after meals to reduce excess salivation.
F151,Take on an empty stomach. Take tacrine at least one hour before meals for optimal absorption.
F152,Avoid potassium-containing products. The risk of hyperkalemia can be increased with the intake of potassium supplementation or potassium-rich foods.
F153,Take with or without food. Taking with food may reduce the adverse effects of procyclidine.
F154,Avoid multivalent ions. Calcium and aluminum containing products (including kaolin-pectin) may interfere with absorption) and digoxin administration must be separated by several hours.
F155,Avoid potassium-containing products. They may cause arrhythmias when given with digoxin.
F156,Avoid St. John's Wort. This drug can decrease digoxin levels.
F157,Do not take with bran and high fiber foods. Separate administration of bran and high fiber foods from medication by at least 2 hours.
F158,Avoid alcohol. Alcohol enhances the sedative effects of sulpiride.
F159,Take with or without food. Take consistently at the same time in regard to meals.
F160,"Do not take with or immediately after a high-fat meal. Take sorafenib at least 1 hour before or 2 hours after a high-fat meal, as sorafenib absorption can be reduced by a high-fat meal."
F161,"Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum levels of sorafenib."
F162,"Exercise caution with St. John's Wort. This herb induces CYP3A4 metabolism, which may reduce serum levels of sorafenib."
F163,Take on an empty stomach. Take sorafenib at least one hour before or two hours after a meal.
F164,Take with a high fat meal.
F165,Do not take with or immediately after a high-fat meal. This decreases the absorption of eszopiclone.
F166,Avoid alcohol. Alcohol may potentiate the CNS depressant effects of this drug.
F167,"Take with or without food. Food increases the Cmax of extended release alprazolam by 25%, but the AUC and half life are not affected."
F168,Avoid alcohol. Taking with alcohol may increase drowsiness.
F169,Take with or without food. Food decreases the risk of GI side effects.
F170,Take on an empty stomach. Absorption is increased 1 hour before or 2 hours after food.
F171,Avoid alcohol. Taking with alcohol may cause additive CNS depression.
F172,Take on an empty stomach. This may increase the rate of absorption.
F173,Avoid alcohol. Additive CNS depression may occur if alcohol is consumed.
F174,Avoid antacids. The absorption of promazine may be reduced by antacid use.
F175,Take with or without food. Food increases the bioavailability of spironolactone by approximately 95.4%. It should be taken at a consistent time in regards to food.
F176,"Avoid alcohol. Co-administration with alcohol may cause a ""dose-dumping"" effect with some extended-release formulations of methylphenidate. It may also potentiate the CNS effects of methylphenidate."
F177,Take with or without food. Patients may take methylphenidate with food to alleviate GI upset.
F178,Take before a meal. Take 30-60 minutes before a meal.
F179,Take separate from antacids. Take oral hyoscyamine before meals and antacids after meals.
F180,Take separate from meals. This drug should not be administered with or immediately after a meal.
F181,Avoid alcohol. The drug may intensify or prolong the action of central nervous system depressants.
F182,Avoid alcohol. Co-administration with alcohol may potentiate the sedative effects of cyproheptadine.
F183,Take on an empty stomach. Take 2 hours before or 2 hours after a meal.
F184,"Exercise caution with grapefruit products. Teniposide is a CYP3A4 substrate, and grapefruit inhibits CYP3A4 metabolism, coadministration may increase the serum concentrations of teniposide."
F185,"Exercise caution with St. John's Wort. Teniposide is a CYP3A4 substrate, and St. John's Wort induces CYP3A4 metabolism, coadministration may reduce the serum concentrations of teniposide."
F186,Drink plenty of fluids. Increased fluid intake increases urine output and the excretion of uric acid.
F187,Take on an empty stomach. Food decreases absorption.
F188,Take before a meal. Take 30-60 minutes before meals.
F189,Avoid calcium supplements/calcium rich foods. Calcium may interfere with the absorption of this drug by forming an insoluble complex. Separate medication administration by at least 4 hours.
F190,Avoid grapefruit products. Grapefruit may delay the absorption of this medication.
F191,Avoid iron supplements. Iron may interfere with the absorption of this drug by forming an insoluble complex. Separate medication administration by at least 4 hours.
F192,"Avoid multivalent ions. Examples include iron, magnesium, and calcium. These are often found in antacids, vitamins, and supplements - separate medication administration by at least 4 hours."
F193,"Do not take with bran and high fiber foods. Dietary fiber, soybean flour, cottonseed meal, and walnuts may reduce the absorption of levothyroxine."
F194,Take on an empty stomach. Levothyroxine should be taken on an empty stomach 30-60 minutes prior to the first meal of the day.
F195,Do not take with bran and high fiber foods.
F196,Avoid alcohol. Women of childbearing age should avoid ingesting any alcohol during treatment and two months after discontinuation of acitretin. Alcohol intake increases the duration of risk for birth defects to beyond three years post acitretin discontinuation.
F197,Take with food. Taking acitretin with the main meal of the day improves oral absorption.
F198,Avoid alcohol. Alcohol use may aggravate the gastrointestinal irritation caused by this drug.
F199,Take with food. Food increases the rate of absorption.
F200,Take before a meal. Take methscopolamine bromide 30 minutes before meals and at bedtime for optimal therapeutic effect.
F201,Take with food. Food reduces GI irritation.
F202,Take with food. Food may minimize stomach upset caused by tenoxicam.
F203,"Avoid alcohol. Patients with a history of substance abuse or dependence, including marijuana or alcohol, may be more likely to abuse SYNDROS as well."
F204,"Take before a meal. Because food delays the absorption of SYNDROS, administer the first dose on an empty stomach at least 30 minutes before eating."
F205,Avoid alcohol. Alcohol intake may cause additive CNS depressant effects.
F206,Avoid excessive or chronic alcohol consumption. Alcohol increases the risk of liver toxicity.
F207,Take with or without food. Do not sprinkle the contents of the capsules on food/liquids.
F208,Take at the same time every day. Skip the missed dose if it has been more than 12 hours since your regular time.
F209,"Take with or without food. High-fat meals decrease absorption, but not to a clinically significant extent."
F210,Avoid excessive or chronic alcohol consumption. Excessive and chronic alcohol consumption may be associated with vitamin D deficiency.
F211,Avoid alcohol. Alcohol increases the risk of gastrointestinal irritation.
F212,Avoid multivalent ions. Separate the administration of aluminum and magnesium containing drugs by several hours.
F213,"Take with or without food. Doses up to 200 mg can be taken without regard to food, but doses of 400mg or higher should be taken with food."
F214,Avoid alcohol. Alcohol intake may potentially lead to additive CNS depressant effects.
F215,Take on an empty stomach. Food decreases bioavailability.
F216,Take after a meal. Take altretamine after meals and at bedtime.
F217,Take with or without food. Oral sotalol with a meal reduces absorption by 20%.
F218,Avoid alcohol. Alcohol may cause additive CNS depressant effects.
F219,Avoid grapefruit products. Grapefruit increases the plasma concentrations of the drug.
F220,Take at the same time every day. Take consistently at the same time in regard to meals.
F221,Take with or without food. Take drug always with or always without food in a consistent manner.
F222,Take with food. Take at the beginning of a meal.
F223,"Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice)."
F224,Limit salt intake. Salt may attenuate the antihypertensive effect.
F225,Take separate from antacids. Take at least 2 hours before or after antacids. Taking this medication with antacids can reduce absorption.Taking this medication with antacids can reduce absorption.
F226,Take with or without food. The administration of zidovudine with food causes a 28% reduction in the Cmax but does not affect the AUC.
F227,"Avoid alcohol. Ingesting alcohol may increase the risk of developing an ulcer, or gastrointestinal bleed."
F228,"Take with or without food. Food (or milk) can decrease oral bioavailability by 16%. Tolmetin may be taken with food to reduce gastrointestinal upset, but it may reduce tolmetin serum levels by 50%."
F229,"Take with food. Food increases bioavailability. For prophylaxis of gastric symptoms, take cimetidine 30-60 minutes prior to food administration."
F230,Avoid alcohol. Alcohol may potential hypotension and CNS adverse effects.
F231,Avoid St. John's Wort. Co-administration may reduce serum concentrations of ritonavir and interfere with virologic efficacy.
F232,Take with food. Food improves oral bioavailability.
F233,Take with a high fat meal. A high fat meal increases solubility and absorption. Take with food when treating systemic infections.
F234,Take with food. Food increases the bioavailability of alitretinoin capsules.
F235,"Avoid alcohol. Alcohol may increase the vasodilatory effects of lercanidipine, which may lead to hypotension."
F236,"Avoid grapefruit products. Grapefruit inhibits the metabolism of lercanidipine through CYP3A4, which causes increased serum levels of lercanidipine, and may increase the risk of hypotension."
F237,"Exercise caution with St. John's Wort. Lercanidipine is metabolized by CYP3A4, and St. John's Wort is a CYP3A4 inducer."
F238,"Take on an empty stomach. Taking lercanidipine after meals increases its bioavailability, therefore lercanidipine should be taken least 15 minutes before meals."
F239,"Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of erlotinib."
F240,"Exercise caution with St. John's Wort. This herb induces CYP3A4 metabolism, which may reduce the serum concentration of erlotinib."
F241,"Take on an empty stomach. Food increases erlotinib bioavailability, therefore administer at least 1 hour before or 2 hours after meals."
F242,Drink plenty of fluids. Drink 2 to 3 liters of fluids a day.
F243,"Take separate from antacids. Taking rofecoxib with antacids can reduce the AUC and Cmax of rofecoxib, therefore consider separating their administration for optimal efficacy."
F244,"Take with or without food. The AUC and Cmax of rofecoxib tablets are not impacted by administration with food, however, the Tmax may be delayed. The food effect on the absorption of rofecoxib suspension formulation has not been studied according to the official product labeling."
F245,"Avoid multivalent ions. Do not take aluminum, magnesium, or iron containing products up to 2 hours before or after this medication."
F246,Avoid milk and dairy products. Dairy products and calcium fortified juices decrease the absorption of ciprofloxacin.
F247,Take with or without food. The absorption is not significantly affected by food.
F248,"Avoid grapefruit products. Grapefruit inhibits CYP3A4 and therefore, may elevate toremifene serum levels."
F249,Take with or without food. Food decreases gastrointestinal irritation.
F250,"Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of vincristine."
F251,"Exercise caution with St. John's Wort. This herb induces CYP3A4 metabolism, which may reduce serum levels of vincristine."
F252,Take with or without food. Food slows the rate of absorption but not the extent.
F253,Take with food. Food decreases irritation.
F254,"Avoid alcohol. Alcohol may cause flushing; therefore, it may worsen rosacea."
F255,"Take with or without food. Food and drink, which have a high temperature or are spicy, may exacerbate flushing and rosacea, avoid if possible."
F256,Avoid alcohol. Concomitant use of acetohydroxamic acid with alcohol may cause a rash.
F257,"Avoid iron supplements. Acetohydroxamic acid chelates iron, therefore oral supplementation of iron will reduce levels of both iron and acetohydroxamic acid."
F258,Take with food. Take this medication with food or milk.
F259,Avoid alcohol. Co-administration with alcohol may potentiate the CNS adverse effects of hydroxyzine.
F260,Avoid grapefruit products. Co-administration with grapefruit inhibits hydroxyzine metabolism and can result in elevated serum concentrations.
F261,Avoid milk and dairy products. Milk and dairy products reduce absorption.
F262,Limit caffeine intake. Caffeine may reduce the effectiveness of methotrexate.
F263,Avoid alcohol. Ingesting alcohol may increase drowsiness and dizziness.
F264,Exercise caution with St. John's Wort. This herb induces the CYP3A metabolism of carbamazepine and may reduce its serum concentration.
F265,"Take with or without food. Capsules may be opened, and contents sprinkled on soft food for individuals with difficulty swallowing."
F266,"Avoid grapefruit products. Grapefruit inhibits CYP3A metabolism, which may increase the serum concentration of vinblastine."
F267,"Exercise caution with St. John's Wort. This herb induces CYP3A metabolism, which may reduce serum levels of vinblastine."
F268,Avoid alcohol. Alcohol increases propranolol plasma concentrations.
F269,"Avoid natural licorice. Natural licorice inhibits the metabolism of propranolol, increasing drug exposure."
F270,Take separate from meals. Take Urobiotic at least 1 hour before or 2 hours after eating.
F271,Take with or without food. Preferably take 1 hour before a meal. Taking with food may reduce GI disturbance.
F272,Avoid alcohol. Ingesting alcohol may increase the risk of gastrointestinal bleeding.
F273,Drink plenty of fluids. This drug may cause fluid loss.
F274,Take separate from meals. Take voriconazole at least one hour before or after eating for optimal absorption.
F275,"Take with food. Taking levocarnitine oral solution with meals may reduce gastrointestinal upset such as nausea, vomiting, and cramping."
F276,"Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice). Additive hypertensive effects may occur."
F277,"Avoid excessive or chronic alcohol consumption. Co-administration with alcohol may increase the risk of gastrointestinal side effects, such as ulceration."
F278,Take with food. Food reduces gastric irritation.
F279,Avoid drastic dietary changes.
F280,Avoid potassium-containing products.
F281,Avoid milk and dairy products. Take at least 1 hour before or two hours after consuming dairy products.
F282,Take separate from meals. Take at least one hour before or two hours after a meal.
F283,Avoid alcohol. Additive CNS depression may occur if alcohol is consumed with thiopental.
F284,"Avoid tyramine-containing foods and supplements. Avoid food containing high amounts of tyramine (>100mg). Tyramine-containing foods include cheese, red wine, fava beans, pickled foods, cured foods, and alcoholic beverages."
F285,Take with or without food. Co-administration with food does not significantly alter the pharmacokinetics of linezolid.
F286,Take on an empty stomach. Oral ivermectin should be taken on an empty stomach with a glass of water.
F287,Avoid St. John's Wort. St. John's Wort may decrease the effectiveness of medroxyprogesterone acetate.
F288,Take with food. Food increases the bioavailability of medroxyprogesterone acetate.
F289,Take before a meal. Take at least 15 minutes before meals.
F290,Take on an empty stomach. Food may make the absorption of oral nafcillin unpredictable.
F291,Take with or without food. Taking Ethionamide with food may reduce gastrointestinal upset.
F292,"Take with or without food. For those patients with propensity to nausea, vomiting, or other gastrointestinal upset, taking with food may be useful."
F293,Avoid multivalent ions.
F294,"Avoid grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which can increase serum levels of imatinib."
F295,"Exercise caution with St. John's Wort. This herb induces CYP3A4 metabolism, which may reduce the serum concentration of imatinib."
F296,Take with a full glass of water. Taking imatinib with water may reduce gastric irritation.
F297,Avoid excessive or chronic alcohol consumption. Alcohol may contribute to additive adverse effects when taken with efavirenz.
F298,"Take on an empty stomach. Taking efavirenz with food increases efavirenz concentrations and may increase the frequency of adverse reactions. In patients who cannot swallow capsules, the capsule contents can be administered with a small amount of food or infant formula using the capsule sprinkle method of administration."
F299,Avoid alcohol. Alcohol increases the chance of flushing and pruritus.
F300,Take with food. Food reduces gastrointestinal upset and irritation.
F301,Avoid alcohol. The concomitant use of clorazepate and alcohol may lead to an increased frequency of serious adverse outcomes.
F302,Administer vitamin supplements. Patients may require supplemental vitamin D.
F303,"Avoid multivalent ions. Calcium, antacids, and divalent ions may interfere with the absorption of this medication."
F304,Take before a meal. Take 30-60 minutes before breakfast.
F305,Take with food. Food decreases the risk of GI side effects.
F306,Avoid caffeine. Caffeine may antagonise the activity of adenosine.
F307,Avoid grapefruit products. Co-administration with grapefruit products may increase the risk for adverse effects such as myalgia.
F308,Administer folic acid supplement. Folic acid supplement of 400 to 1000 mcg daily should be given 7 days before treatment with pemetrexed and continued until 21 days after discontinuation of pemetrexed to reduce the risk of hematologic and gastrointestinal toxicities.
F309,Administer vitamin supplements. Administration of vitamin B12 intramuscular supplement one week before treatment with pemetrexed and every three cycles will reduce the risk of hematological and gastrointestinal toxicities.
F310,"Take separate from meals. Using Dyclonine in the mouth or for relief of ulcers in the stomach may cause numbness of the mouth, which increases the risk of biting injury. Avoid ingesting food for 60 minutes after use, or until the numbness has subsided."
F311,Take with food. The timing of mitotane administration relative to food intake should remain consistent. Co-administration with high-fat food enhances absorption.
F312,Avoid alcohol. Ingesting alcohol while taking stavudine may increase the risk of liver damage and pancreatitis.
F313,Avoid alcohol. Ingesting alcohol may increase serum concentrations of estradiol.
F314,"Avoid grapefruit products. Grapefruit inhibits CYP3A4 and therefore, may increase estrone concentrations, potentially increasing its adverse effects."
F315,Avoid St. John's Wort. The risk of serotonin syndrome may be increased.
F316,Take after a meal. Should be taken shortly after a light meal or snack.
F317,Avoid excessive or chronic alcohol consumption. The ingestion of alcohol may potentiate the actions of mecamylamine.
