parent_drugbank_id,salt_drugbank_id,salt_name
DB00318,DBSALT001068,Codeine hydrochloride
DB00318,DBSALT001844,Codeine monohydrate
DB00318,DBSALT000030,Codeine phosphate
DB00318,DBSALT001592,Codeine phosphate hemihydrate
DB00318,DBSALT001843,Codeine sulfate
DB00318,DBSALT000031,Codeine sulfate anhydrous
DB00319,DBSALT001067,Piperacillin sodium
DB00320,DBSALT000997,Dihydroergotamine mesylate
DB00320,DBSALT001066,Dihydroergotamine tartrate
DB00321,DBSALT000009,Amitriptyline hydrochloride
DB00321,DBSALT001193,Amitriptyline pamoate
DB00324,DBSALT001065,Fluorometholone acetate
DB00325,DBSALT000839,Sodium nitroprusside
DB00327,DBSALT000444,Hydromorphone hydrochloride
DB00327,DBSALT002251,Hydromorphone sulfate
DB00328,DBSALT001435,Indomethacin sodium
DB00330,DBSALT000446,Ethambutol hydrochloride
DB00331,DBSALT000114,Metformin hydrochloride
DB00332,DBSALT002739,Ipratropium bromide anhydrous
DB00332,DBSALT000208,Ipratropium bromide monohydrate
DB00332,DBSALT002732,Ipratropium chloride
DB00333,DBSALT000346,Methadone hydrochloride
DB00334,DBSALT002315,Olanzapine hydrochloride
DB00334,DBSALT001064,Olanzapine pamoate
DB00334,DBSALT002314,Olanzapine tartrate
DB00338,DBSALT000131,Omeprazole magnesium
DB00338,DBSALT000857,Omeprazole sodium
DB00340,DBSALT000602,Metixene hydrochloride
DB00341,DBSALT001214,Cetirizine hydrochloride
DB00343,DBSALT000865,Diltiazem hydrochloride
DB00343,DBSALT001394,Diltiazem malate
DB00343,DBSALT002322,Diltiazem maleate
DB00344,DBSALT001192,Protriptyline hydrochloride
DB00345,DBSALT000352,Aminohippurate sodium
DB00346,DBSALT001063,Alfuzosin hydrochloride
DB00350,DBSALT002918,Minoxidil sulfate
DB00352,DBSALT003575,Thioguanine hemihydrate
DB00353,DBSALT001025,Methylergometrine maleate
DB00353,DBSALT001062,Methylergometrine tartrate
DB00354,DBSALT000197,Buclizine hydrochloride
DB00355,DBSALT001061,Aztreonam lysine
DB00358,DBSALT000311,Mefloquine hydrochloride
DB00359,DBSALT001400,Sulfadiazine sodium
DB00360,DBSALT001133,Sapropterin dihydrochloride
DB00361,DBSALT000447,Vinorelbine tartrate
DB00363,DBSALT002286,Clozapine hydrochloride
DB00365,DBSALT000913,Grepafloxacin hydrochloride
DB00366,DBSALT001402,Doxylamine succinate
DB00368,DBSALT001247,Norepinephrine bitartrate
DB00369,DBSALT001827,Cidofovir dihydrate
DB00370,DBSALT003101,Mirtazapine hemihydrate
DB00370,DBSALT002298,Mirtazapine hydrochloride
DB00372,DBSALT001328,Thiethylperazine malate
DB00372,DBSALT001059,Thiethylperazine maleate
DB00373,DBSALT000990,Timolol hemihydrate
DB00373,DBSALT000989,Timolol maleate
DB00374,DBSALT001333,Treprostinil diolamine
DB00374,DBSALT002321,Treprostinil sodium
DB00375,DBSALT001058,Colestipol hydrochloride
DB00376,DBSALT000448,Trihexyphenidyl hydrochloride
DB00377,DBSALT001057,Palonosetron hydrochloride
DB00379,DBSALT000449,Mexiletine hydrochloride
DB00380,DBSALT001028,Dexrazoxane hydrochloride
DB00381,DBSALT003478,Amlodipine benzoate
DB00381,DBSALT001054,Amlodipine besylate
DB00381,DBSALT002979,Amlodipine camsylate
DB00381,DBSALT001056,Amlodipine maleate
DB00381,DBSALT001964,Amlodipine mesylate
DB00381,DBSALT002978,Amlodipine mesylate monohydrate
DB00382,DBSALT001053,Tacrine Hydrochloride
DB00383,DBSALT000812,Oxyphencyclimine hydrochloride
DB00387,DBSALT001008,Procyclidine hydrochloride
DB00388,DBSALT001320,Phenylephrine bitartrate
DB00388,DBSALT000858,Phenylephrine hydrochloride
DB00388,DBSALT001555,Phenylephrine tannate
DB00392,DBSALT000813,Ethopropazine hydrochloride
DB00394,DBSALT001373,Beclomethasone dipropionate monohydrate
DB00397,DBSALT000996,Phenylpropanolamine hydrochloride
DB00398,DBSALT000165,Sorafenib tosylate
DB00399,DBSALT003377,"Zoledronate D,L-Lysine Monohydrate"
DB00399,DBSALT001757,Zoledronate disodium
DB00399,DBSALT001758,Zoledronate trisodium
DB00399,DBSALT001962,Zoledronic acid hemipentahydrate
DB00399,DBSALT001759,Zoledronic acid monohydrate
DB00403,DBSALT001364,Ceruletide diethylamine
DB00405,DBSALT001411,Dexbrompheniramine maleate
DB00406,DBSALT000604,Gentian violet
DB00408,DBSALT001429,Loxapine hydrochloride
DB00408,DBSALT001194,Loxapine succinate
DB00409,DBSALT002343,Remoxipride hydrochloride
DB00410,DBSALT001049,Mupirocin calcium
DB00411,DBSALT002764,Carbamoylcholine chloride
DB00412,DBSALT000153,Rosiglitazone Maleate
DB00413,DBSALT001198,Pramipexole dihydrochloride monohydrate
DB00413,DBSALT000143,Pramipexole hydrochloride
DB00415,DBSALT000533,Ampicillin sodium
DB00415,DBSALT001206,Ampicillin trihydrate
DB00417,DBSALT001952,Phenoxymethylpenicillin benzathine
DB00417,DBSALT000299,Phenoxymethylpenicillin potassium
DB00418,DBSALT000255,Secobarbital sodium
DB00419,DBSALT000621,Miglustat hydrochloride
DB00420,DBSALT000147,Promazine hydrochloride
DB00422,DBSALT000117,Methylphenidate hydrochloride
DB00424,DBSALT001048,Hyoscyamine hydrobromide
DB00424,DBSALT001011,Hyoscyamine sulfate
DB00424,DBSALT002456,Hyoscyamine sulfate dihydrate
DB00425,DBSALT001047,Zolpidem tartrate
DB00427,DBSALT000623,Triprolidine hydrochloride
DB00427,DBSALT002442,Triprolidine hydrochloride monohydrate
DB00430,DBSALT000624,Cefpiramide sodium
DB00433,DBSALT000999,Prochlorperazine edisylate
DB00433,DBSALT000998,Prochlorperazine maleate
DB00433,DBSALT003068,Prochlorperazine mesilate
DB00434,DBSALT000625,Cyproheptadine hydrochloride
DB00437,DBSALT000350,Allopurinol sodium
DB00438,DBSALT001024,Ceftazidime pentahydrate
DB00438,DBSALT001474,Ceftazidime sodium
DB00439,DBSALT000330,Cerivastatin sodium
DB00440,DBSALT001480,Trimethoprim hydrochloride
DB00440,DBSALT001471,Trimethoprim sulfate
DB00441,DBSALT000092,Gemcitabine hydrochloride
DB00442,DBSALT001748,Entecavir monohydrate
DB00442,DBSALT001749,Entecavir triphosphate
DB00443,DBSALT001422,Betamethasone acetate
DB00443,DBSALT001122,Betamethasone benzoate
DB00443,DBSALT000851,Betamethasone dipropionate
DB00443,DBSALT000850,Betamethasone sodium phosphate
DB00443,DBSALT000849,Betamethasone valerate
DB00445,DBSALT001168,Epirubicin hydrochloride
DB00447,DBSALT001796,Loracarbef monohydrate
DB00449,DBSALT000626,Dipivefrin hydrochloride
DB00451,DBSALT000244,Levothyroxine sodium
DB00451,DBSALT003388,Levothyroxine sodium pentahydrate
DB00452,DBSALT000995,Framycetin sulfate
DB00454,DBSALT000628,Meperidine hydrochloride
DB00456,DBSALT000262,Cefalotin sodium
DB00457,DBSALT000329,Prazosin hydrochloride
DB00458,DBSALT000099,Imipramine hydrochloride
DB00458,DBSALT000100,Imipramine pamoate
DB00465,DBSALT001045,Ketorolac tromethamine
DB00468,DBSALT002255,Quinine citrate
DB00468,DBSALT001044,Quinine hydrochloride
DB00468,DBSALT002254,Quinine phosphate
DB00468,DBSALT000531,Quinine sulfate
DB00471,DBSALT001043,Montelukast sodium
DB00472,DBSALT000087,Fluoxetine hydrochloride
DB00473,DBSALT000630,Hexylcaine hydrochloride
DB00474,DBSALT000631,Methohexital sodium
DB00475,DBSALT000632,Chlordiazepoxide hydrochloride
DB00476,DBSALT000378,Duloxetine hydrochloride
DB00477,DBSALT000026,Chlorpromazine hydrochloride
DB00478,DBSALT000833,Rimantadine hydrochloride
DB00479,DBSALT000351,Amikacin sulfate
DB00480,DBSALT003154,Lenalidomide hydrochloride monohydrate
DB00481,DBSALT000272,Raloxifene Hydrochloride
DB00484,DBSALT000195,Brimonidine tartrate
DB00485,DBSALT001622,Dicloxacillin sodium
DB00485,DBSALT000495,Dicloxacillin sodium anhydrous
DB00487,DBSALT002346,Pefloxacin mesylate
DB00487,DBSALT000852,Pefloxacin mesylate dihydrate
DB00489,DBSALT000318,Sotalol hydrochloride
DB00490,DBSALT000313,Buspirone hydrochloride
DB00492,DBSALT000193,Fosinopril sodium
DB00493,DBSALT000547,Cefotaxime sodium
DB00496,DBSALT001041,Darifenacin hydrobromide
DB00497,DBSALT000277,Oxycodone hydrochloride
DB00497,DBSALT001326,Oxycodone terephthalate
DB00500,DBSALT000496,Tolmetin sodium
DB00501,DBSALT000287,Cimetidine hydrochloride
DB00502,DBSALT001195,Haloperidol decanoate
DB00502,DBSALT001232,Haloperidol lactate
DB00504,DBSALT001040,Levallorphan tartrate
DB00505,DBSALT001377,Tridihexethyl chloride
DB00508,DBSALT001039,Triflupromazine hydrochloride
DB00509,DBSALT001146,Dextrothyroxine sodium
DB00512,DBSALT000300,Vancomycin hydrochloride
DB00514,DBSALT001897,Dextromethorphan hydriodide
DB00514,DBSALT000376,Dextromethorphan hydrobromide
DB00514,DBSALT001898,Dextromethorphan hydrobromide monohydrate
DB00514,DBSALT002917,Dextromethorphan hydrochloride
DB00519,DBSALT002307,Trandolapril hydrochloride
DB00520,DBSALT000020,Caspofungin acetate
DB00521,DBSALT000319,Carteolol hydrochloride
DB00527,DBSALT000639,Cinchocaine hydrochloride
DB00528,DBSALT002974,Lercanidipine hydrochloride
DB00529,DBSALT000200,Foscarnet sodium
DB00530,DBSALT000064,Erlotinib hydrochloride
DB00531,DBSALT001814,Cyclophosphamide monohydrate
DB00535,DBSALT001745,Cefdinir monohydrate
DB00536,DBSALT000737,Guanidine hydrochloride
DB00537,DBSALT000293,Ciprofloxacin hydrochloride
DB00537,DBSALT002984,Ciprofloxacin lactate
DB00539,DBSALT001447,Toremifene citrate
DB00540,DBSALT000641,Nortriptyline hydrochloride
DB00541,DBSALT000314,Vincristine sulfate
DB00542,DBSALT000554,Benazepril hydrochloride
DB00544,DBSALT003208,Fluorouracil sodium
DB00545,DBSALT000190,Pyridostigmine bromide
DB00545,DBSALT002338,Pyridostigmine chloride
DB00546,DBSALT002297,Adinazolam mesylate
DB00557,DBSALT000343,Hydroxyzine hydrochloride
DB00557,DBSALT000984,Hydroxyzine pamoate
DB00559,DBSALT001842,Bosentan monohydrate
DB00561,DBSALT000643,Doxapram hydrochloride
DB00563,DBSALT000115,Methotrexate sodium
DB00565,DBSALT002671,Cisatracurium besylate
DB00567,DBSALT001473,Cefalexin hydrochloride
DB00567,DBSALT001841,Cefalexin monohydrate
DB00567,DBSALT000261,Cefalexin sodium
DB00568,DBSALT002261,Cinnarizine hydrochloride
DB00569,DBSALT002741,Fondaparinux sodium
DB00570,DBSALT000644,Vinblastine sulfate
DB00571,DBSALT000549,Propranolol hydrochloride
DB00572,DBSALT002584,Atropine hydrochloride
DB00572,DBSALT003103,Atropine sulfate
DB00572,DBSALT000281,Atropine sulfate anhydrous
DB00573,DBSALT001038,Fenoprofen calcium
DB00573,DBSALT001848,Fenoprofen sodium
DB00574,DBSALT000802,Fenfluramine hydrochloride
DB00575,DBSALT000538,Clonidine hydrochloride
DB00577,DBSALT000289,Valaciclovir hydrochloride
DB00577,DBSALT003100,Valaciclovir hydrochloride monohydrate
DB00578,DBSALT001334,Carbenicillin disodium
DB00579,DBSALT002359,Mazindol hydrochloride
DB00583,DBSALT001037,Levocarnitine chloride
DB00583,DBSALT003063,Levocarnitine fumarate
DB00583,DBSALT003062,Levocarnitine tartrate
DB00584,DBSALT001036,Enalapril maleate
DB00584,DBSALT001143,Enalapril sodium
DB00586,DBSALT003116,Diclofenac deanol
DB00586,DBSALT001945,Diclofenac diethylamine
DB00586,DBSALT001398,Diclofenac epolamine
DB00586,DBSALT000864,Diclofenac potassium
DB00586,DBSALT000466,Diclofenac sodium
DB00589,DBSALT001034,Lysuride maleate
DB00590,DBSALT001948,Doxazosin mesylate
DB00592,DBSALT001654,Piperazine adipate
DB00592,DBSALT000775,Piperazine citrate
DB00592,DBSALT000773,Piperazine hexahydrate
DB00592,DBSALT000774,Piperazine hydrate
DB00592,DBSALT001623,Piperazine hydrochloride
DB00592,DBSALT001632,Piperazine monohydrochloride
DB00592,DBSALT001633,Piperazine phosphate
DB00592,DBSALT001655,Piperazine sulfate
DB00594,DBSALT001807,Amiloride hydrochloride
DB00594,DBSALT000270,Amiloride hydrochloride dihydrate
DB00595,DBSALT001478,Oxytetracycline calcium
DB00595,DBSALT001618,Oxytetracycline dihydrate
DB00595,DBSALT000645,Oxytetracycline hydrochloride
DB00595,DBSALT001855,Oxytetracycline monocalcium
DB00596,DBSALT001867,Ulobetasol propionate
DB00598,DBSALT000320,Labetalol hydrochloride
DB00599,DBSALT001409,Thiopental sodium
DB00604,DBSALT001018,Cisapride monohydrate
DB00605,DBSALT002293,Sulindac sodium
DB00607,DBSALT000497,Nafcillin sodium
DB00608,DBSALT001317,Chloroquine hydrochloride
DB00608,DBSALT000025,Chloroquine phosphate
DB00608,DBSALT002244,Chloroquine sulfate
DB00610,DBSALT001017,Metaraminol bitartrate
DB00611,DBSALT000276,Butorphanol tartrate
DB00612,DBSALT001015,Bisoprolol fumarate
DB00613,DBSALT002457,Amodiaquine dihydrochloride dihydrate
DB00613,DBSALT000647,Amodiaquine hydrochloride
DB00618,DBSALT003076,Demeclocycline calcium
DB00618,DBSALT000040,Demeclocycline hydrochloride
DB00619,DBSALT000098,Imatinib mesylate
DB00620,DBSALT000860,Triamcinolone acetonide
DB00620,DBSALT000859,Triamcinolone diacetate
DB00620,DBSALT000861,Triamcinolone hexacetonide
DB00622,DBSALT000499,Nicardipine Hydrochloride
DB00623,DBSALT000776,Fluphenazine decanoate
DB00623,DBSALT000777,Fluphenazine enanthate
DB00623,DBSALT000288,Fluphenazine hydrochloride
DB00626,DBSALT001613,Bacitracin methylene disalicylate
DB00626,DBSALT001356,Bacitracin zinc
DB00628,DBSALT000953,Clorazepate dipotassium
DB00629,DBSALT000649,Guanabenz Acetate
DB00630,DBSALT001780,Alendronate calcium
DB00630,DBSALT003348,Alendronate disodium
DB00630,DBSALT000315,Alendronate sodium
DB00630,DBSALT001779,Alendronate sodium anhydrous
DB00633,DBSALT001013,Dexmedetomidine hydrochloride
DB00634,DBSALT000986,Sulfacetamide sodium
DB00639,DBSALT001012,Butoconazole nitrate
DB00642,DBSALT000846,Pemetrexed disodium
DB00642,DBSALT001782,Pemetrexed disodium hemipentahydrate
DB00642,DBSALT001641,Pemetrexed disodium heptahydrate
DB00642,DBSALT003140,Pemetrexed ditromethamine
DB00642,DBSALT002627,Pemetrexed monohydrate
DB00644,DBSALT001155,Gonadorelin acetate
DB00644,DBSALT000983,Gonadorelin diacetate tetrahydrate
DB00644,DBSALT000982,Gonadorelin hydrochloride
DB00645,DBSALT000651,Dyclonine hydrochloride
DB00646,DBSALT001007,Nystatin dihydrate
DB00647,DBSALT000500,Dextropropoxyphene hydrochloride
DB00647,DBSALT001000,Dextropropoxyphene napsylate
DB00650,DBSALT000342,Leucovorin calcium
DB00650,DBSALT001441,Leucovorin calcium pentahydrate
DB00650,DBSALT000789,Leucovorin sodium
DB00652,DBSALT001009,Pentazocine hydrochloride
DB00652,DBSALT001010,Pentazocine lactate
DB00653,DBSALT003124,Magnesium sulfate dihydrate
DB00653,DBSALT001240,Magnesium sulfate heptahydrate
DB00653,DBSALT003054,Magnesium sulfate monohydrate
DB00656,DBSALT000344,Trazodone hydrochloride
DB00657,DBSALT000652,Mecamylamine hydrochloride
DB00658,DBSALT001006,Sevelamer carbonate
DB00658,DBSALT001005,Sevelamer hydrochloride
DB00659,DBSALT000002,Acamprosate calcium
DB00661,DBSALT000534,Verapamil hydrochloride
DB00662,DBSALT000501,Trimethobenzamide hydrochloride
DB00663,DBSALT001651,Flumethasone acetate
DB00663,DBSALT001004,Flumethasone pivalate
DB00666,DBSALT000324,Nafarelin acetate
DB00668,DBSALT001650,Epinephrine acetate
DB00668,DBSALT000788,Epinephrine bitartrate
DB00668,DBSALT001484,Epinephrine hydrochloride
DB00669,DBSALT003211,Sumatriptan hemisulfate
DB00669,DBSALT001003,Sumatriptan succinate
DB00670,DBSALT001002,Pirenzepine hydrochloride
DB00671,DBSALT001818,Cefixime trihydrate
DB00674,DBSALT000316,Galantamine hydrobromide
DB00675,DBSALT000168,Tamoxifen citrate
DB00678,DBSALT000112,Losartan potassium
DB00679,DBSALT000503,Thioridazine hydrochloride
DB00680,DBSALT000994,Moricizine hydrochloride
DB00681,DBSALT000993,Amphotericin B Cholesteryl Sulfate Complex
DB00681,DBSALT002275,Corifungin
DB00682,DBSALT001410,Warfarin potassium
